date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2022-02-01,2022,alula-tour,stage,1.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,6.0,6.0,0.0,0.0,1.0,196.85,189.0,0.0,0.0,0.0,6.91,120.0,7.54,69.2,0.0,0.427,0.0,0.63,0.0,0.0,1117.0,1149.0,1132.0,735.0,1.0,0.0,1.0,0.0,0.0,0.2416,0.2416,0.2416,0.0,0.0,-0.2,0.1,-0.18,88.0,0.56,494.0,0,0,0.0,14.0,0.0,6.937,0.0,5.431,0.0,0.0,0.0,196.0,,Sprint of large group,109.6,1.0,🟢  Plat/Sprint,0
2022-02-02,2022,etoile-de-besseges,stage,1.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,5.0,0.0,0.0,0.0,1.0,157.9,156.0,1.23,0.0,0.0,0.0,112.0,3.89,40.7,0.0,0.395,0.0,1.2,0.996,0.0,537.0,479.0,71.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.87,1.06,81.0,0.0,175.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,,Sprint of large group,108.4,1.0,🟢  Plat/Sprint,0
2022-02-02,2022,alula-tour,stage,2.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,6.0,6.0,0.0,0.0,2.0,162.69,159.0,0.0,0.0,3.32,0.0,162.0,0.0,0.0,0.0,0.348,0.0,0.348,0.0,0.0,1669.0,1090.0,1273.0,606.0,1.0,2.0,0.0,1.0,0.0,0.9991,0.9991,0.9991,0.9991,0.0,7.5,4.97,3.12,354.0,0.57,561.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,,0.15 km solo,4.0,3.0,🏔️  Haute montagne,0
2022-02-03,2022,alula-tour,stage,3.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,6.0,6.0,0.0,0.0,3.0,181.26,179.0,0.306,0.0,0.0,0.0,62.1,0.414,117.0,0.0,1.8,0.0,1.2,0.0,0.0,839.0,1015.0,1132.0,694.0,1.0,1.0,0.0,0.0,0.0,0.7423,0.6173,0.0,0.0,0.0,0.8,-0.23,-0.46,51.0,0.16,215.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,,Sprint of large group,101.2,1.0,🟢  Plat/Sprint,0
2022-02-03,2022,etoile-de-besseges,stage,2.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,5.0,0.0,0.0,0.0,2.0,156.16,155.0,1.06,0.0,0.0,0.0,130.0,0.946,24.9,0.639,0.0,0.0,0.0,0.0,0.0,1702.0,1519.0,524.0,87.0,2.0,0.0,2.0,0.0,0.0,0.9994,0.8424,0.8424,0.0,0.0,8.5,3.03,1.36,200.0,0.32,540.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,,Sprint of large group,66.6,2.0,⛰️  Moy. montagne,0
2022-02-04,2022,alula-tour,stage,4.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,6.0,6.0,0.0,0.0,4.0,149.01,138.0,11.2,0.0,0.0,0.0,57.6,6.47,84.8,0.0,0.45,0.0,0.45,0.0,0.0,1300.0,824.0,1228.0,572.0,2.0,0.0,0.0,1.0,0.0,0.9578,0.9578,0.9578,0.9578,0.0,-1.8,-1.2,-1.24,512.0,-0.15,170.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,,9.2 km solo,21.2,1.0,🟢  Plat/Sprint,0
2022-02-04,2022,etoile-de-besseges,stage,3.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,5.0,0.0,0.0,0.0,3.0,155.57,145.0,9.03,0.0,0.0,0.0,144.0,0.873,8.9,0.0,2.12,0.0,2.12,0.0,0.0,2051.0,2078.0,557.0,110.0,3.0,4.0,1.0,0.0,0.0,0.9325,0.9325,0.2752,0.0,0.0,0.6,0.13,-0.22,241.0,0.08,896.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,,3 km solo,51.4,2.0,⛰️  Moy. montagne,0
2022-02-05,2022,alula-tour,stage,5.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,6.0,6.0,0.0,0.0,5.0,139.51,132.0,4.72,0.0,0.0,0.0,52.3,2.78,82.6,0.0,2.54,0.241,3.39,0.0,0.0,759.0,819.0,830.0,517.0,2.0,1.0,0.0,0.0,0.0,0.9182,0.58,0.0,0.0,0.0,0.7,-0.3,-0.48,62.0,-0.41,201.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,,Sprint of large group,7.2,1.0,🟢  Plat/Sprint,0
2022-02-05,2022,etoile-de-besseges,stage,4.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,5.0,5.0,0.0,0.0,0.0,4.0,146.62,140.0,5.94,0.0,0.238,0.0,122.0,0.347,22.4,1.99,0.0,0.0,0.0,0.238,0.0,1817.0,1323.0,617.0,33.0,1.0,2.0,1.0,0.0,0.0,0.9992,0.9992,0.9992,0.0,0.0,10.1,10.23,8.32,618.0,-0.17,361.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,,Sprint of small group,4.0,3.0,🏔️  Haute montagne,0
2022-02-06,2022,etoile-de-besseges,stage,5.0,Alpecin - Fenix,0,2.1,,,0.0,,,,,,,0.0,5.0,0.0,0.0,0.0,5.0,11.05,10.7,0.0,0.0,0.0,0.0,9.84,0.276,0.235,0.401,0.133,0.0,0.133,0.0,0.0,170.0,13.0,286.0,120.0,0.0,1.0,0.0,0.0,0.0,0.9947,0.9947,0.0,0.0,0.0,7.0,5.23,3.26,170.0,1.42,170.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,,Time trial,0.0,1.0,🟢  Plat/Sprint,0
