date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2022-03-20,2022,popolarissima,result,,Zalf Euromobil Fior,1,1.2,FIN,61.0,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,175.74,167.0,3.25,0.294,0.0,0.0,72.6,8.71,47.4,41.5,5.01,0.0,5.21,0.575,0.0,218.0,217.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.02,8.0,0.02,67.0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sprint of large group,8.0,1.0,🟢  Plat/Sprint,0
2022-03-20,2022,per-sempre-alfredo,result,,Zalf Euromobil Fior,0,1.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,173.27,165.0,4.62,0.0,0.0,0.0,131.0,3.08,35.6,0.3,2.91,0.0,3.29,0.109,0.0,2918.0,2922.0,521.0,45.0,1.0,5.0,2.0,0.0,0.0,0.9559,0.9559,0.2346,0.0,0.0,0.8,0.0,-1.22,13.0,0.34,932.0,0,0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,,8.5 km solo,1.2,2.0,⛰️  Moy. montagne,0
2022-03-27,2022,gp-adria-mobil,result,,Zalf Euromobil Fior,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,180.3,167.0,11.2,1.57,0.0,0.0,129.0,7.78,36.9,4.98,0.0,0.0,0.284,1.72,0.0,2537.0,2569.0,620.0,149.0,2.0,2.0,2.0,0.0,0.0,0.8747,0.8747,0.2418,0.0,0.0,-1.0,-0.5,-0.04,97.0,0.79,995.0,1,1,175.74,40.0,0.675,0.0,0.675,0.0,0.435,0.0,0.0,15.0,,Sprint of small group,1.2,2.0,⛰️  Moy. montagne,0
2022-04-12,2022,giro-di-sicilia,stage,1.0,Zalf Euromobil Fior,0,2.1,,,0.0,,,,,,,0.0,15.0,15.0,0.0,0.0,1.0,198.78,196.0,1.34,0.397,0.0,0.0,57.5,0.662,140.0,0.0,0.277,0.0,0.372,0.0,0.0,1623.0,1555.0,201.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.7717,0.1067,0.0,0.0,0.0,1.2,1.03,1.02,85.0,0.02,445.0,1,1,175.74,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,16.0,Sprint of large group,8.6,1.0,🟢  Plat/Sprint,0
2022-04-13,2022,giro-di-sicilia,stage,2.0,Zalf Euromobil Fior,0,2.1,,,0.0,,,,,,,0.0,15.0,15.0,0.0,0.0,2.0,152.15,152.0,0.287,0.0,0.0,0.0,28.9,0.0,122.0,0.484,0.207,0.0,0.0,0.0,0.0,2351.0,1879.0,911.0,1.0,2.0,2.0,0.0,0.0,1.0,0.9998,0.9998,0.8001,0.8001,0.8001,5.2,1.27,2.94,337.0,0.52,606.0,1,1,175.74,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,17.0,Sprint of small group,5.6,3.0,🏔️  Haute montagne,0
2022-04-14,2022,giro-di-sicilia,stage,3.0,Zalf Euromobil Fior,0,2.1,,,0.0,,,,,,,0.0,15.0,15.0,0.0,0.0,3.0,170.81,170.0,0.0,0.0,0.0,0.0,55.2,0.0,115.0,0.0,0.976,0.0,0.976,0.0,0.0,2806.0,2120.0,702.0,2.0,5.0,1.0,1.0,1.0,0.0,0.9911,0.9911,0.9911,0.9911,0.0,0.6,1.33,1.84,201.0,0.79,801.0,1,1,175.74,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,16.0,10.7 km solo,1.2,2.0,⛰️  Moy. montagne,0
2022-04-15,2022,giro-di-sicilia,stage,4.0,Zalf Euromobil Fior,0,2.1,,,0.0,,,,,,,0.0,15.0,15.0,0.0,0.0,4.0,139.69,136.0,1.23,1.68,0.0,0.0,88.8,1.54,48.8,0.0,0.617,0.0,0.748,0.0,0.0,3562.0,2281.0,1800.0,17.0,1.0,1.0,2.0,0.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,6.9,8.37,3.48,264.0,0.71,927.0,1,1,175.74,14.0,0.872,0.0,0.0,0.0,0.0,0.0,0.0,102.0,15.0,1.4 km solo,5.6,3.0,🏔️  Haute montagne,0
2022-05-01,2022,circuito-del-porto-trofeo-arvedi,result,,Zalf Euromobil Fior,0,1.2,,,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,180.03,177.0,0.0,0.0,0.0,0.0,111.0,0.0,45.8,19.9,2.86,0.0,2.65,0.0,0.0,265.0,266.0,46.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,58.0,-0.0,73.0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,-,8.6,1.0,🟢  Plat/Sprint,0
2022-06-02,2022,trofeo-alcide-degasperi,result,,Zalf Euromobil Fior,0,1.2,,,0.0,,,,,,,10.0,10.0,0.0,0.0,0.0,,165.24,149.0,0.0,0.263,0.46,0.0,127.0,1.46,14.4,6.49,15.7,0.0,15.9,1.18,0.0,1855.0,2199.0,568.0,99.0,1.0,5.0,0.0,0.0,0.0,0.9176,0.9176,0.0,0.0,0.0,1.4,0.9,0.04,31.0,-0.51,407.0,1,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,11.9 km solo,1.2,2.0,⛰️  Moy. montagne,0
2022-06-04,2022,adriatica-ionica-race,stage,1.0,Zalf Euromobil Fior,0,2.1,,,0.0,,,,,,,0.0,8.0,5.0,0.0,0.0,1.0,0.0,156.0,13.9,0.165,0.0,0.0,86.2,3.92,76.6,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,27.0,Sprint of small group,9.2,1.0,🟢  Plat/Sprint,0
