date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2021-03-03,2021,trofeo-laigueglia,result,,Mg.K Vis VPM,1,1.Pro,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,202.72,182.0,19.1,0.0,0.0,0.0,117.0,8.08,68.1,7.46,1.76,0.0,1.22,0.0,0.0,2967.0,2967.0,481.0,1.0,0.0,4.0,3.0,0.0,0.0,0.9537,0.9537,0.5837,0.0,0.0,-0.4,-1.97,-0.04,83.0,0.21,643.0,1,0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,,15 km solo,,2.0,⛰️  Moy. montagne,0
2021-03-07,2021,gp-industria-artigianato,result,,Mg.K Vis VPM,1,1.Pro,FIN,105.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,191.99,162.0,29.6,0.0,0.0,0.0,169.0,4.06,18.1,0.0,0.0,0.0,0.29,0.0,0.0,2207.0,2208.0,353.0,19.0,0.0,0.0,4.0,0.0,0.0,0.9592,0.9592,0.9592,0.0,0.0,1.1,-3.07,-4.8,16.0,-0.01,324.0,0,1,202.72,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2021-03-21,2021,per-sempre-alfredo,result,,Mg.K Vis VPM,0,1.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,161.73,155.0,4.0,0.119,0.0,0.0,118.0,5.31,35.5,0.919,1.85,0.0,2.02,0.109,0.0,2018.0,2023.0,522.0,42.0,0.0,1.0,3.0,0.0,0.0,0.5611,0.5611,0.3908,0.0,0.0,1.1,0.23,0.04,18.0,0.7,1165.0,1,2,394.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2021-04-14,2021,vuelta-a-la-comunidad-valenciana,stage,1.0,Mg.K Vis VPM,1,2.Pro,FIN,91.0,0.0,104.0,0.0,,,,,0.0,5.0,5.0,0.0,0.0,1.0,168.73,164.0,1.73,0.0,0.0,0.0,142.0,0.789,20.9,1.69,2.92,0.0,2.44,0.114,0.0,2557.0,2671.0,1009.0,21.0,2.0,3.0,0.0,0.0,1.0,0.8446,0.7165,0.2924,0.2924,0.2924,0.7,0.23,-0.26,28.0,1.02,769.0,0,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,,22 km solo,0.0,2.0,⛰️  Moy. montagne,0
2021-04-15,2021,vuelta-a-la-comunidad-valenciana,stage,2.0,Mg.K Vis VPM,1,2.Pro,FIN,80.0,0.0,104.0,0.0,,,,,0.0,5.0,5.0,0.0,0.0,2.0,177.2,167.0,2.79,0.0,2.23,0.0,105.0,1.03,62.8,0.14,6.04,0.0,6.04,0.0,2.15,1471.0,1470.0,631.0,-3.0,4.0,0.0,1.0,0.0,0.0,0.8027,0.5222,0.5222,0.0,0.0,-0.4,-1.67,-0.32,40.0,0.17,249.0,0,1,168.73,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,,Sprint of large group,,1.0,🟢  Plat/Sprint,0
2021-04-16,2021,vuelta-a-la-comunidad-valenciana,stage,3.0,Mg.K Vis VPM,1,2.Pro,FIN,107.0,0.0,104.0,0.0,,,,,0.0,5.0,5.0,0.0,0.0,3.0,164.64,132.0,32.3,0.0,0.0,0.0,136.0,1.2,27.6,0.0,0.0,0.0,0.0,0.0,0.0,3336.0,2872.0,734.0,69.0,5.0,1.0,2.0,1.0,0.0,0.9998,0.9998,0.9998,0.3885,0.0,8.3,5.1,4.72,176.0,0.94,916.0,0,2,345.92999999999995,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,,Sprint of small group,,3.0,🏔️  Haute montagne,0
2021-04-17,2021,vuelta-a-la-comunidad-valenciana,stage,4.0,Mg.K Vis VPM,1,2.Pro,FIN,95.0,0.0,104.0,0.0,,,,,0.0,5.0,5.0,0.0,0.0,4.0,14.38,14.3,0.0,0.0,0.0,0.0,5.67,0.794,7.89,0.0,0.0,0.0,0.0,0.0,0.0,43.0,59.0,33.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.17,-0.4,38.0,-0.11,43.0,0,3,510.56999999999994,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,,Time trial,0.0,1.0,🟢  Plat/Sprint,0
2021-04-18,2021,vuelta-a-la-comunidad-valenciana,stage,5.0,Mg.K Vis VPM,1,2.Pro,FIN,17.0,0.0,104.0,0.0,,,,,0.0,5.0,5.0,0.0,0.0,5.0,91.62,89.9,0.0,0.0,0.219,0.0,69.2,0.0,15.0,5.68,1.41,0.0,1.41,0.219,0.0,664.0,683.0,300.0,23.0,1.0,1.0,0.0,0.0,0.0,0.7223,0.7223,0.0,0.0,0.0,-0.2,-0.47,-0.54,41.0,0.18,364.0,0,4,524.9499999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2021-04-25,2021,gran-premio-della-liberazione,result,,Mg.K Vis VPM,1,1.2U,DNF,,0.0,,,,,,,25.0,25.0,0.0,0.0,0.0,,136.04,106.0,17.1,0.0,0.0,0.0,67.0,6.67,8.07,19.2,9.98,0.0,12.3,24.2,0.0,1288.0,1288.0,39.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.53,-0.26,171.0,0.03,475.0,1,5,616.5699999999999,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2021-05-02,2021,circuito-del-porto-trofeo-arvedi,result,,Mg.K Vis VPM,1,1.2,FIN,121.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,180.03,177.0,0.0,0.0,0.0,0.0,111.0,0.0,45.8,19.9,2.86,0.0,2.65,0.0,0.0,265.0,266.0,46.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,58.0,-0.0,73.0,1,6,752.6099999999999,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,Sprint of large group,6.25,1.0,🟢  Plat/Sprint,0
