date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2021-04-04,2021,rhodes-gp,result,,Romania,1,1.2,OTL,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,186.29,185.0,0.53,0.0,0.448,0.0,148.0,0.651,35.9,1.21,0.0,0.0,0.542,0.515,0.448,1623.0,1624.0,480.0,2.0,2.0,1.0,1.0,0.0,0.0,0.8193,0.8193,0.3447,0.0,0.0,0.0,-0.1,-0.24,152.0,0.85,571.0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,-,3.4,2.0,⛰️  Moy. montagne,0
2021-04-08,2021,tour-of-rhodes,prologue,,Romania,1,2.2,FIN,113.0,0.0,109.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,1.89,1.88,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,12.0,0.0,12.0,0,1,186.29,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.2,0.0,⏱️  CLM,0
2021-04-09,2021,tour-of-rhodes,stage,1.0,Romania,1,2.2,FIN,108.0,0.0,109.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,138.86,139.0,0.0,0.0,0.0,0.0,137.0,0.115,1.19,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,2483.0,690.0,0.0,2.0,2.0,0.0,1.0,0.0,0.8652,0.8652,0.5244,0.5244,0.0,0.3,0.2,0.12,320.0,0.84,837.0,0,2,188.18,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,3.4,2.0,⛰️  Moy. montagne,0
2021-04-10,2021,tour-of-rhodes,stage,2.0,Romania,1,2.2,FIN,117.0,0.0,109.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,150.45,137.0,13.5,0.0,0.0,0.0,128.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3503.0,3393.0,443.0,3.0,4.0,2.0,2.0,0.0,0.0,0.9994,0.648,0.648,0.0,0.0,3.5,1.37,1.34,426.0,0.61,1127.0,0,3,327.03999999999996,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,2.8,2.0,⛰️  Moy. montagne,0
2021-04-11,2021,tour-of-rhodes,stage,3.0,Romania,1,2.2,FIN,87.0,0.0,109.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,153.89,153.0,0.163,0.0,0.0,0.0,104.0,0.0,49.0,0.0,0.79,0.0,0.79,0.0,0.0,2880.0,2940.0,546.0,0.0,3.0,2.0,1.0,0.0,0.0,0.8749,0.8749,0.4402,0.0,0.0,1.7,0.27,-0.04,465.0,-0.15,730.0,0,4,477.4899999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,1.4,2.0,⛰️  Moy. montagne,0
2021-07-03,2021,sibiu-cycling-tour,prologue,,Romania,1,2.1,FIN,103.0,0.0,111.0,0.0,,,,,0.0,5.0,0.0,0.0,0.0,,2.44,0.976,0.0,1.48,0.0,0.0,0.402,1.25,0.0,0.0,0.186,0.0,0.186,0.803,0.0,11.0,10.0,430.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,11.0,0.04,11.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.2,0.0,⏱️  CLM,0
2021-07-04,2021,sibiu-cycling-tour,stage,1.0,Romania,1,2.1,FIN,130.0,0.0,111.0,0.0,,,,,0.0,5.0,0.0,0.0,0.0,1.0,176.33,176.0,0.0,0.0,0.0,0.0,83.8,0.735,92.0,0.0,0.0,0.0,0.0,0.0,0.0,2858.0,1888.0,1431.0,251.0,3.0,0.0,0.0,1.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,7.5,4.8,3.72,339.0,-0.37,441.0,1,1,2.44,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,Sprint à deux,0.6,3.0,🏔️  Haute montagne,0
2021-07-05,2021,sibiu-cycling-tour,stage,2.0,Romania,1,2.1,FIN,68.0,0.0,111.0,0.0,,,,,0.0,5.0,0.0,0.0,0.0,2.0,187.09,185.0,1.75,0.0,0.0,0.0,109.0,0.0,74.8,3.06,0.0,0.0,0.133,0.133,0.0,3287.0,1714.0,2031.0,324.0,2.0,1.0,1.0,0.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,6.6,6.27,6.48,298.0,-0.02,698.0,1,2,178.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,? km solo,0.6,3.0,🏔️  Haute montagne,0
2021-07-06,2021,sibiu-cycling-tour,stage,3.0,Romania,1,2.1,FIN,124.0,0.0,111.0,0.0,,,,,5.0,5.0,0.0,0.0,0.0,3.0,202.67,202.0,0.159,0.434,0.0,0.0,101.0,0.534,99.6,0.649,0.537,0.0,0.693,0.222,0.0,1654.0,1636.0,585.0,243.0,2.0,3.0,1.0,0.0,0.0,0.8977,0.8977,0.8977,0.0,0.0,2.0,0.53,0.14,32.0,-0.21,335.0,1,3,365.86,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,Sprint of large group,0.0,2.0,⛰️  Moy. montagne,0
2021-07-24,2021,olympic-games,result,,Romania,0,Olympics,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,232.12,114.0,92.1,0.0,0.0,0.0,95.0,8.73,109.0,0.0,17.8,0.284,26.7,1.36,0.0,4541.0,4000.0,1449.0,35.0,8.0,0.0,1.0,1.0,1.0,0.9997,0.8586,0.8586,0.8586,0.6249,0.8,0.87,0.4,138.0,0.64,833.0,0,4,568.53,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.0,,5.7 km solo,1.0,2.0,⛰️  Moy. montagne,0
2021-08-04,2021,tour-of-szeklerland,stage,1.0,Romania,1,2.2,FIN,91.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,121.41,121.0,0.162,0.0,0.0,0.0,60.7,0.0,57.2,3.32,0.0,0.0,0.0,0.0,0.0,1184.0,1033.0,847.0,325.0,2.0,1.0,1.0,0.0,0.0,0.9996,0.5674,0.5674,0.0,0.0,0.2,0.33,0.48,72.0,0.32,573.0,1,2,389.76,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,Sprint of large group,1.8,1.0,🟢  Plat/Sprint,0
2021-08-05,2021,tour-of-szeklerland,stage,2.0,Romania,1,2.2,FIN,59.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,122.07,118.0,3.67,0.151,0.0,0.0,56.3,2.4,62.0,0.665,0.0,0.133,0.0,0.0,0.0,927.0,750.0,995.0,487.0,1.0,0.0,1.0,0.0,0.0,0.7063,0.326,0.326,0.0,0.0,0.2,-1.23,-0.24,38.0,0.53,658.0,1,2,324.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,-,1.8,1.0,🟢  Plat/Sprint,0
2021-08-06,2021,tour-of-szeklerland,stage,3.0,Romania,1,2.2,FIN,53.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,117.52,104.0,3.83,9.74,0.0,0.0,19.3,0.103,98.3,0.0,0.0,0.0,0.0,0.0,0.0,692.0,690.0,947.0,515.0,0.0,0.0,1.0,0.0,0.0,0.4092,0.4092,0.4092,0.0,0.0,0.5,-0.17,-0.14,58.0,0.25,559.0,1,2,243.48,7.0,9.166,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,Sprint of large group,0.8,1.0,🟢  Plat/Sprint,0
2021-08-07,2021,tour-of-szeklerland,stage,4.0,Romania,1,2.2,DSQ,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,143.07,132.0,4.28,7.07,0.0,0.0,78.5,7.81,31.7,9.36,0.0,0.92,0.926,6.64,0.0,891.0,892.0,821.0,640.0,1.0,1.0,0.0,0.0,0.0,0.4488,0.4488,0.0,0.0,0.0,-0.6,-1.03,-0.1,38.0,-0.04,227.0,1,3,361.0,7.0,5.392,0.0,1.904,0.0,0.679,0.0,0.0,12.0,,-,0.8,1.0,🟢  Plat/Sprint,0
2021-08-31,2021,turul-romaniei,prologue,,Romania,1,2.1,FIN,79.0,0.0,33.0,0.0,,,,,5.0,8.0,0.0,0.0,0.0,,4.05,3.57,0.0,0.645,0.0,0.0,0.895,0.356,0.0,1.07,0.0,0.0,1.86,0.0,0.0,28.0,29.0,94.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.02,28.0,-0.02,28.0,1,4,504.07,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.2,0.0,⏱️  CLM,0
2021-09-01,2021,turul-romaniei,stage,1.0,Romania,1,2.1,FIN,59.0,0.0,33.0,0.0,,,,,0.0,8.0,0.0,0.0,0.0,1.0,200.9,201.0,0.294,0.0,0.0,0.0,74.9,0.35,125.0,1.18,0.0,0.0,0.0,0.0,0.0,1253.0,1155.0,708.0,89.0,1.0,1.0,1.0,0.0,0.0,0.7328,0.7328,0.5131,0.0,0.0,-0.2,0.07,-0.06,136.0,0.04,105.0,1,5,508.12,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,Sprint of large group,0.6,1.0,🟢  Plat/Sprint,0
2021-09-02,2021,turul-romaniei,stage,2.0,Romania,1,2.1,FIN,34.0,0.0,33.0,0.0,,,,,0.0,8.0,0.0,0.0,0.0,2.0,154.5,155.0,0.0,0.0,0.0,0.0,52.4,0.326,102.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.0,2050.0,1305.0,190.0,1.0,0.0,0.0,1.0,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,3.3,2.43,3.86,1031.0,0.08,239.0,1,6,709.02,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,Sprint of small group,0.6,3.0,🏔️  Haute montagne,0
2021-09-03,2021,turul-romaniei,stage,3.0,Romania,1,2.1,FIN,37.0,0.0,33.0,0.0,,,,,0.0,8.0,0.0,0.0,0.0,3.0,186.1,184.0,0.206,0.0,0.37,0.0,119.0,1.0,63.6,1.42,1.18,0.0,1.44,0.376,0.0,2316.0,1700.0,1029.0,395.0,6.0,1.0,1.0,0.0,0.0,0.9944,0.9944,0.9944,0.0,0.0,1.9,4.4,1.9,725.0,0.07,437.0,1,7,863.52,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,? km solo,1.0,2.0,⛰️  Moy. montagne,0
2021-09-04,2021,turul-romaniei,stage,4.0,Romania,1,2.1,FIN,43.0,0.0,33.0,0.0,,,,,0.0,8.0,0.0,0.0,0.0,4.0,159.19,157.0,0.0,0.0,0.0,0.0,1.41,0.661,153.0,2.01,1.96,0.0,2.17,0.408,0.0,1193.0,1741.0,1045.0,82.0,0.0,0.0,1.0,0.0,0.0,0.2349,0.2349,0.2349,0.0,0.0,-0.1,0.0,0.0,180.0,-0.01,995.0,1,7,928.21,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,Sprint of large group,1.0,2.0,⛰️  Moy. montagne,0
2021-09-05,2021,turul-romaniei,stage,5.0,Romania,1,2.1,FIN,37.0,0.0,33.0,0.0,,,,,3.0,8.0,0.0,0.0,0.0,5.0,104.55,58.4,0.0,3.28,0.0,0.0,0.0,1.46,3.65,56.2,3.83,0.0,3.83,0.355,0.0,180.0,180.0,91.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.03,0.0,162.0,0.0,89.0,1,7,965.33,14.0,1.245,0.0,0.444,0.0,0.267,0.0,0.0,31.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2021-09-12,2021,uec-road-european-championships-me,result,,Romania,0,CC,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,83.31,78.5,0.28,3.7,0.0,0.0,70.7,3.13,0.0,8.25,0.671,0.0,0.671,0.341,0.0,1217.0,1217.0,378.0,189.0,0.0,6.0,0.0,0.0,0.0,0.9073,0.9073,0.0,0.0,0.0,0.3,-0.07,-0.94,215.0,0.25,800.0,0,6,809.29,250.0,1.592,0.0,0.533,0.0,0.003,0.0,0.0,703.0,27.0,Sprint à deux,1.0,2.0,⛰️  Moy. montagne,0
2021-09-26,2021,world-championship,result,,Romania,0,WC,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,161.18,88.1,55.0,12.8,0.503,0.0,36.9,28.7,2.56,63.1,5.56,0.309,6.05,2.85,0.228,1094.0,1059.0,107.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.5974,0.0,0.0,0.0,0.0,0.7,0.63,-0.36,104.0,0.01,83.0,0,6,809.29,600.0,2.495,0.0,1.114,0.0,0.284,0.0,0.0,1357.0,21.0,17.4 km solo,0.6,1.0,🟢  Plat/Sprint,0
2022-03-05,2022,grand-prix-gazipasa,result,,Romania,1,1.2,FIN,32.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,124.45,124.0,0.802,0.0,0.0,0.0,43.7,0.0,80.8,0.0,0.0,0.0,0.0,0.0,0.0,2366.0,2375.0,257.0,1.0,0.0,4.0,0.0,0.0,0.0,0.8242,0.8242,0.0,0.0,0.0,0.0,-0.93,-0.28,221.0,0.12,750.0,1,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,-,1.0,2.0,⛰️  Moy. montagne,0
2022-03-06,2022,grand-prix-mediterrennean,result,,Romania,1,1.2,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,74.65,73.1,0.773,0.675,0.0,0.0,54.5,0.547,19.3,0.0,0.0,0.0,0.0,0.293,0.0,2171.0,1292.0,1034.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9985,0.9076,0.9076,0.9076,0.9076,5.3,-1.3,-1.48,381.0,1.04,1156.0,1,1,124.45,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,-,0.0,2.0,⛰️  Moy. montagne,0
2022-03-19,2022,grand-prix-manavgat-side,result,,Romania,1,1.2,OTL,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,145.43,144.0,0.0,0.948,0.0,0.0,9.21,0.0,135.0,0.0,0.0,0.0,0.179,1.05,0.0,555.0,570.0,33.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.23,-0.16,59.0,0.01,201.0,0,2,199.1,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,-,0.6,1.0,🟢  Plat/Sprint,0
2022-03-20,2022,grand-prix-gundogmus-me,result,,Romania,1,1.2,FIN,23.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,111.36,109.0,0.284,0.469,0.0,0.0,23.9,0.423,85.0,0.0,1.41,0.0,1.48,0.53,0.0,2005.0,1177.0,865.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9859,0.9859,0.9859,0.9859,0.9859,0.3,2.9,4.84,1131.0,-0.05,395.0,0,3,344.53000000000003,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,-,0.6,3.0,🏔️  Haute montagne,0
2022-04-29,2022,grand-prix-nasielsk-serock,result,,MENtoRISE Elite Team CFX,1,1.2,FIN,54.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,141.57,130.0,9.39,0.719,1.58,0.0,121.0,14.7,4.29,1.3,0.0,0.0,0.251,0.116,0.0,542.0,513.0,123.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.1,0.12,79.0,0.07,213.0,1,0,0.0,40.0,0.061,0.618,0.061,0.0,0.061,0.0,0.0,23.0,15.0,-,,1.0,🟢  Plat/Sprint,0
2022-04-30,2022,grand-prix-wyszkow,result,,MENtoRISE Elite Team CFX,1,1.2,FIN,70.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,168.07,165.0,1.19,0.597,1.78,0.0,153.0,3.64,0.0,9.99,0.0,0.0,0.0,1.85,0.0,565.0,565.0,123.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.22,32.0,0.01,186.0,1,1,141.57,40.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,21.0,17.0,-,0.0,1.0,🟢  Plat/Sprint,0
2022-06-09,2022,oberosterreichrundfahrt,prologue,,MENtoRISE Elite Team CFX,1,2.2,FIN,85.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.63,0.0,0.0,0.273,0.0,0.0,0.0,0.182,0.0,0.0,0.326,0.0,0.326,0.0,0.0,23.0,0.0,283.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,3.66,3.66,23.0,3.66,23.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,⏱️  CLM,0
2022-06-10,2022,oberosterreichrundfahrt,stage,1.0,MENtoRISE Elite Team CFX,1,2.2,FIN,103.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,168.72,135.0,21.2,0.0,0.0,0.0,130.0,13.8,7.79,14.9,1.6,0.621,12.7,0.0,0.323,1597.0,1551.0,727.0,336.0,2.0,1.0,1.0,0.0,0.0,0.5221,0.3592,0.1661,0.0,0.0,0.0,0.8,0.18,43.0,0.41,648.0,1,1,0.63,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,-,,2.0,⛰️  Moy. montagne,0
