date,year,course,type,etape,equipe,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,selected,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,cobblestones_km,unpaved_km,compacted_gravel_km,paved_km,asphalt_km,access_road_km,cycleway_km,loc_last_col_cat1,loc_last_col_cat2,loc_last_col_cat3,loc_last_col_cat4,loc_last_col_hc,off-grid_(unknown)_km,path_km,road_km,singletrack_km,state_road_km,street_km,unknown_km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2023-02-04,2023,grand-prix-apollon-temple-me,result,,Sofer Savini Due OMZ,1.2,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,127.75,480.0,469.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.2,146.0,0.0,180.0,1.12,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,29.7,0.0,97.2,0.646,0.686,1,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,-,,1.0,🟢  Plat/Sprint,0
2023-03-04,2023,south-aegean-tour,stage,1.0,Romania,2.2,,,0.0,,,,,,,0,0.0,18.0,18.0,0.0,0.0,1.0,179.8,1915.0,1820.0,244.0,4.0,3.0,3.0,0.0,0.0,0.0,5.0,2.23,1.64,151.0,0.01,595.0,0.0,0.0,0.0,0.321,180.0,0.0,0.0,0.0,0.0,0.837,0.9998,0.0,0.0,0.0,114.0,0.0,65.7,0.547,0.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,Sprint à deux,0.6,2.0,⛰️  Moy. montagne,0
2023-03-05,2023,south-aegean-tour,stage,2.0,Romania,2.2,,,0.0,,,,,,,0,0.0,18.0,18.0,0.0,0.0,2.0,168.61,1838.0,1624.0,241.0,4.0,1.0,6.0,0.0,0.0,0.0,5.1,2.93,0.32,135.0,0.03,367.0,0.0,1.73,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.9613,0.9998,0.0,0.0,1.73,163.0,0.0,4.32,0.541,0.451,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,-,0.6,2.0,⛰️  Moy. montagne,0
2023-03-11,2023,rhodes-gp,result,,Romania,1.2,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,181.9,1743.0,1743.0,480.0,3.0,2.0,1.0,1.0,0.0,0.0,-0.2,-0.57,-0.94,50.0,0.89,613.0,0.0,0.0,0.0,1.02,181.0,0.0,0.0,0.0,0.3681,0.844,0.844,0.0,0.0,0.0,145.0,0.0,35.9,1.07,0.0,1,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,Sprint of large group,0.6,2.0,⛰️  Moy. montagne,0
2023-03-17,2023,tour-of-rhodes,stage,2.0,Romania,2.2,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,2.0,146.17,1523.0,1501.0,491.0,3.0,0.0,2.0,1.0,0.0,0.0,1.7,0.63,0.28,27.0,0.77,574.0,0.0,0.575,0.0,0.0,145.0,0.0,0.0,0.0,0.4076,0.8497,0.8497,0.0,0.0,0.575,144.0,0.0,1.19,0.18,0.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,Sprint of large group,0.6,2.0,⛰️  Moy. montagne,0
2023-03-18,2023,tour-of-rhodes,stage,3.0,Romania,2.2,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,3.0,152.58,2060.0,2143.0,534.0,3.0,3.0,2.0,1.0,0.0,0.0,0.5,0.0,-0.4,23.0,-0.18,573.0,0.0,0.288,0.0,0.467,152.0,0.0,0.0,0.0,0.4829,0.8787,0.8787,0.0,0.0,0.288,103.0,0.0,49.2,0.419,0.115,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,Sprint of large group,0.6,2.0,⛰️  Moy. montagne,0
2023-03-19,2023,tour-of-rhodes,stage,4.0,Romania,2.2,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,4.0,150.83,2619.0,2518.0,438.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,1.1,1.28,103.0,0.58,867.0,0.0,0.524,0.0,13.9,136.0,0.0,0.0,0.0,0.6546,0.6546,0.8906,0.0,0.0,0.118,128.0,0.0,22.4,0.332,0.332,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,? km solo,0.0,2.0,⛰️  Moy. montagne,0
2023-03-21,2023,settimana-internazionale-coppi-e-bartali,stage,1.0,Sofer Savini Due OMZ,2.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,162.52,2804.0,2875.0,421.0,2.0,8.0,2.0,3.0,0.0,0.0,0.1,-0.17,-0.4,4.0,0.07,866.0,0.406,0.0,0.0,1.56,160.0,0.0,1.59,0.0,0.573,0.8372,0.9029,0.0,0.232,0.0,160.0,0.0,0.0,0.13,0.232,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,14.0,30 km solo,,2.0,⛰️  Moy. montagne,0
2023-03-22,2023,settimana-internazionale-coppi-e-bartali,stage,2.0,Sofer Savini Due OMZ,2.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,2.0,172.62,2829.0,2748.0,370.0,1.0,8.0,0.0,5.0,0.0,0.0,6.9,3.33,1.74,120.0,-0.12,394.0,0.0,0.0,0.0,27.8,144.0,0.0,0.0,0.0,0.9381,0.9381,0.9998,0.0,1.09,0.0,169.0,0.0,0.17,2.74,1.09,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,16.0,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2023-03-23,2023,settimana-internazionale-coppi-e-bartali,stage,3.0,Sofer Savini Due OMZ,2.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,3.0,139.85,2419.0,2422.0,451.0,23.0,0.0,2.0,3.0,0.0,0.0,0.1,0.03,-0.06,7.0,0.1,931.0,0.0,9.82,0.0,0.613,128.0,0.0,2.59,0.0,0.6446,0.8198,0.8198,0.0,1.81,0.0,130.0,0.0,5.1,0.754,1.88,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,19.0,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2023-03-24,2023,settimana-internazionale-coppi-e-bartali,stage,4.0,Sofer Savini Due OMZ,2.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,4.0,160.43,3080.0,3071.0,817.0,109.0,3.0,2.0,2.0,1.0,0.0,1.2,0.13,-0.74,27.0,0.71,933.0,0.0,0.188,0.0,46.8,113.0,0.0,2.82,0.1779,0.6989,0.9688,0.9688,0.0,0.0,0.313,135.0,0.0,0.0,21.5,0.121,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,17.0,95 km solo,0.0,2.0,⛰️  Moy. montagne,0
2023-03-25,2023,settimana-internazionale-coppi-e-bartali,stage,5.0,Sofer Savini Due OMZ,2.1,,,0.0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,5.0,18.73,16.0,16.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,0.12,13.0,0.0,16.0,0.469,0.0,0.0,2.44,15.7,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.24,12.6,0.0,3.34,2.25,0.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,22.0,Time trial,0.0,1.0,🟢  Plat/Sprint,0
2023-04-11,2023,giro-di-sicilia,stage,1.0,Sofer Savini Due OMZ,2.1,FIN,96.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,1.0,158.27,1667.0,1423.0,425.0,1.0,3.0,1.0,1.0,0.0,0.0,4.6,5.73,4.44,236.0,0.66,443.0,0.0,0.0,0.0,0.968,156.0,0.0,0.0,0.0,0.3302,0.9997,0.9997,0.0,1.22,0.357,60.5,0.0,94.7,1.82,1.31,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,17.0,1.1 km solo,0.0,2.0,⛰️  Moy. montagne,0
