date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2024-03-02,2024,south-aegean-tour,stage,1.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,180.3,180.0,0.321,0.0,0.0,0.0,114.0,0.547,65.7,0.0,0.0,0.0,0.0,0.0,0.0,1924.0,1827.0,244.0,4.0,3.0,3.0,0.0,0.0,0.0,0.9998,0.8362,0.0,0.0,0.0,5.2,2.27,1.62,146.0,0.0,597.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,-,0.0,2.0,⛰️  Moy. montagne,0
2024-03-03,2024,south-aegean-tour,stage,2.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,168.61,167.0,0.0,0.0,1.73,0.0,163.0,0.541,4.32,0.0,0.0,0.0,0.451,1.73,0.0,1838.0,1624.0,241.0,4.0,1.0,6.0,0.0,0.0,0.0,0.9998,0.9613,0.0,0.0,0.0,5.1,2.93,0.32,135.0,0.03,367.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,-,0.0,2.0,⛰️  Moy. montagne,0
2024-03-09,2024,rhodes-gp,result,,Dukla Banska Bystrica,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,0,0.0,,,,,,,,,22.0,17.0,-,,,,0
2024-03-24,2024,gp-adria-mobil,result,,Dukla Banska Bystrica,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,179.44,166.0,11.0,2.2,0.124,0.0,165.0,5.87,0.0,6.77,0.0,0.0,0.137,1.78,0.0,2106.0,2117.0,533.0,135.0,0.0,0.0,2.0,0.0,0.0,0.4124,0.4124,0.4124,0.0,0.0,-1.0,-0.47,-0.9,77.0,-0.05,694.0,0,0,0.0,40.0,0.649,0.0,0.409,0.0,0.169,0.0,0.0,28.0,12.0,Sprint of large group,0.0,2.0,⛰️  Moy. montagne,0
2024-04-18,2024,banja-luka-belgrade-i,stage,1.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,138.45,131.0,6.53,0.0,0.316,0.0,26.8,8.09,101.0,0.0,0.502,0.0,0.55,1.99,0.0,310.0,291.0,165.0,70.0,1.0,0.0,0.0,0.0,0.0,0.4149,0.0,0.0,0.0,0.0,0.4,0.0,0.06,14.0,0.01,119.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,-,2.8,1.0,🟢  Plat/Sprint,0
2024-04-19,2024,banja-luka-belgrade-i,stage,2.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,1.0,1.0,0.0,0.0,0.0,2.0,147.33,147.0,0.258,0.0,0.0,0.0,65.0,2.68,79.6,0.0,0.0,0.0,0.0,0.223,0.0,2110.0,1598.0,689.0,137.0,2.0,2.0,1.0,0.0,0.0,0.9784,0.9784,0.9784,0.0,0.0,3.0,0.0,1.42,275.0,0.27,515.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,Sprint of large group,0.0,2.0,⛰️  Moy. montagne,0
2024-04-20,2024,banja-luka-belgrade-i,stage,3.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,3.0,181.67,179.0,0.117,0.0,1.54,0.0,48.4,4.22,128.0,0.0,1.47,0.0,1.47,0.0,0.0,3614.0,2325.0,1666.0,340.0,0.0,2.0,2.0,0.0,1.0,0.9997,0.9997,0.9997,0.9997,0.9997,4.7,2.23,4.02,344.0,-0.04,648.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,? km solo,0.0,3.0,🏔️  Haute montagne,0
2024-04-21,2024,banja-luka-belgrade-i,stage,4.0,Dukla Banska Bystrica,0,2.2,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,4.0,125.43,28.8,4.83,0.0,5.98,0.0,9.9,6.14,15.9,2.93,76.6,0.0,75.3,5.97,0.0,503.0,486.0,249.0,115.0,1.0,0.0,0.0,0.0,0.0,0.4478,0.0,0.0,0.0,0.0,0.2,0.1,0.0,40.0,0.0,226.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,Sprint of large group,2.2,1.0,🟢  Plat/Sprint,0
2024-05-09,2024,circuit-de-wallonie,result,,Dukla Banska Bystrica,0,1.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,190.32,165.0,19.5,3.32,0.0,0.0,98.5,6.46,55.1,27.6,2.82,0.0,2.94,0.0,0.0,1965.0,1906.0,266.0,54.0,5.0,1.0,0.0,0.0,0.0,0.9754,0.6093,0.0,0.0,0.0,1.0,1.13,-0.54,179.0,0.03,341.0,0,0,0.0,125.0,2.997,0.0,1.498,0.0,0.749,0.0,0.0,157.0,18.0,Sprint of large group,0.2,2.0,⛰️  Moy. montagne,0
2024-05-11,2024,silesian-classic,result,,Dukla Banska Bystrica,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,155.61,140.0,15.4,0.0,0.0,0.0,83.5,69.0,0.0,2.87,0.0,0.0,0.11,0.0,0.0,2240.0,2240.0,454.0,360.0,8.0,0.0,0.0,0.0,0.0,0.9978,0.0,0.0,0.0,0.0,2.0,1.7,0.52,130.0,-0.09,710.0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,? km solo,0.2,2.0,⛰️  Moy. montagne,0
