date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-15,2018,la-tropicale-amissa-bongo,stage,1.0,Eritrea,1,2.1,FIN,5.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,1.0,137.33,5.56,0.699,0.0,0.0,0.0,0.511,0.445,5.31,0.0,132.0,0.0,132.0,0.0,0.0,596.0,585.0,113.0,8.0,1.0,0.0,0.0,0.0,0.0,0.4196,0.0,0.0,0.0,0.0,-2.2,-0.33,-1.02,465.0,0.13,178.0,0.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,,1.0,🟢  Plat/Sprint,0
2018-01-16,2018,la-tropicale-amissa-bongo,stage,2.0,Eritrea,1,2.1,FIN,41.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,2.0,178.57,18.7,4.03,0.0,0.859,0.0,0.0,0.889,22.8,0.0,157.0,0.0,157.0,0.0,0.0,435.0,476.0,137.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.47,-0.02,283.0,-0.06,97.0,0.0,1,137.33,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-17,2018,la-tropicale-amissa-bongo,stage,3.0,Eritrea,1,2.1,FIN,10.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,3.0,105.28,22.4,3.38,0.0,0.221,0.0,10.2,0.448,15.6,0.0,80.0,0.0,80.4,0.0,0.0,660.0,690.0,150.0,21.0,2.0,0.0,0.0,0.0,0.0,0.767,0.0,0.0,0.0,0.0,1.6,0.73,0.44,555.0,0.03,322.0,0.0,2,315.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-18,2018,la-tropicale-amissa-bongo,stage,4.0,Eritrea,1,2.1,FIN,9.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,4.0,187.26,10.3,0.162,0.0,0.492,0.0,0.162,0.0,10.3,0.0,178.0,0.0,178.0,0.492,0.0,2112.0,1599.0,570.0,40.0,4.0,2.0,1.0,0.0,0.0,0.9981,0.9981,0.9981,0.0,0.0,2.4,1.37,0.44,990.0,0.41,480.0,0.0,3,421.1799999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,,2.0,⛰️  Moy. montagne,0
2018-01-19,2018,la-tropicale-amissa-bongo,stage,5.0,Eritrea,1,2.1,FIN,25.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,5.0,130.82,40.4,3.4,0.0,1.83,0.0,3.41,0.837,41.3,0.0,86.6,0.0,86.7,0.279,0.0,1101.0,1155.0,673.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.27,-0.02,480.0,-0.06,379.0,0.0,4,608.4399999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-20,2018,la-tropicale-amissa-bongo,stage,6.0,Eritrea,1,2.1,FIN,9.0,0.0,16.0,3.0,,,,,5.0,14.0,9.0,0.0,0.0,6.0,105.59,51.9,1.25,0.0,0.49,0.0,16.5,1.86,35.9,0.0,52.5,0.0,53.1,0.0,0.0,901.0,844.0,713.0,570.0,1.0,0.0,0.0,0.0,0.0,0.9728,0.0,0.0,0.0,0.0,-1.7,0.03,-0.1,520.0,0.07,420.0,0.0,5,739.26,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-21,2018,la-tropicale-amissa-bongo,stage,7.0,Eritrea,1,2.1,FIN,9.0,0.0,16.0,3.0,,,,,0.0,14.0,9.0,0.0,0.0,7.0,141.99,133.0,5.24,0.0,0.269,0.0,55.6,3.32,79.8,0.0,3.4,0.434,3.81,0.0,0.0,760.0,777.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.04,96.0,-0.04,213.0,0.0,6,844.85,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,-,1.0,1.0,🟢  Plat/Sprint,0
2018-01-25,2018,speedy-tour-d-indonesia,stage,1.0,Eritrea,0,2.1,,,0.0,,,,,,,0.0,63.0,60.0,0.0,0.0,1.0,124.56,122.0,0.987,0.0,0.0,0.0,2.25,0.833,120.0,0.594,1.43,0.0,1.89,0.256,0.0,293.0,406.0,175.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.04,59.0,-0.13,109.0,0.0,7,986.84,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,1.0,1.0,🟢  Plat/Sprint,0
2018-01-26,2018,speedy-tour-d-indonesia,stage,2.0,Eritrea,0,2.1,,,0.0,,,,,,,0.0,63.0,60.0,0.0,0.0,2.0,117.56,117.0,0.0,0.0,0.0,0.0,14.4,0.123,97.2,5.48,0.563,0.0,0.679,0.0,0.0,256.0,297.0,147.0,24.0,1.0,0.0,0.0,0.0,0.0,0.2362,0.0,0.0,0.0,0.0,0.0,-0.07,-0.1,31.0,-0.02,185.0,0.0,7,986.84,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,1.0,1.0,🟢  Plat/Sprint,0
2018-01-27,2018,speedy-tour-d-indonesia,stage,3.0,Eritrea,0,2.1,,,0.0,,,,,,,0.0,63.0,60.0,0.0,0.0,3.0,199.79,199.0,1.32,0.0,0.0,0.0,4.2,0.549,195.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,1266.0,730.0,16.0,0.0,1.0,0.0,1.0,0.0,0.6172,0.6172,0.6172,0.6172,0.0,2.3,0.83,0.58,56.0,0.01,305.0,0.0,7,986.84,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,0.0,2.0,⛰️  Moy. montagne,0
