date,year,course,type,etape,equipe,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,selected,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,cobblestones_km,unpaved_km,compacted_gravel_km,paved_km,asphalt_km,access_road_km,cycleway_km,loc_last_col_cat1,loc_last_col_cat2,loc_last_col_cat3,loc_last_col_cat4,loc_last_col_hc,off-grid_(unknown)_km,path_km,road_km,singletrack_km,state_road_km,street_km,unknown_km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2019-07-18,2019,nc-algeria-itt,result,,,NC,FIN,11.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,5.0,,Time trial,,,,0
2019-07-20,2019,nc-algeria,result,,,NC,FIN,15.0,1.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,5.0,,-,,,,0
2019-09-20,2019,grand-prix-erciyes-mimar-sinan-me,result,,,1.2,DNF,,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,144.37,1617.0,1617.0,1565.0,1177.0,2.0,2.0,1.0,0.0,0.0,-0.6,-0.33,1.26,97.0,0.26,608.0,0.0,0.0,0.0,0.335,144.0,0.0,0.0,0.0,0.2555,0.8757,0.975,0.0,0.132,0.0,122.0,0.0,21.9,0.335,0.132,,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,-,,,,0
2019-09-21,2019,tour-of-kayseri,stage,1.0,,2.2,FIN,18.0,0.0,20.0,0.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1.0,134.12,1518.0,1518.0,1422.0,1065.0,0.0,2.0,1.0,0.0,0.0,-0.6,-1.07,-0.64,26.0,0.25,651.0,0.0,0.0,0.0,1.97,132.0,0.0,0.0,0.0,0.2831,0.7851,0.7851,0.0,0.0,0.0,26.1,0.0,108.0,0.0,0.0,,1,144.37,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,-,,,,0
2019-09-22,2019,tour-of-kayseri,stage,2.0,,2.2,FIN,27.0,0.0,20.0,0.0,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,147.3,1792.0,1811.0,1158.0,1024.0,8.0,0.0,0.0,0.0,0.0,0.8,-0.53,0.22,121.0,-0.04,435.0,0.0,0.311,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.8643,0.0,0.0,0.311,9.68,0.0,138.0,0.0,0.0,,2,278.49,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,-,,,,0
2019-09-27,2019,tour-of-mevlana,stage,1.0,,2.2,FIN,29.0,0.0,40.0,0.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1.0,124.93,583.0,593.0,1336.0,1008.0,0.0,1.0,0.0,0.0,0.0,0.4,0.17,0.1,34.0,0.11,423.0,0.0,0.0,0.0,4.31,120.0,0.0,2.48,0.0,0.0,0.2747,0.2747,0.0,1.21,0.0,80.3,0.0,40.2,1.17,1.23,,3,425.79,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,-,,,,0
2019-09-28,2019,tour-of-mevlana,stage,2.0,,2.2,FIN,40.0,0.0,40.0,0.0,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,136.51,552.0,540.0,1283.0,967.0,0.0,1.0,0.0,0.0,0.0,-0.2,-0.5,-1.0,45.0,-0.08,91.0,0.0,0.0,0.0,0.399,133.0,0.0,0.799,0.0,0.0,0.6901,0.6901,0.0,3.03,0.0,39.0,0.0,93.8,0.213,3.03,,4,550.72,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,-,,,,0
2019-09-29,2019,tour-of-mevlana,stage,3.0,,2.2,FIN,44.0,0.0,40.0,0.0,,,,,1,0.0,0.0,0.0,0.0,0.0,3.0,144.28,1649.0,1649.0,1637.0,1023.0,0.0,3.0,1.0,0.0,0.0,-0.1,-0.03,-0.12,189.0,1.06,817.0,0.0,1.21,0.0,2.11,140.0,0.0,0.828,0.0,0.4493,0.8964,0.8964,0.0,0.981,0.114,86.1,0.0,55.2,1.36,1.17,,5,687.23,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,-,,,,0
2021-02-06,2021,grand-prix-alanya,result,,Algeria,1.2,DNF,,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,147.61,2395.0,2397.0,292.0,0.0,3.0,3.0,0.0,0.0,0.0,0.1,0.1,-0.38,64.0,0.45,443.0,2.1,0.0,0.0,27.4,116.0,0.0,0.0,0.0,0.0,0.784,0.8451,0.0,2.12,0.0,109.0,0.0,33.8,2.16,2.12,1.0,0,0.0,40.0,0.139,0.0,0.139,0.0,0.139,0.0,0.0,51.0,,-,0.6,2.0,⛰️  Moy. montagne,0
2021-02-07,2021,grand-prix-gazipasa,result,,Algeria,1.2,FIN,33.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,155.55,1809.0,1809.0,251.0,4.0,0.0,5.0,0.0,0.0,0.0,-0.2,-0.9,-0.3,115.0,0.31,505.0,0.0,0.0,0.0,1.43,154.0,0.0,0.0,0.0,0.0,0.8525,0.8525,0.0,0.406,0.0,58.7,0.0,96.7,0.0,0.472,1.0,1,147.61,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,-,0.6,2.0,⛰️  Moy. montagne,0
2021-02-20,2021,grand-prix-manavgat-side,result,,Algeria,1.2,FIN,46.0,0.0,,,,,,,1,3.0,3.0,0.0,0.0,0.0,,147.32,983.0,980.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.08,180.0,-0.01,351.0,1.76,0.0,0.0,1.09,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,13.1,0.0,133.0,0.939,0.0,1.0,2,303.16,40.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,44.0,,Sprint of large group,11.4,1.0,🟢  Plat/Sprint,0
2021-02-21,2021,grand-prix-velo-alanya,result,,Algeria,1.2,FIN,68.0,0.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,105.74,2572.0,1690.0,1034.0,0.0,1.0,1.0,0.0,0.0,1.0,5.2,-1.33,-1.5,381.0,-0.04,381.0,0.229,0.0,0.0,1.08,105.0,0.0,0.0,0.9095,0.9095,0.9095,0.9986,0.9095,0.0,0.293,36.3,0.0,68.6,0.698,0.0,1.0,3,450.48,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,,-,0.6,2.0,⛰️  Moy. montagne,0
2021-03-03,2021,african-continental-championships-itt,result,,Algeria,CC,,,0.0,,,,,,,0,35.0,35.0,0.0,0.0,0.0,,41.78,752.0,754.0,188.0,89.0,6.0,0.0,0.0,0.0,0.0,-4.5,-1.97,-1.08,278.0,-0.0,752.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.8969,0.0,1.83,0.0,5.85,0.0,34.5,0.0,1.22,1.0,4,556.22,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,Time trial,15.0,0.0,⏱️  CLM,0
2021-03-06,2021,african-championships,result,,Algeria,CC,OTL,,0.0,,,,,,,1,480.0,480.0,0.0,0.0,0.0,,82.68,1782.0,1782.0,189.0,83.0,0.0,0.0,0.0,0.0,0.0,-5.2,-1.97,-1.06,0.0,0.11,1130.0,0.0,0.0,0.0,0.0,82.2,0.0,0.0,0.0,0.0,0.0,0.9586,0.0,1.31,0.0,15.3,0.0,66.9,0.0,1.09,1.0,4,556.22,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,? km solo,12.0,1.0,🟢  Plat/Sprint,0
2021-04-01,2021,tour-of-mevlana,stage,1.0,Algeria,2.2,,,0.0,,,,,,,0,0.0,7.0,0.0,0.0,0.0,1.0,137.95,696.0,684.0,1269.0,968.0,0.0,1.0,0.0,0.0,0.0,-0.2,-0.57,0.06,209.0,-0.07,155.0,0.0,0.0,0.0,0.12,138.0,0.0,0.779,0.0,0.0,0.768,0.768,0.0,0.0,0.0,44.4,0.0,93.0,0.0,0.0,1.0,1,82.68,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,-,104.2,1.0,🟢  Plat/Sprint,0
