date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2022-04-13,2022,tour-du-loir-et-cher,stage,1.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,37.0,30.0,0.0,0.0,1.0,149.5,145.0,4.6,0.0,0.0,0.0,149.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,657.0,122.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.23,0.16,54.0,0.04,171.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,Sprint of large group,14.6,1.0,🟢  Plat/Sprint,0
2022-04-14,2022,tour-du-loir-et-cher,stage,2.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,37.0,30.0,0.0,0.0,2.0,199.79,186.0,14.2,0.0,0.0,0.0,181.0,4.92,12.9,1.36,0.0,0.0,0.0,0.0,0.0,1205.0,1197.0,155.0,60.0,1.0,0.0,0.0,0.0,0.0,0.436,0.0,0.0,0.0,0.0,-0.2,-0.03,-0.02,84.0,-0.02,195.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,Sprint of small group,14.6,1.0,🟢  Plat/Sprint,0
2022-04-15,2022,tour-du-loir-et-cher,stage,3.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,7.0,37.0,30.0,0.0,0.0,3.0,213.99,194.0,17.5,0.114,2.39,0.0,204.0,6.33,0.333,0.432,0.285,0.0,0.285,2.39,0.0,1637.0,1656.0,250.0,55.0,2.0,0.0,0.0,0.0,0.0,0.7442,0.0,0.0,0.0,0.0,-0.1,-1.1,0.0,59.0,-0.02,391.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,-,14.6,1.0,🟢  Plat/Sprint,0
2022-04-16,2022,tour-du-loir-et-cher,stage,4.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,37.0,30.0,0.0,0.0,4.0,209.2,198.0,11.0,0.336,0.0,0.0,190.0,2.83,15.4,1.28,0.0,0.0,0.0,0.0,0.0,883.0,882.0,149.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.27,-0.38,62.0,-0.04,212.0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,Sprint of large group,16.0,1.0,🟢  Plat/Sprint,0
2022-04-17,2022,tour-du-loir-et-cher,stage,5.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,37.0,30.0,0.0,0.0,5.0,96.61,95.4,0.0,2.2,0.0,0.0,42.5,15.3,15.3,19.5,0.0,0.0,0.3,5.25,0.0,661.0,663.0,107.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.2,0.7,85.0,-0.07,321.0,0,0,0.0,7.0,0.87,0.008,0.338,0.0,0.169,0.0,0.0,15.0,21.0,Sprint of large group,10.0,1.0,🟢  Plat/Sprint,0
2022-04-25,2022,le-tour-de-bretagne,stage,1.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,162.72,111.0,51.9,0.143,0.0,0.0,144.0,10.5,0.0,8.41,0.0,0.0,0.0,0.0,0.0,776.0,788.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.43,-0.1,42.0,0.05,335.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,1 km solo,1.4,1.0,🟢  Plat/Sprint,0
2022-04-26,2022,le-tour-de-bretagne,stage,2.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,155.53,133.0,21.6,0.0,0.164,0.542,144.0,3.2,7.16,0.0,0.0,0.0,0.0,0.542,0.164,1748.0,1722.0,112.0,3.0,3.0,0.0,0.0,0.0,0.0,0.6149,0.0,0.0,0.0,0.0,-0.8,-0.63,0.3,85.0,0.01,479.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,1 km solo,1.4,1.0,🟢  Plat/Sprint,0
2022-04-27,2022,le-tour-de-bretagne,stage,3.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,173.21,153.0,16.4,0.0,0.0,3.66,167.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0,1896.0,249.0,17.0,8.0,1.0,0.0,0.0,0.0,0.9516,0.1759,0.0,0.0,0.0,4.0,1.4,-0.06,80.0,0.22,668.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,5.2 km solo,0.0,2.0,⛰️  Moy. montagne,0
2022-04-28,2022,le-tour-de-bretagne,stage,4.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,166.46,137.0,29.0,0.0,0.0,0.0,159.0,2.91,4.33,0.0,0.0,0.0,0.724,0.0,0.0,1995.0,1917.0,304.0,4.0,2.0,1.0,0.0,0.0,0.0,0.7675,0.3284,0.0,0.0,0.0,1.5,1.37,0.66,197.0,0.43,427.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,Sprint of large group,1.4,1.0,🟢  Plat/Sprint,0
2022-04-29,2022,le-tour-de-bretagne,stage,5.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,192.94,165.0,27.7,0.0,0.0,0.0,188.0,3.01,1.92,0.361,0.237,0.0,0.0,0.0,0.0,2310.0,2181.0,243.0,28.0,4.0,2.0,0.0,0.0,0.0,0.6991,0.6991,0.0,0.0,0.0,2.6,0.83,-0.26,55.0,0.11,581.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,Sprint of large group,0.0,2.0,⛰️  Moy. montagne,0
2022-04-30,2022,le-tour-de-bretagne,stage,6.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,162.82,119.0,43.3,0.0,0.385,0.0,152.0,7.54,3.38,0.0,0.347,0.0,0.415,0.0,0.0,2127.0,2070.0,165.0,10.0,9.0,0.0,0.0,0.0,0.0,0.9956,0.0,0.0,0.0,0.0,0.0,1.6,0.26,206.0,0.09,562.0,1,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,1.8 km solo,0.0,2.0,⛰️  Moy. montagne,0
2022-05-01,2022,le-tour-de-bretagne,stage,7.0,Team ColoQuick,0,2.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,159.11,132.0,26.3,0.581,0.0,0.0,129.0,14.3,9.2,6.58,0.0,0.0,0.0,0.0,0.0,1768.0,1875.0,189.0,4.0,6.0,0.0,0.0,0.0,0.0,0.7404,0.0,0.0,0.0,0.0,-3.2,-0.6,-0.92,109.0,-0.1,424.0,1,0,0.0,7.0,0.334,0.0,0.2,0.0,0.133,0.0,0.0,37.0,15.0,16.5 km solo,0.0,1.0,🟢  Plat/Sprint,0
2022-05-07,2022,hadeland-gp,result,,Team ColoQuick,1,1.2,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,168.9,163.0,3.64,0.0,0.0,0.0,68.4,4.85,90.9,2.62,2.66,0.0,3.08,0.0,0.0,2629.0,2314.0,398.0,47.0,4.0,3.0,1.0,0.0,0.0,0.9981,0.9981,0.9981,0.0,0.0,4.8,6.47,6.38,402.0,0.01,565.0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,-,5.75,3.0,🏔️  Haute montagne,0
2022-05-08,2022,ringerike-gp,result,,Team ColoQuick,1,1.2,FIN,52.0,0.0,,,,,,,15.0,15.0,0.0,0.0,0.0,,165.73,155.0,8.78,1.25,0.0,0.0,109.0,4.71,44.6,6.03,0.0,0.0,0.378,1.34,0.0,2090.0,2091.0,314.0,65.0,7.0,1.0,0.0,0.0,0.0,0.978,0.6623,0.0,0.0,0.0,-0.5,-1.1,-2.26,266.0,0.03,636.0,0,1,168.9,40.0,0.794,0.0,0.366,0.0,0.153,0.0,0.0,6.0,13.0,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2022-05-21,2022,gp-herning,result,,Team ColoQuick,1,1.2,FIN,78.0,0.0,,,,,,,5.0,5.0,0.0,0.0,0.0,,180.4,152.0,2.19,0.297,21.5,3.44,141.0,9.16,2.81,9.65,0.0,0.0,1.55,7.73,0.983,621.0,618.0,90.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.33,0.18,79.0,-0.04,175.0,1,2,334.63,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,Sprint à deux,0.0,1.0,🟢  Plat/Sprint,0
2022-05-22,2022,albani-classic-fyen-rundt,result,,Team ColoQuick,0,1.2,,,0.0,,,,,,,25.0,25.0,0.0,0.0,0.0,,188.79,174.0,13.9,0.674,0.0,0.0,153.0,3.38,0.0,25.9,0.0,0.0,0.229,0.0,0.0,1432.0,1450.0,112.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5655,0.0,0.0,0.0,0.0,-1.5,-0.5,-0.2,137.0,0.0,297.0,1,3,515.03,40.0,0.591,0.0,0.443,0.0,0.295,0.0,0.0,36.0,16.0,Sprint of small group,1.0,1.0,🟢  Plat/Sprint,0
2022-05-24,2022,tour-of-norway,stage,1.0,Team ColoQuick,1,2.Pro,FIN,93.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,173.75,134.0,4.57,0.0,1.23,0.0,29.5,1.92,103.0,3.61,35.9,0.127,37.1,2.21,0.637,2190.0,1921.0,464.0,0.0,1.0,3.0,1.0,0.0,0.0,0.999,0.999,0.2527,0.0,0.0,8.2,6.07,4.92,260.0,0.56,914.0,0,3,515.03,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,11.0,Sprint of large group,4.6,3.0,🏔️  Haute montagne,0
2022-05-25,2022,tour-of-norway,stage,2.0,Team ColoQuick,1,2.Pro,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,123.77,111.0,0.255,0.0,0.264,0.0,0.844,1.24,107.0,3.51,11.7,0.0,12.6,0.278,0.264,2381.0,1650.0,1257.0,0.0,2.0,0.0,0.0,0.0,1.0,0.6726,0.6726,0.6726,0.6726,0.6726,0.5,-1.07,-1.3,19.0,1.25,1349.0,0,4,688.78,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,11.0,Sprint of large group,3.0,2.0,⛰️  Moy. montagne,0
