date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-03-02,2018,tour-of-mediterrennean,stage,1.0,,1,2.2,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,196.17,195.0,1.37,0.0,0.0,0.0,5.28,1.15,190.0,0.0,0.0,0.0,0.237,0.0,0.0,1055.0,1117.0,734.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6086,0.2678,0.2678,0.2678,0.0,0.2,-0.07,-0.2,95.0,0.5,696.0,,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,-,,,,0
2018-05-03,2018,tour-of-mesopotamia,stage,1.0,,1,2.2,FIN,50.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,187.53,187.0,0.213,0.0,0.0,0.0,0.475,0.48,187.0,0.0,0.0,0.0,0.267,0.0,0.0,999.0,636.0,908.0,456.0,0.0,1.0,1.0,0.0,0.0,0.9988,0.9988,0.9988,0.0,0.0,5.8,6.4,5.44,432.0,0.25,317.0,,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,,,,0
2018-05-04,2018,tour-of-mesopotamia,stage,2.0,,1,2.2,FIN,52.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,103.79,104.0,0.0,0.0,0.0,0.0,24.4,0.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,787.0,378.0,1025.0,483.0,0.0,0.0,1.0,0.0,0.0,0.9988,0.9988,0.9988,0.0,0.0,2.9,0.83,2.18,442.0,-0.26,56.0,,1,187.53,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,,,,0
2018-05-05,2018,tour-of-mesopotamia,stage,3.0,,1,2.2,FIN,49.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,154.56,152.0,0.382,0.0,0.0,0.0,29.6,0.382,123.0,0.0,1.98,0.0,1.98,0.0,0.0,1206.0,1457.0,1082.0,540.0,3.0,2.0,0.0,0.0,0.0,0.8848,0.7528,0.0,0.0,0.0,6.1,1.73,0.88,308.0,-0.42,426.0,,2,291.32,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,,,,0
2018-05-06,2018,tour-of-mesopotamia,stage,4.0,,1,2.2,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,178.96,179.0,0.0,0.0,0.0,0.0,0.313,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,1342.0,1186.0,523.0,0.0,1.0,1.0,0.0,0.0,0.7784,0.7784,0.2824,0.0,0.0,-0.6,-2.4,-0.98,309.0,0.76,450.0,,3,445.88,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,,,,0
2018-07-03,2018,nc-turkey-itt,result,,,1,NC,FIN,25.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,0.0,,,,,,,,,4.0,,Time trial,,,,0
2018-07-05,2018,nc-turkey,result,,,1,NC,FIN,45.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.0,,,,,,,,,5.0,,-,,,,0
2018-09-14,2018,tour-of-cappadocia,stage,1.0,,1,2.2,OTL,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,111.29,111.0,0.274,0.0,0.0,0.0,58.3,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,1377.0,1378.0,1603.0,1065.0,1.0,1.0,1.0,0.0,0.0,0.7466,0.7466,0.6236,0.0,0.0,1.2,1.83,-0.6,162.0,0.78,883.0,,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,-,,,,0
2018-09-27,2018,tour-of-black-sea,stage,1.0,,1,2.2,FIN,78.0,0.0,76.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,84.21,83.8,0.517,0.0,0.0,0.0,46.3,0.517,37.5,0.0,0.283,0.0,0.0,0.0,0.0,1598.0,427.0,1175.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,7.6,7.1,6.28,681.0,0.1,282.0,,1,111.29,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,-,,,,0
2018-09-28,2018,tour-of-black-sea,stage,2.0,,1,2.2,FIN,71.0,0.0,76.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,210.6,203.0,2.39,0.0,0.0,0.0,1.7,0.425,204.0,0.0,4.99,0.0,5.42,0.0,0.0,1020.0,1020.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.07,-0.14,118.0,0.01,213.0,,2,195.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,-,,,,0
