date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-09,2021,five-rings-of-moscow,gc,Azerbaijan,2.2,,0.0,0,,0.0,,,0.0
2021-07-03,2021,germenica-grand-prix-road-race-me,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-02-06,2021,grand-prix-alanya,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-07-10,2021,grand-prix-erciyes-mimar-sinan-me,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-02-07,2021,grand-prix-gazipasa,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-03-07,2021,grand-prix-gundogmus-me,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-02-20,2021,grand-prix-manavgat-side,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-03-06,2021,grand-prix-mediterrennean,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-02-21,2021,grand-prix-velo-alanya,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-07-04,2021,kahramanmaras-grand-prix-road-race-me,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2021-07-24,2021,olympic-games,gc,Azerbaijan,Olympics,,0.0,0,,0.0,,,0.0
2021-04-01,2021,tour-of-mevlana,gc,Azerbaijan,2.2,,,1,,0.0,,,0.0
2021-09-12,2021,uec-road-european-championships-me,gc,Azerbaijan,CC,,0.0,0,,0.0,,,0.0
