date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-06-02,2022,trofeo-alcide-degasperi,gc,Laboral Kutxa - Fundación Ciclista Euskadi,1.2,,,1,,0.0,,,0.0
2023-09-03,2023,grand-prix-de-plouay,gc,Laboral Kutxa - Fundación Ciclista Euskadi,1.2,,,1,,0.0,,,0.0
2023-06-25,2023,nc-spain,gc,Laboral Kutxa - Fundación Ciclista Euskadi,NC,,0.0,0,,0.0,,,0.0
2024-08-25,2024,grand-prix-de-plouay,gc,Laboral Kutxa - Fundación Ciclista Euskadi,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,nc-spain,gc,Laboral Kutxa - Fundación Ciclista Euskadi,NC,,0.0,0,,0.0,,,0.0
2024-05-19,2024,nc-united-states,gc,Laboral Kutxa - Fundación Ciclista Euskadi,NC,,0.0,0,,0.0,,,0.0
2025-05-14,2025,4-jours-de-dunkerque,gc,Euskaltel - Euskadi,2.Pro,,0.0,0,,0.0,,,0.0
2025-06-22,2025,andorra-morabanc-classica,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,5.0
2025-06-09,2025,antwerp-port-epic,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,0.0
2025-03-21,2025,bredene-koksijde-classic,gc,Euskaltel - Euskadi,1.Pro,,0.0,0,,0.0,,,0.0
2025-08-31,2025,bretagne-classic,gc,Euskaltel - Euskadi,1.UWT,,0.0,0,,0.0,,,16.0
2025-06-08,2025,brussels-cycling-classic,gc,Euskaltel - Euskadi,1.Pro,,0.0,0,,0.0,,,8.0
2025-03-23,2025,cholet-pays-de-loire,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,26.0
2025-06-15,2025,circuit-des-xi-villes,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,33.0
2025-08-15,2025,circuit-franco-belge,gc,Euskaltel - Euskadi,1.Pro,,0.0,0,,0.0,,,13.0
2025-08-03,2025,circuito-de-getxo,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,6.0
2025-02-16,2025,clasica-de-almeria,gc,Euskaltel - Euskadi,1.Pro,,0.0,0,,0.0,,,20.0
2025-02-17,2025,clasica-jaen-paraiso-interior,gc,Euskaltel - Euskadi,1.1,,0.0,0,,0.0,,,0.0
