date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-03-29,2022,asian-championships-me,gc,Iran,CC,,0,0,,0.0,,,190.0
2022-03-27,2022,asian-cycling-championships-itt,gc,Iran,CC,,0,0,,0.0,,,20.0
2022-03-05,2022,grand-prix-gazipasa,gc,Iran,1.2,,0,0,,0.0,,,0.0
2022-03-06,2022,grand-prix-mediterrennean,gc,Iran,1.2,,0,0,,0.0,,,0.0
2022-09-29,2022,international-azerbaijan-tour,gc,Iran,2.1,19.0,3.0,1,,21.0,,,26.0
2022-08-11,2022,islamic-solidarity-games-me-itt,gc,Iran,JR,,0,0,,0.0,,,0.0
2022-08-13,2022,islamic-solidarity-games-me-road-race,gc,Iran,JR,,0,0,,0.0,,,0.0
2023-08-01,2023,100th-anniversary-tour-of-the-republic,gc,Arvich Shargh Mazandaran,2.2,16.0,0.0,1,,0.0,,,0.0
2023-06-13,2023,asian-championships-me,gc,Iran,CC,,,1,,0.0,,,92.0
2023-06-10,2023,asian-cycling-championships-itt,gc,Iran,CC,,,1,,0.0,,,0.0
2023-08-27,2023,international-azerbaijan-tour,gc,Iran,2.1,,0,0,,0.0,,,0.0
2023-10-05,2023,summer-asian-games,gc,Iran,JC,,0,0,,0.0,,,125.0
2023-08-26,2023,tour-of-kandovan,gc,Iran,1.2,,0,0,,0.0,,,0.0
2023-05-17,2023,tour-of-konya,gc,Iran,2.2,38.0,0.0,1,,0.0,,,0.0
2023-05-17,2023,tour-of-konya,gc,Arvich Shargh Mazandaran,2.2,,0,0,,0.0,,,7.0
2023-08-11,2023,world-championship-itt,gc,Iran,WC,,0,0,,0.0,,,0.0
2024-09-08,2024,tour-of-salalah,gc,Aladam Club,2.2,16.0,0.0,1,,0.0,,,0.0
2025-05-27,2025,international-azerbaijan-tour,gc,Tommi's Radltankstelle Team,2.1,28.0,0.0,1,,3.0,,,3.0
2025-07-24,2025,nc-iran,gc,Tommi's Radltankstelle Team,NC,,0,0,,0.0,,,36.0
2025-07-25,2025,nc-iran-itt,gc,Tommi's Radltankstelle Team,NC,,0,0,,0.0,,,15.0
