date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-04-16,2022,arno-wallaard-memorial,gc,Saris Rouvy Sauerland Team,1.2,,0,0,,0.0,,,0.0
2022-10-16,2022,chrono-des-nations,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,3.0
2022-05-26,2022,circuit-de-wallonie,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,0.0
2022-08-24,2022,deutschland-tour,gc,Saris Rouvy Sauerland Team,2.Pro,,0,0,,5.0,,,5.0
2022-09-14,2022,gp-de-wallonie,gc,Saris Rouvy Sauerland Team,1.Pro,,,1,,0.0,,,0.0
2022-06-10,2022,gp-du-canton-d-argovie,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,0.0
2022-03-06,2022,grote-prijs-jean-pierre-monsere,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,0.0
2022-05-29,2022,grote-prijs-marcel-kint,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,0.0
2022-03-10,2022,istrian-spring-tour,gc,Saris Rouvy Sauerland Team,2.2,,,1,,0.0,,,0.0
2022-10-03,2022,munsterland-giro,gc,Saris Rouvy Sauerland Team,1.Pro,,,1,,0.0,,,11.0
2022-06-26,2022,nc-belgium,gc,Saris Rouvy Sauerland Team,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-canada2,gc,Saris Rouvy Sauerland Team,NC,,0,0,,0.0,,,3.0
2022-06-26,2022,nc-germany,gc,Saris Rouvy Sauerland Team,NC,,,1,,0.0,,,0.0
2022-06-24,2022,nc-germany-itt,gc,Saris Rouvy Sauerland Team,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-switserland,gc,Saris Rouvy Sauerland Team,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,ncgreat-britain,gc,Saris Rouvy Sauerland Team,NC,,0,0,,0.0,,,0.0
2022-03-06,2022,porec-trophy,gc,Saris Rouvy Sauerland Team,1.2,,,1,,0.0,,,0.0
2022-03-13,2022,ronde-van-drenthe,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,0.0
2022-05-07,2022,ronde-van-overijssel,gc,Saris Rouvy Sauerland Team,1.2,,0,0,,0.0,,,0.0
2022-05-22,2022,rund-um-koln,gc,Saris Rouvy Sauerland Team,1.1,,0,0,,0.0,,,5.0
2022-07-02,2022,sibiu-cycling-tour,gc,Saris Rouvy Sauerland Team,2.1,,0,0,,35.0,,,35.0
2022-02-10,2022,tour-of-antalya,gc,Saris Rouvy Sauerland Team,2.1,,0,0,,0.0,,,0.0
2022-04-10,2022,tour-of-turkey,gc,Saris Rouvy Sauerland Team,2.Pro,120.0,0.0,1,,0.0,,,0.0
2022-03-02,2022,trofej-umag,gc,Saris Rouvy Sauerland Team,1.2,,,1,,0.0,,,0.0
2022-06-02,2022,trofeo-alcide-degasperi,gc,Saris Rouvy Sauerland Team,1.2,,0,0,,0.0,,,0.0
2022-04-02,2022,volta-nxt-classic,gc,Saris Rouvy Sauerland Team,1.1,,,1,,0.0,,,3.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,Saris Rouvy Sauerland Team,1.2,,,1,,0.0,,,0.0
2023-04-06,2023,circuit-des-ardennes,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2023-08-23,2023,deutschland-tour,gc,P&S Benotti,2.Pro,,0,0,,0.0,,,0.0
2023-07-26,2023,dookola-mazowsza,gc,P&S Benotti,2.2,72.0,0.0,1,,0.0,,,0.0
2023-05-17,2023,fleche-du-sud,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2023-06-09,2023,gp-du-canton-d-argovie,gc,P&S Benotti,1.1,,0,0,,0.0,,,0.0
2023-04-30,2023,gp-vorarlberg,gc,P&S Benotti,1.2,,0,0,,0.0,,,0.0
2023-03-09,2023,istrian-spring-tour,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,P&S Benotti,1.2,,,1,,0.0,,,3.0
2023-08-12,2023,memorial-henryka-lasaka,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-08-13,2023,memorial_jana_magiery_2022,gc,P&S Benotti,1.2,,,1,,0.0,,,3.0
2023-10-03,2023,munsterland-giro,gc,P&S Benotti,1.Pro,,,1,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,P&S Benotti,NC,,,1,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,P&S Benotti,NC,,0,0,,0.0,,,0.0
2023-06-01,2023,oberosterreichrundfahrt,gc,P&S Benotti,2.2,,0,0,,3.0,,,3.0
2023-05-29,2023,paris-troyes,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-03-05,2023,porec-trophy,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-07-30,2023,puchar-ministra-obrony-narodowej,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-05-21,2023,rund-um-koln,gc,P&S Benotti,1.1,,,1,,0.0,,,0.0
2023-05-26,2023,tour-de-la-mirabelle,gc,P&S Benotti,2.2,86.0,0.0,1,,0.0,,,0.0
2023-04-12,2023,tour-du-loir-et-cher,gc,P&S Benotti,2.2,,,1,,0.0,,,0.0
2023-07-02,2023,tour-of-austria,gc,P&S Benotti,2.1,,0,0,,3.0,,,3.0
2023-10-08,2023,tour-of-turkey,gc,P&S Benotti,2.1,92.0,0.0,1,,3.0,,,3.0
2023-03-01,2023,trofej-umag,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2024-04-18,2024,banja-luka-belgrade-i,gc,P&S Metalltechnik Benotti,2.2,129.0,0.0,1,,0.0,,,3.0
2024-06-26,2024,course-cycliste-de-solidarnosc,gc,P&S Metalltechnik Benotti,2.2,98.0,0.0,1,,6.0,,,6.0
2024-07-24,2024,dookola-mazowsza,gc,P&S Metalltechnik Benotti,2.2,73.0,0.0,1,,3.0,,,3.0
2024-05-08,2024,fleche-du-sud,gc,P&S Metalltechnik Benotti,2.2,94.0,0.0,1,,0.0,,,0.0
2024-06-07,2024,gp-du-canton-d-argovie,gc,P&S Metalltechnik Benotti,1.1,,0,0,,0.0,,,0.0
2024-05-01,2024,gp-vorarlberg,gc,P&S Metalltechnik Benotti,1.2,,0,0,,0.0,,,0.0
2024-08-31,2024,in-the-footsteps-of-the-romans,gc,P&S Metalltechnik Benotti,2.2,,0,0,,3.0,,,10.0
2024-03-07,2024,istrian-spring-tour,gc,P&S Metalltechnik Benotti,2.2,,0,0,,0.0,,,3.0
2024-04-28,2024,kirschblutenrennen,gc,P&S Metalltechnik Benotti,1.2,,0,0,,0.0,,,0.0
2024-07-23,2024,memorial-andrzeja-trochanowskiego,gc,P&S Metalltechnik Benotti,1.2,,,1,,0.0,,,0.0
2024-10-03,2024,munsterland-giro,gc,P&S Metalltechnik Benotti,1.Pro,,0,0,,0.0,,,0.0
2024-06-23,2024,nc-germany,gc,P&S Metalltechnik Benotti,NC,,,1,,0.0,,,0.0
2024-06-21,2024,nc-germany-itt,gc,P&S Metalltechnik Benotti,NC,,0,0,,0.0,,,0.0
2024-05-20,2024,paris-troyes,gc,P&S Metalltechnik Benotti,1.2,,0,0,,0.0,,,0.0
2024-03-03,2024,porec-trophy,gc,P&S Metalltechnik Benotti,1.2,,,1,,0.0,,,0.0
2024-07-28,2024,puchar-ministra-obrony-narodowej,gc,P&S Metalltechnik Benotti,1.2,,,1,,0.0,,,20.0
2024-05-22,2024,rhone-alpes-isere-tour,gc,P&S Metalltechnik Benotti,2.2,,0,0,,0.0,,,0.0
2024-05-26,2024,rund-um-koln,gc,P&S Metalltechnik Benotti,1.1,,,1,,0.0,,,0.0
2024-07-02,2024,tour-of-austria,gc,P&S Metalltechnik Benotti,2.1,,0,0,,0.0,,,0.0
2024-08-24,2024,tour-of-bulgaria,gc,P&S Metalltechnik Benotti,2.2,,0,0,,35.0,,,38.0
