date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-05-22,2022,albani-classic-fyen-rundt,gc,Team Georg Berg,1.2,,,1,,0.0,,,0.0
2022-05-21,2022,gp-herning,gc,Team Georg Berg,1.2,,0.0,0,,0.0,,,0.0
2022-05-07,2022,hadeland-gp,gc,Team Georg Berg,1.2,,0.0,0,,0.0,,,0.0
2022-05-08,2022,ringerike-gp,gc,Team Georg Berg,1.2,,0.0,0,,0.0,,,0.0
2022-08-06,2022,scandinavian-race-uppsala,gc,Team Georg Berg,1.2,,,1,,0.0,,,15.0
2023-05-14,2023,albani-classic-fyen-rundt,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2023-05-13,2023,gp-herning,gc,Team Give Elementer,1.2,,0.0,0,,0.0,,,0.0
2023-09-03,2023,gylne-gutuer,gc,Team Give Elementer,1.2,,0.0,0,,0.0,,,0.0
2023-05-06,2023,hadeland-gp,gc,Team Give Elementer,1.2,,0.0,0,,0.0,,,20.0
2023-09-02,2023,lillehammer-gp,gc,Team Give Elementer,1.2,,0.0,0,,0.0,,,0.0
2023-05-07,2023,ringerike-gp,gc,Team Give Elementer,1.2,,0.0,0,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,Team Give Elementer,2.2,,0.0,0,,0.0,,,0.0
2024-05-26,2024,albani-classic-fyen-rundt,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,danish-championships,gc,Team Give Elementer,NC,,,1,,0.0,,,0.0
2024-05-25,2024,gp-herning,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2024-04-28,2024,kirschblutenrennen,gc,Team Give Elementer,1.2,,,1,,0.0,,,3.0
2024-06-21,2024,nc-denmark-itt,gc,Team Give Elementer,NC,,0.0,0,,0.0,,,0.0
2024-05-30,2024,tour-of-malopolska,gc,Team Give Elementer,2.2,,,1,,0.0,,,0.0
