date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-03-10,2022,istrian-spring-tour,gc,Switzerland,2.2,,0,0,,0.0,,,0.0
2022-06-06,2022,paris-troyes,gc,Elite Fondations Cycling Team,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,popolarissima,gc,Switzerland,1.2,,0,0,,0.0,,,0.0
2022-03-06,2022,porec-trophy,gc,Switzerland,1.2,,0,0,,0.0,,,0.0
2022-05-26,2022,tour-de-la-mirabelle,gc,Switzerland,2.2,98.0,0.0,1,,25.0,,,25.0
2022-03-21,2022,tour-de-normadie,gc,Switzerland,2.2,,,1,,0.0,,,0.0
2022-04-26,2022,tour-de-romandie,gc,Switzerland,2.UWT,,0,0,,10.0,,,10.0
2022-06-12,2022,tour-de-suisse,gc,Switzerland,2.UWT,,0,0,,33.0,,,33.0
2022-03-02,2022,trofej-umag,gc,Switzerland,1.2,,0,0,,0.0,,,0.0
2022-08-17,2022,uec-road-european-championships-itt,gc,Switzerland,CC,,0,0,,0.0,,,125.0
2022-08-14,2022,uec-road-european-championships-me,gc,Switzerland,CC,,0,0,,0.0,,,15.0
2022-09-25,2022,world-championship,gc,Switzerland,WC,,0,0,,0.0,,,70.0
2022-09-18,2022,world-championship-itt,gc,Switzerland,WC,,0,0,,0.0,,,375.0
2023-06-25,2023,nc-switserland,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,0.0
2023-10-01,2023,nc-switzerland-itt,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,20.0
2023-05-26,2023,tour-de-la-mirabelle,gc,Elite Fondations Cycling Team,2.2,64.0,0.0,1,,20.0,,,21.0
2024-04-04,2024,circuit-des-ardennes,gc,Switzerland,2.2,,,1,,0.0,,,0.0
2024-09-04,2024,giro-della-regione-friuli-venezia-giulia,gc,Swiss Cycling,2.2,,0,0,,0.0,,,-4.0
2024-03-03,2024,gp-de-la-ville-de-lillers,gc,Elite Fondations Cycling Team,1.2,,,1,,0.0,,,25.0
2024-06-07,2024,gp-du-canton-d-argovie,gc,Swiss Cycling,1.1,,,1,,0.0,,,0.0
2024-03-02,2024,le-tour-des-100-communes,gc,Elite Fondations Cycling Team,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,nc-switserland,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,0.0
2024-06-20,2024,nc-switzerland-itt,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,3.0
2024-08-03,2024,olympic-games,gc,Switzerland,Olympics,,0,0,,0.0,,,315.0
2024-07-27,2024,olympic-games-itt,gc,Switzerland,Olympics,,0,0,,0.0,,,220.0
2024-05-20,2024,paris-troyes,gc,Switzerland,1.2,,0,0,,0.0,,,0.0
2024-05-23,2024,tour-de-la-mirabelle,gc,Elite Fondations Cycling Team,2.2,,,1,,25.0,,,25.0
2024-04-23,2024,tour-de-romandie,gc,Swiss Cycling,2.UWT,,0,0,,0.0,,,2.0
2024-06-09,2024,tour-de-suisse,gc,Swiss Cycling,2.UWT,,0,0,,0.0,,,0.0
2024-09-11,2024,uec-road-european-championships-itt,gc,Switzerland,CC,,0,0,,0.0,,,55.0
2024-09-15,2024,uec-road-european-championships-me,gc,Switzerland,CC,,,1,,0.0,,,40.0
2024-03-20,2024,volta-ao-alentejo,gc,Swiss Cycling,2.2,,0,0,,0.0,,,0.0
2024-09-29,2024,world-championship,gc,Switzerland,WC,,0,0,,0.0,,,355.0
2024-09-22,2024,world-championship-itt,gc,Switzerland,WC,,0,0,,0.0,,,90.0
2025-10-07,2025,coppa-citta-di-san-daniele2,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,0.0
2025-05-28,2025,fleche-du-sud,gc,Elite Fondations Cycling Team,2.2,74.0,0.0,1,,15.0,,,13.0
2025-03-09,2025,gp-de-la-ville-de-lillers,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,0.0
2025-07-10,2025,gp-int-torres-vedras,gc,Elite Fondations Cycling Team,2.2,,,1,,0.0,,,0.0
2025-08-31,2025,grand-prix-de-plouay,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,0.0
2025-08-02,2025,kreiz-breizh-elites,gc,Elite Fondations Cycling Team,2.2,,0,0,,0.0,,,0.0
2025-03-08,2025,le-tour-des-100-communes,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-switserland,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,148.0
2025-06-26,2025,nc-switzerland-itt,gc,Elite Fondations Cycling Team,NC,,,1,,0.0,,,5.0
2025-06-09,2025,paris-troyes,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,0.0
2025-05-11,2025,radsportfest-marwil,gc,Elite Fondations Cycling Team,1.2,,,1,,0.0,,,0.0
2025-05-28,2025,rhone-alpes-isere-tour,gc,Elite Fondations Cycling Team,2.2,,0,0,,0.0,,,-2.0
2025-09-26,2025,tour-de-la-mirabelle,gc,Elite Fondations Cycling Team,1.2,,0,0,,0.0,,,5.0
