date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-18,2021,nc-ecuador,gc,Best PC Ecuador,NC,,0,0,,0.0,,,76.0
2021-06-17,2021,nc-ecuador-itt,gc,Best PC Ecuador,NC,,0,0,,0.0,,,0.0
2021-12-08,2021,vuelta-a-ecuador,gc,Best PC Ecuador,2.2,32.0,0.0,1,,55.0,,,74.0
2021-01-17,2021,vuelta-al-tachira,gc,Best PC Ecuador,2.2,,0,0,,0.0,,,7.0
2023-09-25,2023,vuelta-a-ecuador,gc,Team Saitel,2.2,21.0,0.0,1,,10.0,,,11.0
2024-02-06,2024,colombia-21,gc,Team Saitel,2.1,78.0,0.0,1,,0.0,,,0.0
2024-02-03,2024,nc-ecuador,gc,Team Saitel,NC,,0,0,,0.0,,,0.0
2024-11-11,2024,vuelta-a-ecuador,gc,Team Saitel,2.2,18.0,0.0,1,,3.0,,,7.0
2024-05-01,2024,vuelta-bantrab,gc,Team Saitel,2.2,42.0,0.0,1,,0.0,,,-5.0
2024-10-06,2024,vuelta-ciclista-a-venezuela,gc,Team Saitel,2.2,40.0,0.0,1,,0.0,,,8.0
2024-06-14,2024,vuelta-pilsen-a-colombia,gc,Team Saitel,2.2,86.0,0.0,1,,0.0,,,-7.0
