date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-04-02,2018,circuito-belvedere,gc,UC Monaco,1.2U,,0,0,,0.0,,,0.0
2018-07-11,2018,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,UC Monaco,2.2U,,,1,,0.0,,,0.0
2018-04-03,2018,gp-palio-del-recioto,gc,UC Monaco,1.2U,,0,0,,0.0,,,0.0
2018-10-07,2018,piccolo-giro-di-lombardia,gc,UC Monaco,1.2U,,,1,,0.0,,,0.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,LAN Service - GranMonferrato - Zheroquadro,2.2,53.0,0.0,1,,0.0,,,0.0
2022-04-14,2022,banja-luka-belgrade-i,gc,Gallina Ecotek Lucchini Colosio,2.1,,0,0,,28.0,,,28.0
2022-05-01,2022,circuito-del-porto-trofeo-arvedi,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,0.0
2022-07-03,2022,giro-del-medio-brenta,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,0.0
2022-06-02,2022,giro-dell-appennino,gc,Gallina Ecotek Lucchini Colosio,1.1,,0,0,,0.0,,,3.0
2022-03-27,2022,gp-adria-mobil,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,0.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,3.0
2022-07-24,2022,gp-kranj,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,23.0
2022-09-03,2022,in-the-footsteps-of-the-romans,gc,Gallina Ecotek Lucchini Colosio,2.2,,0,0,,13.0,,,16.0
2022-06-26,2022,nc-italy,gc,Gallina Ecotek Lucchini Colosio,NC,,0,0,,0.0,,,0.0
2022-03-20,2022,per-sempre-alfredo,gc,Gallina Ecotek Lucchini Colosio,1.1,,,1,,0.0,,,0.0
2022-03-20,2022,popolarissima,gc,Gallina Ecotek Lucchini Colosio,1.2,,0,0,,0.0,,,0.0
2022-08-27,2022,tour-of-bulgaria,gc,Gallina Ecotek Lucchini Colosio,2.2,,0,0,,65.0,,,69.0
2022-06-03,2022,tour-of-malopolska,gc,Gallina Ecotek Lucchini Colosio,2.2,,0,0,,15.0,,,22.0
