date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-04-27,2022,tour-of-the-gila,gc,Cinch Rise,2.2,,,1,,0.0,,,0.0
2023-04-14,2023,classic-grand-besancon-doubs,gc,United States,1.1,,,1,,0.0,,,0.0
2023-09-03,2023,maryland-cycling-classic,gc,United States,1.Pro,,0,0,,0.0,,,10.0
2023-08-30,2023,muur-classic-geraardsbergen,gc,United States,1.2,,,1,,0.0,,,0.0
2023-02-12,2023,nc-new-zealand,gc,Aevolo,NC,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-united-states,gc,Aevolo,NC,,,1,,0.0,,,1.0
2023-06-22,2023,nc-usa-itt,gc,Aevolo,NC,,0,0,,0.0,,,15.0
2023-03-11,2023,rhodes-gp,gc,Aevolo,1.2,,,1,,0.0,,,3.0
2023-08-27,2023,ronde-van-de-achterhoek,gc,United States,1.2,,,1,,0.0,,,0.0
2023-03-04,2023,south-aegean-tour,gc,Aevolo,2.2,50.0,0.0,1,,5.0,,,5.0
2023-04-16,2023,tour-du-doubs,gc,United States,1.1,,,1,,0.0,,,0.0
2023-04-15,2023,tour-du-jura-cycliste,gc,United States,1.1,,,1,,0.0,,,0.0
2023-05-02,2023,tour-of-hellas,gc,United States,2.1,54.0,0.0,1,,25.0,,,28.0
2023-03-17,2023,tour-of-rhodes,gc,Aevolo,2.2,,0,0,,5.0,,,8.0
2023-04-26,2023,tour-of-the-gila,gc,Aevolo,2.2,,0,0,,0.0,,,0.0
2023-08-06,2023,world-championship,gc,United States,WC,,0,0,,0.0,,,175.0
2023-08-11,2023,world-championship-itt,gc,United States,WC,,0,0,,0.0,,,215.0
2024-03-17,2024,dorpenomloop-rucphen,gc,United States,1.2,,,1,,0.0,,,0.0
2024-05-19,2024,nc-united-states,gc,Aevolo,NC,,,1,,0.0,,,32.0
2024-01-10,2024,new-zealand-cycle-classic,gc,United States,2.2,,0,0,,0.0,,,-7.0
2024-03-20,2024,olympias-tour,gc,United States,2.2,44.0,0.0,1,,0.0,,,0.0
2024-08-03,2024,olympic-games,gc,United States,Olympics,,0,0,,0.0,,,235.0
2024-07-27,2024,olympic-games-itt,gc,United States,Olympics,,0,0,,0.0,,,180.0
2024-03-09,2024,rhodes-gp,gc,Aevolo,1.2,,,1,,0.0,,,0.0
2024-03-02,2024,south-aegean-tour,gc,Aevolo,2.2,47.0,0.0,1,,10.0,,,10.0
2024-06-12,2024,tour-de-beauce,gc,Aevolo,2.2,24.0,0.0,1,,25.0,,,34.0
2024-03-14,2024,tour-of-rhodes,gc,Aevolo,2.2,,0,0,,0.0,,,0.0
