date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-09-18,2021,zodc-zuidenveld-tour,gc,Houttec Cycling Team,1.2,,,1,,0.0,,,0.0
2022-03-06,2022,elfsteden-race,gc,Houttec Cycling Team,1.2,,,1,,0.0,,,0.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,Houttec Cycling Team,1.2,,,1,,0.0,,,0.0
2023-03-22,2023,olympias-tour,gc,Regioteam Noord-Nederland,2.2,,0.0,0,,0.0,,,0.0
2023-03-04,2023,ster-van-zwolle,gc,Regioteam Noord-Nederland,1.2,,,1,,0.0,,,0.0
2024-06-19,2024,nc-netherlands-itt,gc,Houttec Cycling Team,NC,,0.0,0,,0.0,,,0.0
2024-03-20,2024,olympias-tour,gc,Houttec Cycling Team,2.2,,,1,,0.0,,,0.0
2024-08-25,2024,ronde-van-de-achterhoek,gc,Houttec Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-04,2024,ronde-van-overijssel,gc,Houttec Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2024-04-21,2024,trofeo-torino-biella-giro-della-provincia-di-biell,gc,Houttec Cycling Team,1.2,,0.0,0,,0.0,,,0.0
