date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-09-03,2023,grand-prix-de-plouay,gc,AG2R Citroën U23 Team,1.2,,0,0,,0.0,,,0.0
2023-07-28,2023,kreiz-breizh-elites,gc,AG2R Citroën U23 Team,2.2,,0,0,,0.0,,,0.0
2023-06-22,2023,nc-france-itt,gc,AG2R Citroën U23 Team,NC,,0,0,,0.0,,,0.0
2023-02-12,2023,nc-new-zealand,gc,AG2R Citroën U23 Team,NC,,0,0,,0.0,,,0.0
2023-06-25,2023,ncgreat-britain,gc,AG2R Citroën U23 Team,NC,,0,0,,0.0,,,0.0
2023-05-24,2023,rhone-alpes-isere-tour,gc,AG2R Citroën U23 Team,2.2,,0,0,,0.0,,,0.0
2023-06-09,2023,tour-d-eure-et-loir,gc,AG2R Citroën U23 Team,2.2,32.0,0.0,1,,0.0,,,0.0
2023-04-12,2023,tour-du-loir-et-cher,gc,AG2R Citroën U23 Team,2.2,,0,0,,10.0,,,10.0
2024-05-14,2024,4-jours-de-dunkerque,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,0.0,,,18.0
2024-05-12,2024,boucles-de-l-aulne,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2024-05-23,2024,boucles-de-la-mayenne,gc,Nice Métropole Côte d'Azur,2.Pro,96.0,0.0,1,,0.0,,,0.0
2024-03-17,2024,cholet-pays-de-loire,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2024-04-12,2024,classic-grand-besancon-doubs,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-03-16,2024,classic-loire-atlantique,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,13.0
2024-02-16,2024,classic-var,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,3.0
2024-02-01,2024,etoile-de-besseges,gc,Nice Métropole Côte d'Azur,2.1,96.0,0.0,1,,0.0,,,0.0
2024-02-24,2024,faun-ardeche-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,,1,,0.0,,,0.0
2024-09-15,2024,gp-d-isbergues,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-01-28,2024,gp-d-ouverture,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,20.0
2024-03-14,2024,gp-de-denain,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2024-09-08,2024,gp-de-fourmies,gc,Nice Métropole Côte d'Azur,1.Pro,,,1,,0.0,,,0.0
2024-05-04,2024,gp-de-plumelec,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2024-01-20,2024,gp-de-valence,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2024-08-25,2024,grand-prix-de-plouay,gc,Nice Métropole Côte d'Azur,1.2,,0,0,,0.0,,,0.0
2024-02-25,2024,la-drome-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,,1,,0.0,,,0.0
2024-08-11,2024,la-poly-normande,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,38.0
2024-03-24,2024,la-roue-tourangelle,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,20.0
2024-05-29,2024,mercan-tour-classic-alpes-maritimes,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-06-23,2024,nc-france,gc,Nice Métropole Côte d'Azur,NC,,,1,,0.0,,,0.0
2024-06-23,2024,nc-netherlands,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2024-03-27,2024,paris-camembert,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,3.0
2024-10-06,2024,paris-tours,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2024-04-02,2024,region-pays-de-la-loire,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2024-03-29,2024,route-adelie-de-vitre,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,6.0
2024-01-21,2024,ruta-de-la-ceramica-gran-premio-castellon,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-02-08,2024,tour-cycliste-international-la-provence,gc,Nice Métropole Côte d'Azur,2.1,64.0,0.0,1,,0.0,,,0.0
2024-09-27,2024,tour-d-eure-et-loir,gc,Nice Métropole Côte d'Azur,2.2,,,1,,0.0,,,0.0
2024-07-13,2024,tour-de-l-ain,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2024-02-17,2024,tour-des-alpes-maritimes,gc,Nice Métropole Côte d'Azur,2.1,62.0,0.0,1,,0.0,,,0.0
2024-04-14,2024,tour-du-doubs,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-05-11,2024,tour-du-finistere,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2024-04-13,2024,tour-du-jura-cycliste,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2024-08-13,2024,tour-du-limousin,gc,Nice Métropole Côte d'Azur,2.1,,,1,,0.0,,,-15.0
2024-05-31,2024,tour-du-maroc,gc,Nice Métropole Côte d'Azur,2.2,,0,0,,76.0,,,113.0
2024-08-20,2024,tour-du-poitou-charentes-et-de-la-vienne,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2024-05-05,2024,tro-bro-leon,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2025-05-14,2025,4-jours-de-dunkerque,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,0.0,,,0.0
2025-05-08,2025,boucles-de-l-aulne,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-05-29,2025,boucles-de-la-mayenne,gc,Nice Métropole Côte d'Azur,2.Pro,,0,0,,3.0,,,3.0
2025-03-23,2025,cholet-pays-de-loire,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-04-18,2025,classic-grand-besancon-doubs,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-02-21,2025,classic-var,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-01-24,2025,classica-camp-de-morvedre,gc,Nice Métropole Côte d'Azur,1.2,,0,0,,0.0,,,3.0
2025-05-13,2025,classique-dunkerque,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,3.0
2025-02-05,2025,etoile-de-besseges,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,3.0,,,3.0
2025-03-01,2025,faun-ardeche-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,3.0
2025-09-21,2025,gp-d-isbergues,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,25.0
2025-02-02,2025,gp-d-ouverture,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2025-03-20,2025,gp-de-denain,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2025-09-14,2025,gp-de-fourmies,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,5.0
2025-05-10,2025,gp-de-plumelec,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2025-01-26,2025,gp-de-valence,gc,Nice Métropole Côte d'Azur,1.1,,,1,,0.0,,,0.0
2025-03-02,2025,la-drome-classic,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,3.0
2025-08-17,2025,la-poly-normande,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,3.0
2025-03-30,2025,la-roue-tourangelle,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-06-18,2025,la-route-d-occitanie,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,3.0,,,3.0
2025-05-26,2025,mercan-tour-classic-alpes-maritimes,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,15.0
2025-06-29,2025,national-championships-malta-me-road-race,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,1.0
2025-06-29,2025,nc-france,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2025-06-28,2025,nc-netherlands,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2025-06-22,2025,nc-romania,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,3.0
2025-06-20,2025,nc-romania-itt,gc,Nice Métropole Côte d'Azur,NC,,0,0,,0.0,,,0.0
2025-04-02,2025,paris-camembert,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-10-12,2025,paris-tours,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
2025-04-08,2025,region-pays-de-la-loire,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2025-04-04,2025,route-adelie-de-vitre,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-02-14,2025,tour-cycliste-international-la-provence,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,3.0
2025-08-06,2025,tour-de-l-ain,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2025-10-11,2025,tour-de-vendee,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-02-22,2025,tour-des-alpes-maritimes,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,3.0,,,3.0
2025-04-20,2025,tour-du-doubs,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-05-09,2025,tour-du-finistere,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-04-19,2025,tour-du-jura-cycliste,gc,Nice Métropole Côte d'Azur,1.1,,0,0,,0.0,,,0.0
2025-08-19,2025,tour-du-limousin,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,5.0,,,5.0
2025-08-26,2025,tour-du-poitou-charentes-et-de-la-vienne,gc,Nice Métropole Côte d'Azur,2.1,,0,0,,0.0,,,0.0
2025-05-11,2025,tro-bro-leon,gc,Nice Métropole Côte d'Azur,1.Pro,,0,0,,0.0,,,0.0
