date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-04-06,2023,circuit-des-ardennes,gc,Italy,2.2,,0,0,,0.0,,,1.0
2023-04-16,2023,giro-di-reggio-calabria,gc,Italy,1.1,,0,0,,0.0,,,38.0
2023-04-11,2023,giro-di-sicilia,gc,Italy,2.1,,0,0,,0.0,,,3.0
2023-07-28,2023,kreiz-breizh-elites,gc,Italy,2.2,,0,0,,5.0,,,5.0
2023-04-25,2023,le-tour-de-bretagne,gc,Italy,2.2,61.0,0.0,1,,3.0,,,4.0
2023-09-16,2023,memorial-marco-pantani,gc,Italy,1.1,,0,0,,0.0,,,0.0
2023-05-04,2023,tour-de-catamarca-internacional,gc,Italy,2.2,,0,0,,0.0,,,14.0
2023-09-17,2023,trofeo-matteotti,gc,Italy,1.1,,0,0,,0.0,,,88.0
2023-09-20,2023,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,25.0
2023-09-24,2023,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,30.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,Italy,2.2,,0,0,,18.0,,,24.0
2023-01-22,2023,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Italy,2.Pro,,0,0,,0.0,,,0.0
2023-08-06,2023,world-championship,gc,Italy,WC,,0,0,,0.0,,,240.0
2023-08-11,2023,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,415.0
2024-05-05,2024,circuito-del-porto-trofeo-arvedi,gc,Biesse - Carrera,1.2,,0,0,,0.0,,,3.0
2024-10-06,2024,coppa-agostoni,gc,Biesse - Carrera,1.1,,,1,,0.0,,,3.0
2024-10-07,2024,coppa-bernocchi,gc,Biesse - Carrera,1.Pro,,0,0,,0.0,,,0.0
2024-10-01,2024,coppa-citta-di-san-daniele2,gc,Biesse - Carrera,1.2,,,1,,0.0,,,0.0
2024-04-09,2024,giro-d-abruzzo,gc,Biesse - Carrera,2.1,75.0,0.0,1,,3.0,,,3.0
2024-07-07,2024,giro-del-medio-brenta,gc,Biesse - Carrera,1.2,,0,0,,0.0,,,3.0
2024-10-16,2024,giro-del-veneto,gc,Biesse - Carrera,1.Pro,,0,0,,0.0,,,3.0
2024-07-14,2024,giro-dell-appennino,gc,Biesse - Carrera,1.1,,,1,,0.0,,,0.0
2024-09-04,2024,giro-della-regione-friuli-venezia-giulia,gc,Biesse - Carrera,2.2,,0,0,,0.0,,,0.0
2024-04-21,2024,giro-di-romagna,gc,Biesse - Carrera,1.1,,0,0,,0.0,,,3.0
2024-03-24,2024,gp-adria-mobil,gc,Biesse - Carrera,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,nc-italy,gc,Biesse - Carrera,NC,,0,0,,0.0,,,0.0
2024-06-27,2024,okolo-slovenska,gc,Biesse - Carrera,2.1,,0,0,,0.0,,,0.0
2024-05-20,2024,paris-troyes,gc,Biesse - Carrera,1.2,,0,0,,0.0,,,3.0
2024-03-17,2024,popolarissima,gc,Biesse - Carrera,1.2,,0,0,,0.0,,,3.0
2024-05-24,2024,tour-de-la-mirabelle,gc,Biesse - Carrera,2.2,,0,0,,3.0,,,3.0
2024-07-02,2024,trofeo-citta-di-brescia,gc,Biesse - Carrera,1.2,,0,0,,0.0,,,0.0
2024-02-28,2024,trofeo-laigueglia,gc,Biesse - Carrera,1.Pro,,,1,,0.0,,,0.0
2024-04-21,2024,trofeo-torino-biella-giro-della-provincia-di-biell,gc,Biesse - Carrera,1.2,,,1,,0.0,,,5.0
2024-10-20,2024,veneto-classic,gc,Biesse - Carrera,1.Pro,,,1,,0.0,,,0.0
2025-05-14,2025,4-jours-de-dunkerque,gc,Cofidis,2.Pro,,0,0,,95.0,,,95.0
2025-04-20,2025,amstel-gold-race,gc,Cofidis,1.UWT,,0,0,,0.0,,,10.0
2025-06-09,2025,antwerp-port-epic,gc,Cofidis,1.1,,0,0,,0.0,,,25.0
2025-08-07,2025,arctic-race-of-norway,gc,Cofidis,2.Pro,,0,0,,21.0,,,21.0
2025-05-08,2025,boucles-de-l-aulne,gc,Cofidis,1.1,,0,0,,0.0,,,20.0
2025-05-29,2025,boucles-de-la-mayenne,gc,Cofidis,2.Pro,,0,0,,80.0,,,90.0
2025-04-18,2025,brabantse-pijl,gc,Cofidis,1.Pro,,0,0,,0.0,,,105.0
2025-03-21,2025,bredene-koksijde-classic,gc,Cofidis,1.Pro,,0,0,,0.0,,,68.0
2025-08-31,2025,bretagne-classic,gc,Cofidis,1.UWT,,0,0,,0.0,,,32.0
2025-06-08,2025,brussels-cycling-classic,gc,Cofidis,1.Pro,,0,0,,0.0,,,155.0
2025-03-23,2025,cholet-pays-de-loire,gc,Cofidis,1.1,,0,0,,0.0,,,88.0
2025-10-19,2025,chrono-des-nations,gc,Cofidis,1.1,,0,0,,0.0,,,41.0
2025-06-15,2025,circuit-des-xi-villes,gc,Cofidis,1.1,,0,0,,0.0,,,6.0
2025-08-15,2025,circuit-franco-belge,gc,Cofidis,1.Pro,,0,0,,0.0,,,85.0
2025-08-03,2025,circuito-de-getxo,gc,Cofidis,1.1,,0,0,,0.0,,,76.0
2025-05-18,2025,circuito-del-porto-trofeo-arvedi,gc,Biesse - Carrera - Premac,1.2,,0,0,,0.0,,,5.0
2025-02-16,2025,clasica-de-almeria,gc,Cofidis,1.Pro,,0,0,,0.0,,,203.0
2025-03-26,2025,classic-brugge-de-panne,gc,Cofidis,1.UWT,,0,0,,0.0,,,95.0
2025-04-18,2025,classic-grand-besancon-doubs,gc,Cofidis,1.1,,0,0,,0.0,,,53.0
2025-02-21,2025,classic-var,gc,Cofidis,1.1,,0,0,,0.0,,,13.0
2025-05-13,2025,classique-dunkerque,gc,Cofidis,1.Pro,,0,0,,0.0,,,90.0
2025-06-22,2025,copenhagen-sprint,gc,Cofidis,1.UWT,,0,0,,0.0,,,315.0
2025-10-05,2025,coppa-agostoni,gc,Biesse - Carrera - Premac,1.1,,,1,,0.0,,,0.0
2025-10-05,2025,coppa-agostoni,gc,Cofidis,1.1,,0,0,,0.0,,,35.0
2025-10-06,2025,coppa-bernocchi,gc,Cofidis,1.Pro,,,1,,0.0,,,16.0
2025-10-07,2025,coppa-citta-di-san-daniele2,gc,Biesse - Carrera - Premac,1.2,,0,0,,0.0,,,30.0
2025-08-17,2025,cyclassics-hamburg,gc,Cofidis,1.UWT,,0,0,,0.0,,,88.0
2025-01-31,2025,deia-trophy,gc,Cofidis,1.1,,0,0,,0.0,,,0.0
2025-05-24,2025,due-giorni-marchigiana-gp-santa-rita,gc,Biesse - Carrera - Premac,1.2,,,1,,0.0,,,30.0
2025-06-14,2025,dwars-door-het-hageland,gc,Cofidis,1.Pro,,0,0,,0.0,,,0.0
2025-04-02,2025,dwars-door-vlaanderen,gc,Cofidis,1.UWT,,0,0,,0.0,,,17.0
2025-03-28,2025,e3-harelbeke,gc,Cofidis,1.UWT,,0,0,,0.0,,,120.0
2025-05-01,2025,eschborn-frankfurt,gc,Cofidis,1.UWT,,0,0,,0.0,,,147.0
2025-02-05,2025,etoile-de-besseges,gc,Cofidis,2.1,,0,0,,136.0,,,139.0
2025-03-01,2025,faun-ardeche-classic,gc,Cofidis,1.Pro,,0,0,,0.0,,,5.0
2025-02-16,2025,figueira-champions-classic,gc,Cofidis,1.Pro,,0,0,,0.0,,,26.0
