date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-10-23,2022,vuelta-a-guatemala,gc,ASO Quiché-Copiner R.L.,2.2,90.0,0.0,1,,0.0,,,0.0
2023-08-13,2023,gran-premio-chapin,gc,ASO Quiché-Copiner R.L.,1.2,,,1,,0.0,,,0.0
2023-08-12,2023,gran-premio-guatemala,gc,ASO Quiché-Copiner R.L.,1.2,,0,0,,0.0,,,0.0
2023-11-17,2023,vuelta-a-guatemala,gc,ASO Quiché-Copiner R.L.,2.2,61.0,0.0,1,,0.0,,,0.0
2023-03-29,2023,vuelta-bantrab,gc,ASO Quiché-Copiner R.L.,2.2,69.0,0.0,1,,0.0,,,0.0
2024-06-23,2024,nc-guatemala,gc,Decorabaños – AC Quetzaltenango,NC,,,1,,0.0,,,45.0
2024-06-16,2024,nc-guatemala-itt,gc,Decorabaños – AC Quetzaltenango,NC,,0,0,,0.0,,,25.0
2024-10-25,2024,vuelta-a-guatemala,gc,Asociacion Quiché,2.2,90.0,0.0,1,,0.0,,,0.0
2024-10-25,2024,vuelta-a-guatemala,gc,Decorabaños – AC Quetzaltenango,2.2,,0,0,,3.0,,,3.0
2024-05-01,2024,vuelta-bantrab,gc,Asociacion Quiché,2.2,,,1,,0.0,,,0.0
2024-05-01,2024,vuelta-bantrab,gc,Decorabaños – AC Quetzaltenango,2.2,,0,0,,0.0,,,-5.0
