date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,Cibel - Cebon,1.1,,,1,,0.0,,,0.0
2017-08-06,2017,antwerpse-havenpijl,gc,Cibel - Cebon,1.2,,0,0,,0.0,,,3.0
2017-04-22,2017,arno-wallaard-memorial,gc,Cibel - Cebon,1.2,,,1,,0.0,,,0.0
2017-03-17,2017,bredene-koksijde-classic,gc,Cibel - Cebon,1.1,,,1,,0.0,,,0.0
2017-09-02,2017,brussels-cycling-classic,gc,Cibel - Cebon,1.HC,,,1,,0.0,,,33.0
2017-05-01,2017,circuit-de-wallonie,gc,Cibel - Cebon,1.2,,,1,,0.0,,,3.0
2017-06-18,2017,circuit-des-xi-villes,gc,Cibel - Cebon,1.1,,,1,,0.0,,,3.0
2017-10-01,2017,circuit-franco-belge,gc,Cibel - Cebon,1.HC,,,1,,0.0,,,5.0
2017-03-28,2017,classic-brugge-de-panne,gc,Cibel - Cebon,2.HC,28.0,5.0,1,,10.0,,,10.0
2017-09-09,2017,de-kustpijl,gc,Cibel - Cebon,1.2,,,1,,0.0,,,3.0
2017-08-23,2017,druivenkoers-overijse,gc,Cibel - Cebon,1.1,,0,0,,0.0,,,9.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,Cibel - Cebon,1.2,,0,0,,0.0,,,3.0
2017-08-05,2017,dwars-door-het-hageland,gc,Cibel - Cebon,1.1,,0,0,,0.0,,,23.0
2017-02-01,2017,etoile-de-besseges,gc,Cibel - Cebon,2.1,100.0,0.0,1,,3.0,,,3.0
2017-10-11,2017,famenne-ardenne-classic,gc,Cibel - Cebon,1.1,,,1,,0.0,,,5.0
2017-05-07,2017,fleche-ardennaise,gc,Cibel - Cebon,1.2,,,1,,0.0,,,10.0
2017-09-24,2017,gooikse-pijl,gc,Cibel - Cebon,1.2,,,1,,0.0,,,20.0
2017-09-13,2017,gp-de-wallonie,gc,Cibel - Cebon,1.1,,,1,,0.0,,,0.0
2017-09-16,2017,gp-impanis-van-petegem,gc,Cibel - Cebon,1.HC,,,1,,0.0,,,5.0
2017-08-20,2017,gp-jef-scherens,gc,Cibel - Cebon,1.1,,,1,,0.0,,,50.0
