date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-08-15,2021,panamerican-championships,gc,Dominican Republic,CC,,,1,,0.0,,,31.0
2023-11-05,2023,nc-barbados,gc,Miami Blazers,NC,,0.0,0,,0.0,,,30.0
2023-11-04,2023,nc-barbados-itt,gc,Miami Blazers,NC,,0.0,0,,0.0,,,25.0
2023-06-25,2023,nc-belize,gc,Miami Blazers,NC,,0.0,0,,0.0,,,15.0
2023-06-18,2023,nc-belize-itt,gc,Miami Blazers,NC,,0.0,0,,0.0,,,25.0
2023-06-25,2023,nc-dominican-republic,gc,Miami Blazers,NC,,,1,,0.0,,,15.0
2023-06-25,2023,nc-united-states,gc,Miami Blazers,NC,,0.0,0,,0.0,,,0.0
2024-06-30,2024,nc-belize,gc,L39ION of Los Angeles,NC,,0.0,0,,0.0,,,0.0
2024-06-22,2024,nc-canada2,gc,L39ION of Los Angeles,NC,,0.0,0,,0.0,,,0.0
2024-05-19,2024,nc-united-states,gc,L39ION of Los Angeles,NC,,,1,,0.0,,,8.0
