date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-26,2017,nc-colombia,gc,Medellín - Inder,NC,,0,0,,0.0,,,0.0
2017-02-24,2017,nc-colombia-itt,gc,Medellín - Inder,NC,,0,0,,0.0,,,25.0
2017-06-25,2017,nc-spain,gc,Medellín - Inder,NC,,0,0,,0.0,,,0.0
2017-09-01,2017,tour-of-alberta,gc,Medellín - Inder,2.1,38.0,0.0,1,,11.0,,,11.0
2017-05-11,2017,tour-of-ankara,gc,Medellín - Inder,2.2,,0,0,,77.0,,,102.0
2017-05-19,2017,vuelta-a-castilla-y-leon,gc,Medellín - Inder,2.1,,0,0,,43.0,,,43.0
2017-04-29,2017,vuelta-asturias,gc,Medellín - Inder,2.1,,0,0,,85.0,,,104.0
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Medellín - Inder,2.1,,0,0,,85.0,,,85.0
2017-10-11,2017,vuelta-ciclista-de-chile,gc,Medellín - Inder,2.2,,0,0,,98.0,,,98.0
2017-05-05,2017,vuelta-international-a-la-cominudad-de-madrid,gc,Medellín - Inder,2.1,,0,0,,125.0,,,130.0
2017-08-02,2017,vuelta-pilsen-a-colombia,gc,Medellín - Inder,2.2,112.0,0.0,1,,3.0,,,8.0
2017-05-29,2017,winston-salem-cycling-classic,gc,Medellín - Inder,1.1,,,1,,0.0,,,101.0
2018-04-06,2018,circuit-des-ardennes,gc,Bicicletas Strongman Colombia Coldeportes,2.2,58.0,0.0,1,,20.0,,,23.0
2018-04-02,2018,circuito-belvedere,gc,Bicicletas Strongman Colombia Coldeportes,1.2U,,0,0,,0.0,,,1.0
2018-02-06,2018,colombia-21,gc,Bicicletas Strongman Colombia Coldeportes,2.1,69.0,0.0,1,,30.0,,,30.0
2018-04-01,2018,gp-adria-mobil,gc,Bicicletas Strongman Colombia Coldeportes,1.2,,,1,,0.0,,,3.0
2018-04-03,2018,gp-palio-del-recioto,gc,Bicicletas Strongman Colombia Coldeportes,1.2U,,0,0,,0.0,,,0.0
2018-12-13,2018,gran-premio-comite-olimpico-nacional,gc,Bicicletas Strongman Colombia Coldeportes,1.2,,0,0,,0.0,,,88.0
2018-12-12,2018,gran-premio-fecoci,gc,Bicicletas Strongman Colombia Coldeportes,1.2,,0,0,,0.0,,,63.0
2018-02-04,2018,nc-colombia,gc,Bicicletas Strongman Colombia Coldeportes,NC,,,1,,0.0,,,75.0
2018-02-02,2018,nc-colombia-itt,gc,Bicicletas Strongman Colombia Coldeportes,NC,,,1,,0.0,,,0.0
2018-05-06,2018,panamerican-championships,gc,Bicicletas Strongman Colombia Coldeportes,CC,,0,0,,0.0,,,0.0
2018-04-17,2018,tour-of-croatia,gc,Bicicletas Strongman Colombia Coldeportes,2.HC,58.0,0.0,1,,58.0,,,58.0
2018-04-27,2018,vuelta-asturias,gc,Bicicletas Strongman Colombia Coldeportes,2.1,79.0,0.0,1,,5.0,,,5.0
2018-12-16,2018,vuelta-internacional-a-costa-rica,gc,Bicicletas Strongman Colombia Coldeportes,2.2,,0,0,,58.0,,,93.0
2019-04-18,2019,banja-luka-belgrade-i,gc,Coldeportes Bicicletas Strongman,2.1,47.0,0.0,1,,8.0,,,8.0
2019-02-13,2019,colombia-21,gc,Coldeportes Bicicletas Strongman,2.1,129.0,0.0,1,,8.0,,,8.0
2019-04-28,2019,giro-dell-appennino,gc,Coldeportes Bicicletas Strongman,1.1,,,1,,0.0,,,0.0
2019-04-03,2019,giro-di-sicilia,gc,Coldeportes Bicicletas Strongman,2.1,,,1,,3.0,,,3.0
2019-02-03,2019,nc-colombia,gc,Coldeportes Bicicletas Strongman,NC,,0,0,,0.0,,,151.0
2019-02-01,2019,nc-colombia-itt,gc,Coldeportes Bicicletas Strongman,NC,,,1,,0.0,,,0.0
2019-05-03,2019,vuelta-asturias,gc,Coldeportes Bicicletas Strongman,2.1,74.0,0.0,1,,6.0,,,6.0
2019-05-10,2019,vuelta-international-a-la-cominudad-de-madrid,gc,Coldeportes Bicicletas Strongman,2.1,62.0,0.0,1,,35.0,,,35.0
2020-02-12,2020,colombia-21,gc,EPM - Scott,2.1,,0,0,,53.0,,,53.0
2020-02-02,2020,nc-colombia,gc,EPM - Scott,NC,,,1,,0.0,,,4.0
2020-01-30,2020,nc-colombia-itt,gc,EPM - Scott,NC,,,1,,0.0,,,3.0
