date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2025-06-22,2025,andorra-morabanc-classica,gc,Anicolor / Tien 21,1.1,,,1,,0.0,,,3.0
2025-01-24,2025,classica-camp-de-morvedre,gc,Anicolor / Tien 21,1.2,,0.0,0,,0.0,,,0.0
2025-01-31,2025,deia-trophy,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-02-16,2025,figueira-champions-classic,gc,Anicolor / Tien 21,1.Pro,,0.0,0,,0.0,,,0.0
2025-01-26,2025,gp-de-valence,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,10.0
2025-07-11,2025,gp-int-torres-vedras,gc,Anicolor / Tien 21,2.2,,0.0,0,,75.0,,,78.0
2025-05-23,2025,gp-internacional-beiras-e-serra-da-estrela,gc,Anicolor / Tien 21,2.1,,0.0,0,,198.0,,,215.0
2025-02-26,2025,gran-camino,gc,Anicolor / Tien 21,2.1,,0.0,0,,3.0,,,3.0
2025-04-05,2025,gran-premio-miguel-indurain,gc,Anicolor / Tien 21,1.Pro,,0.0,0,,0.0,,,0.0
2025-06-29,2025,nc-france,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,0.0
2025-06-26,2025,nc-france-itt,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,0.0
2025-06-26,2025,nc-great-britain-itt,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,1.0
2025-06-27,2025,nc-portugal,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,30.0
2025-06-29,2025,nc-portugal2,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,83.0
2025-06-29,2025,nc-spain,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,0.0
2025-06-27,2025,nc-spain-itt,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,0.0
2025-06-29,2025,ncgreat-britain,gc,Anicolor / Tien 21,NC,,0.0,0,,0.0,,,0.0
2025-01-25,2025,ruta-de-la-ceramica-gran-premio-castellon,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-09-02,2025,tour-of-britain,gc,Anicolor / Tien 21,2.Pro,,,1,,13.0,,,13.0
2025-01-29,2025,trofeo-calvia,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-02-02,2025,trofeo-palma,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-02-01,2025,trofeo-pollenca-port-d-andratx,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-01-30,2025,trofeo-ses-salines-felanitx,gc,Anicolor / Tien 21,1.1,,0.0,0,,0.0,,,0.0
2025-03-23,2025,trofeu-da-arrabida,gc,Anicolor / Tien 21,1.2,,0.0,0,,0.0,,,25.0
2025-08-07,2025,volta-a-portugal,gc,Anicolor / Tien 21,2.1,,0.0,0,,250.0,,,282.0
2025-03-26,2025,volta-ao-alentejo,gc,Anicolor / Tien 21,2.2,,0.0,0,,3.0,,,3.0
2025-02-19,2025,volta-ao-algarve,gc,Anicolor / Tien 21,2.Pro,,0.0,0,,8.0,,,8.0
2025-04-24,2025,vuelta-asturias,gc,Anicolor / Tien 21,2.1,,,1,,70.0,,,73.0
