date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-07-25,2018,dookola-mazowsza,gc,Mostowy International,2.2,82.0,0.0,1,,0.0,,,0.0
2018-05-02,2018,five-rings-of-moscow,gc,RTS Racing Team,2.2,,0,0,,0.0,,,0.0
2018-08-19,2018,grand-prix-minsk,gc,RTS Racing Team,1.2,,0,0,,0.0,,,3.0
2018-06-03,2018,horizon-park-classic,gc,RTS Racing Team,1.2,,0,0,,0.0,,,0.0
2018-08-18,2018,minsk-cup,gc,RTS Racing Team,1.2,,0,0,,0.0,,,0.0
2018-07-01,2018,nc-belarus,gc,RTS Racing Team,NC,,0,0,,0.0,,,0.0
2018-06-25,2018,nc-mongolia,gc,RTS Racing Team,NC,,0,0,,0.0,,,4.0
2018-06-22,2018,nc-mongolia-itt,gc,RTS Racing Team,NC,,0,0,,0.0,,,10.0
2018-06-24,2018,nc-ukraine,gc,RTS Racing Team,NC,,0,0,,0.0,,,0.0
2018-06-20,2018,nc-ukraine-itt,gc,RTS Racing Team,NC,,0,0,,0.0,,,0.0
2018-06-22,2018,nc-uzbekistan,gc,RTS Racing Team,NC,,0,0,,0.0,,,0.0
2018-06-20,2018,nc-uzbekistan-itt,gc,RTS Racing Team,NC,,0,0,,0.0,,,0.0
2018-06-02,2018,race-horizon-park-2,gc,RTS Racing Team,1.2,,0,0,,0.0,,,0.0
2018-03-11,2018,tour-de-taiwan,gc,RTS Racing Team,2.1,,0,0,,0.0,,,0.0
2018-09-08,2018,tour-of-china,gc,RTS Racing Team,2.1,,0,0,,3.0,,,3.0
2018-09-17,2018,tour-of-china-ii,gc,RTS Racing Team,2.1,,0,0,,0.0,,,0.0
2018-10-23,2018,tour-of-hainan,gc,RTS Racing Team,2.HC,113.0,0.0,1,,5.0,,,5.0
2018-11-09,2018,tour-of-quanzhou-bay,gc,RTS Racing Team,2.2,53.0,0.0,1,,0.0,,,0.0
2018-10-07,2018,tour-of-taihu-lake,gc,RTS Racing Team,2.1,,0,0,,0.0,,,0.0
2018-09-03,2018,tour-of-xingtai,gc,RTS Racing Team,2.2,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-belgium,gc,EuroCyclingTrips - CMI Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2021-06-16,2021,nc-belgium-itt,gc,EuroCyclingTrips - CMI Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-france,gc,EuroCyclingTrips - CMI Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-netherlands,gc,EuroCyclingTrips - CMI Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2021-10-17,2021,ncgreat-britain,gc,EuroCyclingTrips - CMI Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2021-04-04,2021,rhodes-gp,gc,EuroCyclingTrips - CMI Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2021-09-09,2021,tour-de-serbie,gc,EuroCyclingTrips - CMI Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2021-05-28,2021,tour-of-estonia,gc,EuroCyclingTrips - CMI Pro Cycling Team,2.1,,,1,,0.0,,,0.0
2021-07-16,2021,tour-of-kosovo,gc,EuroCyclingTrips - CMI Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2021-04-08,2021,tour-of-rhodes,gc,EuroCyclingTrips - CMI Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2021-12-01,2021,tour-of-thailand,gc,EuroCyclingTrips - CMI Pro Cycling Team,2.1,,0,0,,0.0,,,0.0
2022-04-14,2022,banja-luka-belgrade-i,gc,EuroCyclingTrips Pro Cycling Team,2.1,,0,0,,0.0,,,0.0
2022-10-16,2022,chrono-des-nations,gc,EuroCyclingTrips Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,EuroCyclingTrips Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-07-10,2022,gp-de-la-ville-de-nogent-sur-oise,gc,EuroCyclingTrips Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2022-06-26,2022,nc-belgium,gc,EuroCyclingTrips Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2022-06-24,2022,nc-netherlands,gc,EuroCyclingTrips Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2022-02-13,2022,nc-new-zealand,gc,EuroCyclingTrips Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2022-06-06,2022,paris-troyes,gc,EuroCyclingTrips Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,rhodes-gp,gc,EuroCyclingTrips Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-03-12,2022,south-aegean-tour,gc,EuroCyclingTrips Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-08-05,2022,tour-cycliste-international-de-la-guadeloupe,gc,EuroCyclingTrips Pro Cycling Team,2.2,,0,0,,40.0,,,49.0
2022-10-02,2022,tour-de-taiwan,gc,EuroCyclingTrips Pro Cycling Team,2.1,,0,0,,3.0,,,8.0
2022-05-26,2022,tour-of-estonia,gc,EuroCyclingTrips Pro Cycling Team,2.1,,,1,,0.0,,,0.0
