date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-10-12,2017,grand-prix-chantal-biya,gc,SNH Vélo Club,2.2,23.0,0.0,1,,40.0,,,57.0
2017-10-12,2017,grand-prix-chantal-biya,gc,Cameroon,2.2,,0,0,,10.0,,,11.0
2017-02-27,2017,la-tropicale-amissa-bongo,gc,Cameroon,2.1,70.0,0.0,1,,0.0,,,0.0
2017-03-11,2017,tour-du-cameroun,gc,SNH Vélo Club,2.2,24.0,0.0,1,,0.0,,,0.0
2017-03-11,2017,tour-du-cameroun,gc,Cameroon,2.2,,0,0,,0.0,,,0.0
2018-09-26,2018,grand-prix-chantal-biya,gc,SNH Vélo Club,2.2,21.0,0.0,1,,30.0,,,40.0
2018-05-26,2018,tour-du-cameroun,gc,SNH Vélo Club,2.2,,0,0,,0.0,,,11.0
2018-08-05,2018,tour-of-rwanda,gc,SNH Vélo Club,2.2,,,1,,0.0,,,0.0
2019-10-17,2019,grand-prix-chantal-biya,gc,SNH Vélo Club,2.2,22.0,0.0,1,,6.0,,,6.0
2019-10-17,2019,grand-prix-chantal-biya,gc,Cameroon,2.2,,0,0,,0.0,,,0.0
2019-01-21,2019,la-tropicale-amissa-bongo,gc,Cameroon,2.1,40.0,0.0,1,,0.0,,,0.0
2019-06-01,2019,tour-du-cameroun,gc,SNH Vélo Club,2.2,18.0,0.0,1,,21.0,,,44.0
2019-06-01,2019,tour-du-cameroun,gc,Cameroon,2.2,,0,0,,0.0,,,0.0
2019-02-24,2019,tour-of-rwanda,gc,Cameroon,2.1,,0,0,,0.0,,,0.0
2020-11-18,2020,grand-prix-chantal-biya,gc,SNH Vélo Club,2.2,11.0,0.0,1,,28.0,,,37.0
