date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-06-19,2023,nc-china,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,100.0
2023-06-25,2023,nc-latvia,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,25.0
2023-06-25,2023,nc-romania,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,10.0
2023-06-23,2023,nc-romania-itt,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,3.0
2023-11-27,2023,nc-taiwan,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,0.0
2023-09-23,2023,tour-de-langkawi,gc,Hengxiang Cycling Team,2.Pro,43.0,0.0,1,,3.0,,,3.0
2023-10-05,2023,tour-of-hainan,gc,Hengxiang Cycling Team,2.Pro,32.0,3.0,1,,63.0,,,69.0
2023-07-21,2023,tour-of-huangshan,gc,Hengxiang Cycling Team,2.2,58.0,0.0,1,,20.0,,,21.0
2023-09-14,2023,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.Pro,73.0,0.0,1,,15.0,,,15.0
2024-06-22,2024,nc-latvia,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,105.0
2024-09-29,2024,tour-de-langkawi,gc,Hengxiang Cycling Team,2.Pro,61.0,0.0,1,,0.0,,,0.0
2024-08-27,2024,tour-of-hainan,gc,Hengxiang Cycling Team,2.Pro,,0,0,,3.0,,,3.0
2024-07-07,2024,tour-of-magnificent-qinghai,gc,Hengxiang Cycling Team,2.Pro,53.0,0.0,1,,0.0,,,-45.0
2024-09-04,2024,tour-of-poyang-lake,gc,Hengxiang Cycling Team,2.2,7.0,5.0,1,,30.0,,,33.0
2024-10-09,2024,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.Pro,,0,0,,5.0,,,5.0
2025-06-26,2025,nc-china,gc,FNIX - SCOM - Hengxiang Cycling Team,NC,,0,0,,0.0,,,3.0
2025-06-29,2025,nc-germany,gc,FNIX - SCOM - Hengxiang Cycling Team,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-kazakhstan,gc,FNIX - SCOM - Hengxiang Cycling Team,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-latvia,gc,FNIX - SCOM - Hengxiang Cycling Team,NC,,0,0,,0.0,,,50.0
2025-06-28,2025,nc-netherlands,gc,FNIX - SCOM - Hengxiang Cycling Team,NC,,0,0,,0.0,,,0.0
2025-09-09,2025,tour-of-binzhou,gc,FNIX - SCOM - Hengxiang Cycling Team,1.1,,0,0,,0.0,,,3.0
2025-04-07,2025,tour-of-hainan,gc,FNIX - SCOM - Hengxiang Cycling Team,2.Pro,42.0,0.0,1,,65.0,,,65.0
2025-07-06,2025,tour-of-magnificent-qinghai,gc,FNIX - SCOM - Hengxiang Cycling Team,2.Pro,,0,0,,0.0,,,-10.0
2025-09-15,2025,tour-of-poyang-lake,gc,FNIX - SCOM - Hengxiang Cycling Team,2.2,,0,0,,15.0,,,15.0
2025-09-05,2025,tour-of-shanghai,gc,FNIX - SCOM - Hengxiang Cycling Team,2.2,,0,0,,3.0,,,3.0
2025-10-09,2025,tour-of-taihu-lake,gc,FNIX - SCOM - Hengxiang Cycling Team,2.Pro,,0,0,,30.0,,,30.0
2025-03-24,2025,tour-of-thailand,gc,FNIX - SCOM - Hengxiang Cycling Team,2.1,22.0,3.0,1,,23.0,,,29.0
2025-06-14,2025,yellow-river-estuary-road-cycling-race,gc,FNIX - SCOM - Hengxiang Cycling Team,2.2,,0,0,,13.0,,,14.0
