date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-04-18,2019,banja-luka-belgrade-i,gc,Heizomat Rad-Net,2.1,38.0,0.0,1,,63.0,,,68.0
2019-06-23,2019,european-games,gc,Germany,JC,,0,0,,0.0,,,5.0
2019-06-25,2019,european-games-itt,gc,Germany,JC,,0,0,,0.0,,,3.0
2019-03-14,2019,istrian-spring-tour,gc,Heizomat Rad-Net,2.2,,0,0,,0.0,,,0.0
2019-10-03,2019,munsterland-giro,gc,Heizomat Rad-Net,1.HC,,0,0,,0.0,,,5.0
2019-06-30,2019,nc-germany,gc,Heizomat Rad-Net,NC,,,1,,0.0,,,0.0
2019-06-28,2019,nc-germany-itt,gc,Heizomat Rad-Net,NC,,0,0,,0.0,,,0.0
2019-06-13,2019,oberosterreichrundfahrt,gc,Heizomat Rad-Net,2.2,,0,0,,0.0,,,0.0
2019-03-09,2019,porec-trophy,gc,Heizomat Rad-Net,1.2,,0,0,,0.0,,,0.0
2019-06-02,2019,rund-um-koln,gc,Heizomat Rad-Net,1.1,,0,0,,0.0,,,0.0
2019-07-21,2019,tokyo-2020-test-event,gc,Germany,1.2,,0,0,,0.0,,,0.0
2019-08-01,2019,tour-alsace,gc,Germany,2.2,37.0,0.0,1,,10.0,,,13.0
2019-07-07,2019,tour-de-delta,gc,Heizomat Rad-Net,1.2,,0,0,,0.0,,,3.0
2019-05-24,2019,tour-de-l-ain,gc,Germany,2.1,60.0,0.0,1,,3.0,,,3.0
2019-03-06,2019,trofej-umag,gc,Heizomat Rad-Net,1.2,,0,0,,0.0,,,3.0
2019-08-08,2019,uec-road-european-championships-itt,gc,Germany,CC,,0,0,,0.0,,,0.0
2019-08-11,2019,uec-road-european-championships-me,gc,Germany,CC,,0,0,,0.0,,,210.0
2019-09-29,2019,world-championship,gc,Germany,WC,,0,0,,0.0,,,70.0
2019-09-25,2019,world-championship-itt,gc,Germany,WC,,0,0,,0.0,,,60.0
2020-08-13,2020,baltic-chain-tour,gc,Germany,2.2,,0,0,,0.0,,,0.0
2020-09-04,2020,baltyk-karkonosze-tour,gc,Germany,2.2,,0,0,,0.0,,,0.0
2020-07-16,2020,dookola-mazowsza,gc,Germany,2.2,,0,0,,20.0,,,34.0
2020-08-23,2020,nc-germany,gc,Rad-Net Rose Team,NC,,,1,,0.0,,,5.0
2020-03-08,2020,porec-trophy,gc,Rad-Net Rose Team,1.2,,,1,,0.0,,,0.0
2020-07-19,2020,puchar-ministra-obrony-narodowej,gc,Germany,1.2,,0,0,,0.0,,,60.0
2020-08-07,2020,tour-de-l-ain,gc,Germany,2.1,37.0,0.0,1,,0.0,,,0.0
2020-03-04,2020,trofej-umag,gc,Rad-Net Rose Team,1.2,,,1,,0.0,,,0.0
2020-08-24,2020,uec-road-european-championships-itt,gc,Germany,CC,,0,0,,0.0,,,15.0
2020-08-26,2020,uec-road-european-championships-me,gc,Germany,CC,,0,0,,0.0,,,150.0
2020-09-27,2020,world-championship,gc,Germany,WC,,0,0,,0.0,,,160.0
2020-09-25,2020,world-championship-itt,gc,Germany,WC,,0,0,,0.0,,,15.0
2021-08-26,2021,deutschland-tour,gc,Germany,2.Pro,67.0,0.0,1,,10.0,,,10.0
2021-07-14,2021,dookola-mazowsza,gc,Germany,2.2,,0,0,,0.0,,,0.0
2021-03-11,2021,istrian-spring-tour,gc,Rad-Net Rose Team,2.2,20.0,0.0,1,,0.0,,,6.0
2021-10-03,2021,munsterland-giro,gc,Germany,1.Pro,,,1,,0.0,,,0.0
2021-06-20,2021,nc-germany,gc,Rad-Net Rose Team,NC,,,1,,0.0,,,0.0
2021-07-24,2021,olympic-games,gc,Germany,Olympics,,0,0,,0.0,,,125.0
2021-07-28,2021,olympic-games-itt,gc,Germany,Olympics,,0,0,,0.0,,,20.0
2021-03-07,2021,porec-trophy,gc,Rad-Net Rose Team,1.2,,,1,,0.0,,,0.0
