date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-07-25,2021,gp-kranj,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2021-05-30,2021,gp-slovenia,gc,Headstart On Fahrrad,1.2,,,1,,0.0,,,0.0
2021-07-16,2021,tour-of-kosovo,gc,ARBÖ headstart ON-Fahrrad,2.2,50.0,0.0,1,,0.0,,,0.0
2021-08-04,2021,tour-of-szeklerland,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,0.0
2021-06-02,2021,trofeo-alcide-degasperi,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2021-07-10,2021,visegrad-4-bicycle-race-gp-hungary,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2022-07-03,2022,giro-del-medio-brenta,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,ARBÖ headstart ON-Fahrrad,2.2,96.0,0.0,1,,0.0,,,0.0
2022-05-22,2022,gp-gorenjska,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,gp-izola-butan-plin,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2022-06-09,2022,oberosterreichrundfahrt,gc,ARBÖ headstart ON-Fahrrad,2.2,,,1,,0.0,,,0.0
2022-03-20,2022,popolarissima,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2022-09-14,2022,tour-de-serbie,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,0.0
2022-08-09,2022,tour-of-szeklerland,gc,ARBÖ headstart ON-Fahrrad,2.2,,,1,,3.0,,,3.0
2022-06-02,2022,trofeo-alcide-degasperi,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2022-07-23,2022,visegrad-4-bicycle-race-gp-hungary,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2023-10-03,2023,coppa-citta-di-san-daniele2,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2023-06-25,2023,danish-championships,gc,ARBÖ headstart ON-Fahrrad,NC,,0,0,,0.0,,,0.0
2023-07-26,2023,dookola-mazowsza,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,0.0
2023-07-15,2023,gp-cycliste-de-gemenc,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,0.0
2023-03-19,2023,gp-izola-butan-plin,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2023-01-28,2023,grand-prix-aspendos,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-austria2,gc,ARBÖ headstart ON-Fahrrad,NC,,,1,,0.0,,,0.0
2023-06-25,2023,nc-ireland,gc,ARBÖ headstart ON-Fahrrad,NC,,0,0,,0.0,,,1.0
2023-06-01,2023,oberosterreichrundfahrt,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,-10.0
2023-03-19,2023,popolarissima,gc,ARBÖ headstart ON-Fahrrad,1.2,,,1,,0.0,,,0.0
2023-07-30,2023,puchar-ministra-obrony-narodowej,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
2023-09-07,2023,tour-of-kosovo,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,8.0,,,8.0
2023-08-10,2023,tour-of-szeklerland,gc,ARBÖ headstart ON-Fahrrad,2.2,,0,0,,0.0,,,0.0
2023-07-08,2023,visegrad-4-bicycle-race-gp-hungary,gc,ARBÖ headstart ON-Fahrrad,1.2,,0,0,,0.0,,,0.0
