date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-06-10,2017,albani-classic-fyen-rundt,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,0.0
2017-04-07,2017,circuit-des-ardennes,gc,Team Virtu Cycling,2.2,6.0,10.0,1,,10.0,,,17.0
2017-06-01,2017,course-de-la-paix-u23,gc,Team Virtu Cycling,2.Ncup,,0,0,,55.0,,,63.0
2017-08-11,2017,czech-tour,gc,Team Virtu Cycling,2.1,6.0,40.0,1,,55.0,,,58.0
2017-06-25,2017,danish-championships,gc,Team Virtu Cycling,NC,,,1,,0.0,,,40.0
2017-04-29,2017,destination-thy,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,80.0
2017-08-05,2017,dwars-door-het-hageland,gc,Team Virtu Cycling,1.1,,,1,,0.0,,,0.0
2017-05-01,2017,eschborn-frankfurt-u23,gc,Team Virtu Cycling,1.2U,,0,0,,0.0,,,1.0
2017-08-05,2017,european-championships-mu,gc,Team Virtu Cycling,CC,,0,0,,0.0,,,0.0
2017-06-11,2017,gp-horsens,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,30.0
2017-05-06,2017,hadeland-gp,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,50.0
2017-04-28,2017,himmerland-rundt,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,0.0
2017-03-09,2017,istrian-spring-tour,gc,Team Virtu Cycling,2.2,5.0,15.0,1,,15.0,,,18.0
2017-07-29,2017,kreiz-breizh-elites,gc,Team Virtu Cycling,2.2,3.0,25.0,1,,55.0,,,62.0
2017-03-31,2017,le-triptyque-des-monts-et-chateaux,gc,Team Virtu Cycling,2.2,,0,0,,0.0,,,0.0
2017-04-15,2017,liege-bastogne-liege-u23,gc,Team Virtu Cycling,1.2U,,0,0,,0.0,,,0.0
2017-06-22,2017,nc-denmark-itt,gc,Team Virtu Cycling,NC,,,1,,0.0,,,25.0
2017-03-04,2017,porec-trophy,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,0.0
2017-03-05,2017,rhodes-gp,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,3.0
2017-05-07,2017,ringerike-gp,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,40.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Team Virtu Cycling,2.2,22.0,0.0,1,,0.0,,,3.0
2017-05-31,2017,tour-de-luxembourg,gc,Team Virtu Cycling,2.HC,10.0,35.0,1,,45.0,,,50.0
2017-05-24,2017,tour-des-fjords,gc,Team Virtu Cycling,2.1,,0,0,,35.0,,,35.0
2017-04-08,2017,tour-des-flandres-espoirs,gc,Team Virtu Cycling,1.Ncup,,0,0,,0.0,,,0.0
2017-04-12,2017,tour-du-loir-et-cher,gc,Team Virtu Cycling,2.2,3.0,25.0,1,,65.0,,,75.0
2017-09-12,2017,tour-of-denmark,gc,Team Virtu Cycling,2.HC,4.0,100.0,1,,128.0,,,133.0
2017-05-17,2017,tour-of-norway,gc,Team Virtu Cycling,2.HC,18.0,5.0,1,,10.0,,,10.0
2017-03-10,2017,tour-of-rhodes,gc,Team Virtu Cycling,2.2,,0,0,,0.0,,,7.0
2017-03-01,2017,trofej-umag,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,20.0
2017-08-18,2017,veenendaal-veenendaal,gc,Team Virtu Cycling,1.1,,0,0,,0.0,,,13.0
2017-04-01,2017,volta-nxt-classic,gc,Team Virtu Cycling,1.1,,,1,,0.0,,,3.0
2018-06-16,2018,albani-classic-fyen-rundt,gc,Team Virtu Cycling,1.1,,,1,,0.0,,,5.0
2018-05-27,2018,circuit-de-wallonie,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,70.0
2018-04-06,2018,circuit-des-ardennes,gc,Team Virtu Cycling,2.2,,0,0,,0.0,,,0.0
2018-07-01,2018,danish-championships,gc,Team Virtu Cycling,NC,,,1,,0.0,,,76.0
2018-02-24,2018,faun-ardeche-classic,gc,Team Virtu Cycling,1.1,,0,0,,0.0,,,0.0
2018-06-17,2018,gp-horsens,gc,Team Virtu Cycling,1.1,,,1,,0.0,,,43.0
2018-08-21,2018,gp-stad-zottegem,gc,Team Waoo,1.1,,,1,,0.0,,,0.0
2018-09-02,2018,gylne-gutuer,gc,Team Waoo,1.2,,,1,,0.0,,,0.0
2018-05-05,2018,hadeland-gp,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,43.0
2018-08-31,2018,hafjell-gp,gc,Team Waoo,1.2,,,1,,0.0,,,0.0
2018-04-28,2018,himmerland-rundt,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,0.0
2018-03-08,2018,istrian-spring-tour,gc,Team Virtu Cycling,2.2,,0,0,,50.0,,,59.0
2018-02-25,2018,la-drome-classic,gc,Team Virtu Cycling,1.1,,0,0,,0.0,,,0.0
2018-09-01,2018,lillehammer-gp,gc,Team Waoo,1.2,,,1,,0.0,,,40.0
2018-06-28,2018,nc-denmark-itt,gc,Team Virtu Cycling,NC,,0,0,,0.0,,,0.0
2018-08-25,2018,omloop-mandel-leie-schelde-meulebeke,gc,Team Waoo,1.1,,0,0,,0.0,,,0.0
2018-03-03,2018,porec-trophy,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,30.0
2018-05-03,2018,rhone-alpes-isere-tour,gc,Team Virtu Cycling,2.2,65.0,0.0,1,,30.0,,,37.0
2018-05-06,2018,ringerike-gp,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,30.0
2018-06-07,2018,ronde-de-l-oise,gc,Team Virtu Cycling,2.2,20.0,0.0,1,,20.0,,,23.0
2018-08-26,2018,ronde-van-midden-nederland,gc,Team Waoo,1.2,,0,0,,0.0,,,0.0
2018-05-12,2018,scandinavian-race-uppsala,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,25.0
2018-04-29,2018,skive-lobet,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,5.0
2018-03-19,2018,tour-de-normadie,gc,Team Virtu Cycling,2.2,,0,0,,0.0,,,0.0
2018-05-22,2018,tour-des-fjords,gc,Team Virtu Cycling,2.HC,74.0,0.0,1,,8.0,,,8.0
2018-04-11,2018,tour-du-loir-et-cher,gc,Team Virtu Cycling,2.2,,0,0,,50.0,,,55.0
2018-08-01,2018,tour-of-denmark,gc,Team Waoo,2.HC,46.0,0.0,1,,33.0,,,43.0
2018-05-16,2018,tour-of-norway,gc,Team Virtu Cycling,2.HC,,0,0,,158.0,,,178.0
2018-02-28,2018,trofej-umag,gc,Team Virtu Cycling,1.2,,0,0,,0.0,,,15.0
2018-02-11,2018,trofeo-laigueglia,gc,Team Virtu Cycling,1.HC,,0,0,,0.0,,,78.0
2018-08-22,2018,veenendaal-veenendaal,gc,Team Waoo,1.1,,,1,,0.0,,,35.0
2018-03-31,2018,volta-nxt-classic,gc,Team Virtu Cycling,1.1,,0,0,,0.0,,,3.0
2019-08-18,2019,albani-classic-fyen-rundt,gc,Team Waoo,1.2,,,1,,0.0,,,0.0
2019-06-30,2019,danish-championships,gc,Team Waoo,NC,,,1,,0.0,,,30.0
2019-05-29,2019,fleche-du-sud,gc,Team Waoo,2.2,22.0,0.0,1,,3.0,,,13.0
2019-09-08,2019,gylne-gutuer,gc,Team Waoo,1.2,,,1,,0.0,,,15.0
2019-05-11,2019,hadeland-gp,gc,Team Waoo,1.2,,,1,,0.0,,,20.0
2019-09-06,2019,hafjell-gp,gc,Team Waoo,1.2,,,1,,0.0,,,3.0
2019-05-04,2019,himmerland-rundt,gc,Team Waoo,1.2,,,1,,0.0,,,15.0
2019-03-14,2019,istrian-spring-tour,gc,Team Waoo,2.2,60.0,0.0,1,,0.0,,,0.0
2019-09-07,2019,lillehammer-gp,gc,Team Waoo,1.2,,,1,,0.0,,,10.0
2019-06-27,2019,nc-denmark-itt,gc,Team Waoo,NC,,0,0,,0.0,,,0.0
2019-03-09,2019,porec-trophy,gc,Team Waoo,1.2,,0,0,,0.0,,,0.0
2019-05-12,2019,ringerike-gp,gc,Team Waoo,1.2,,,1,,0.0,,,20.0
2019-05-05,2019,skive-lobet,gc,Team Waoo,1.2,,,1,,0.0,,,0.0
2019-03-25,2019,tour-de-normadie,gc,Team Waoo,2.2,,,1,,0.0,,,7.0
2019-04-17,2019,tour-du-loir-et-cher,gc,Team Waoo,2.2,12.0,0.0,1,,0.0,,,3.0
2019-08-21,2019,tour-of-denmark,gc,Team Waoo,2.HC,37.0,3.0,1,,8.0,,,8.0
2019-03-06,2019,trofej-umag,gc,Team Waoo,1.2,,0,0,,0.0,,,0.0
2019-04-06,2019,volta-nxt-classic,gc,Team Waoo,1.1,,,1,,0.0,,,50.0
