date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-08-18,2023,baltic-chain-tour,gc,NCF Region Sør,2.2,29.0,0.0,1,,0.0,,,0.0
2023-09-03,2023,gylne-gutuer,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2023-09-03,2023,gylne-gutuer,gc,NCF Region Sør,1.2,,0,0,,0.0,,,0.0
2023-05-06,2023,hadeland-gp,gc,NCF Region Sør,1.2,,,1,,0.0,,,0.0
2023-05-06,2023,hadeland-gp,gc,Sandnes Sykleklubb,1.2,,0,0,,0.0,,,0.0
2023-09-02,2023,lillehammer-gp,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2023-09-02,2023,lillehammer-gp,gc,NCF Region Sør,1.2,,0,0,,0.0,,,3.0
2023-06-25,2023,nc-norway,gc,Sandnes Sykleklubb,NC,,0,0,,0.0,,,0.0
2023-06-22,2023,nc-norway-itt,gc,Sandnes Sykleklubb,NC,,0,0,,0.0,,,0.0
2023-05-07,2023,ringerike-gp,gc,NCF Region Sør,1.2,,,1,,0.0,,,0.0
2023-05-07,2023,ringerike-gp,gc,Sandnes Sykleklubb,1.2,,0,0,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,NCF Region Sør,2.2,,0,0,,0.0,,,0.0
2024-05-04,2024,hadeland-gp,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,nc-norway,gc,Sandnes Sykleklubb,NC,,,1,,0.0,,,0.0
2024-05-05,2024,ringerike-gp,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2024-06-05,2024,tour-of-lithuania,gc,NCF Region Sør,2.2,37.0,0.0,1,,0.0,,,0.0
2024-05-30,2024,tour-of-malopolska,gc,NCF Region Sør,2.2,,0,0,,0.0,,,0.0
2025-04-05,2025,boucle-de-l-artois,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2025-05-28,2025,fleche-du-sud,gc,Sandnes Sykleklubb,2.2,75.0,0.0,1,,0.0,,,-4.0
2025-05-10,2025,hadeland-gp,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
2025-06-29,2025,nc-norway,gc,Sandnes Sykleklubb,NC,,,1,,0.0,,,0.0
2025-05-11,2025,ringerike-gp,gc,Sandnes Sykleklubb,1.2,,,1,,0.0,,,0.0
