date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-07-31,2017,circuito-de-getxo,gc,Team UKYO,1.1,,,1,,0.0,,,80.0
2017-10-22,2017,japan-cup,gc,Team UKYO,1.HC,,,1,,0.0,,,215.0
2017-04-09,2017,klasika-primavera,gc,Team UKYO,1.1,,,1,,0.0,,,110.0
2017-02-18,2017,le-tour-de-filipinas,gc,Team UKYO,2.2,,0,0,,8.0,,,8.0
2017-01-08,2017,nc-australia,gc,Team UKYO,NC,,0,0,,0.0,,,25.0
2017-06-25,2017,nc-japan,gc,Team UKYO,NC,,,1,,0.0,,,80.0
2017-06-25,2017,nc-spain,gc,Team UKYO,NC,,0,0,,0.0,,,0.0
2017-06-23,2017,nc-spain-itt,gc,Team UKYO,NC,,0,0,,0.0,,,0.0
2017-07-25,2017,prueba-villafranca,gc,Team UKYO,1.1,,,1,,0.0,,,88.0
2017-10-08,2017,sun-hung-kai-properties-hong-kong-challenge,gc,Team UKYO,1.1,,,1,,0.0,,,6.0
2017-09-08,2017,tour-de-hokkaido,gc,Team UKYO,2.2,21.0,0.0,1,,15.0,,,15.0
2017-06-14,2017,tour-de-korea,gc,Team UKYO,2.1,,0,0,,30.0,,,58.0
2017-06-01,2017,tour-de-kumano,gc,Team UKYO,2.2,32.0,0.0,1,,30.0,,,34.0
2017-04-13,2017,tour-de-lombok,gc,Team UKYO,2.2,,0,0,,70.0,,,95.0
2017-11-12,2017,tour-de-okinawa,gc,Team UKYO,1.2,,,1,,0.0,,,28.0
2017-03-26,2017,tour-de-taiwan,gc,Team UKYO,2.1,,0,0,,188.0,,,193.0
2017-03-31,2017,tour-de-tochigi,gc,Team UKYO,2.2,7.0,5.0,1,,20.0,,,37.0
2017-09-10,2017,tour-of-china,gc,Team UKYO,2.1,,0,0,,23.0,,,23.0
2017-09-19,2017,tour-of-china-ii,gc,Team UKYO,2.1,52.0,0.0,1,,50.0,,,55.0
2017-10-28,2017,tour-of-hainan,gc,Team UKYO,2.HC,,0,0,,190.0,,,230.0
2017-07-16,2017,tour-of-magnificent-qinghai,gc,Team UKYO,2.HC,,0,0,,3.0,,,53.0
2017-10-10,2017,tour-of-taihu-lake,gc,Team UKYO,2.1,,0,0,,5.0,,,19.0
2017-04-01,2017,tour-of-thailand,gc,Team UKYO,2.1,,0,0,,8.0,,,35.0
2017-02-02,2017,vuelta-a-la-comunidad-valenciana,gc,Team UKYO,2.1,,,1,,0.0,,,0.0
2017-04-29,2017,vuelta-asturias,gc,Team UKYO,2.1,126.0,0.0,1,,3.0,,,3.0
2017-02-11,2017,vuelta-ciclista-a-la-region-de-murcia,gc,Team UKYO,1.1,,,1,,0.0,,,0.0
2018-02-12,2018,asian-championships-me,gc,Japan,CC,,,1,,0.0,,,305.0
2018-07-31,2018,circuito-de-getxo,gc,Team UKYO,1.1,,0,0,,0.0,,,0.0
2018-08-10,2018,czech-tour,gc,Japan,2.1,,0,0,,0.0,,,0.0
2018-05-09,2018,fleche-du-sud,gc,Japan,2.2,,0,0,,0.0,,,0.0
2018-05-20,2018,grote-prijs-marcel-kint,gc,Japan,1.1,,0,0,,0.0,,,0.0
2018-10-21,2018,japan-cup,gc,Team UKYO,1.HC,,,1,,0.0,,,65.0
2018-10-21,2018,japan-cup,gc,Japan,1.HC,,0,0,,0.0,,,10.0
2018-01-07,2018,nc-australia,gc,Team UKYO,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-japan,gc,Team UKYO,NC,,,1,,0.0,,,70.0
2018-06-17,2018,nc-japan-itt,gc,Team UKYO,NC,,0,0,,0.0,,,20.0
2018-07-01,2018,nc-netherlands,gc,Team UKYO,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-spain,gc,Team UKYO,NC,,0,0,,0.0,,,1.0
2018-10-14,2018,oita-urban-classic,gc,Team UKYO,1.2,,,1,,0.0,,,15.0
2018-07-25,2018,prueba-villafranca,gc,Team UKYO,1.1,,0,0,,0.0,,,0.0
2018-05-04,2018,sri-lanka-t-cup,gc,Team UKYO,2.2,,0,0,,40.0,,,41.0
2018-08-23,2018,summer-asian-games,gc,Japan,JC,,0,0,,0.0,,,300.0
2018-08-24,2018,summer-asian-games-itt,gc,Japan,JC,,0,0,,0.0,,,40.0
2018-05-30,2018,tour-de-korea,gc,Team UKYO,2.1,,0,0,,56.0,,,75.0
2018-05-31,2018,tour-de-kumano,gc,Team UKYO,2.2,18.0,0.0,1,,65.0,,,68.0
2018-04-13,2018,tour-de-lombok,gc,Team UKYO,2.2,,0,0,,15.0,,,15.0
2018-11-11,2018,tour-de-okinawa,gc,Team UKYO,1.2,,,1,,0.0,,,10.0
2018-03-11,2018,tour-de-taiwan,gc,Japan,2.1,,0,0,,128.0,,,150.0
2018-03-11,2018,tour-de-taiwan,gc,Team UKYO,2.1,,0,0,,5.0,,,25.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Japan,1.Ncup,,0,0,,0.0,,,0.0
2018-10-23,2018,tour-of-hainan,gc,Team UKYO,2.HC,,0,0,,115.0,,,135.0
2018-01-24,2018,tour-of-sharjah,gc,Japan,2.1,,0,0,,0.0,,,0.0
2018-04-01,2018,tour-of-thailand,gc,Team UKYO,2.1,30.0,0.0,1,,35.0,,,60.0
2018-05-11,2018,vuelta-a-aragon,gc,Team UKYO,2.1,,0,0,,3.0,,,3.0
2018-04-20,2018,vuelta-a-castilla-y-leon,gc,Team UKYO,2.1,103.0,0.0,1,,0.0,,,0.0
2018-04-27,2018,vuelta-asturias,gc,Team UKYO,2.1,,,1,,0.0,,,3.0
2018-05-04,2018,vuelta-international-a-la-cominudad-de-madrid,gc,Team UKYO,2.1,,0,0,,3.0,,,3.0
2018-09-30,2018,world-championship,gc,Japan,WC,,0,0,,0.0,,,0.0
2019-09-25,2019,banyuwangi-tour-de-ijen,gc,Team UKYO,2.2,,0,0,,55.0,,,59.0
2019-10-20,2019,japan-cup,gc,Team UKYO,1.HC,,,1,,0.0,,,5.0
