date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Denmark,2.2U,,0,0,,15.0,,,15.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Lotto - Soudal U23,2.2U,,0,0,,25.0,,,33.0
2017-08-31,2017,okolo-jiznich-cech,gc,Lotto - Soudal U23,2.2,,0,0,,18.0,,,18.0
2017-09-24,2017,paris-chauny-classique,gc,Lotto - Soudal U23,1.2,,0,0,,0.0,,,3.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Lotto - Soudal U23,2.2,,0,0,,0.0,,,7.0
2017-07-26,2017,tour-alsace,gc,Lotto - Soudal U23,2.2,49.0,0.0,1,,3.0,,,4.0
2017-04-12,2017,tour-du-loir-et-cher,gc,Lotto - Soudal U23,2.2,,0,0,,0.0,,,0.0
2017-09-12,2017,tour-of-denmark,gc,Denmark,2.HC,26.0,5.0,1,,45.0,,,45.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Denmark,CC,,0,0,,0.0,,,20.0
2017-08-06,2017,uec-road-european-championships-me,gc,Denmark,CC,,0,0,,0.0,,,0.0
2017-09-24,2017,world-championship,gc,Denmark,WC,,0,0,,0.0,,,120.0
2017-09-20,2017,world-championship-itt,gc,Denmark,WC,,0,0,,0.0,,,0.0
2018-03-04,2018,3daagse-van-west-vlaanderen,gc,Quick-Step Floors,1.1,,0,0,,0.0,,,313.0
2018-02-21,2018,abu-dhabi-tour,gc,Quick-Step Floors,2.UWT,,0,0,,182.0,,,228.0
2018-06-21,2018,adriatica-ionica-race,gc,Quick-Step Floors,2.1,,0,0,,0.0,,,45.0
2018-06-16,2018,albani-classic-fyen-rundt,gc,Denmark,1.1,,0,0,,0.0,,,88.0
2018-06-16,2018,albani-classic-fyen-rundt,gc,Team Virtu Cycling,1.1,,0,0,,0.0,,,5.0
2018-04-15,2018,amstel-gold-race,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,210.0
2018-04-11,2018,brabantse-pijl,gc,Quick-Step Floors,1.HC,,0,0,,0.0,,,100.0
2018-03-16,2018,bredene-koksijde-classic,gc,Quick-Step Floors,1.HC,,0,0,,0.0,,,220.0
2018-08-26,2018,bretagne-classic,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,228.0
2018-09-01,2018,brussels-cycling-classic,gc,Quick-Step Floors,1.HC,,,1,,0.0,,,100.0
2018-05-27,2018,circuit-de-wallonie,gc,Team Virtu Cycling,1.2,,,1,,0.0,,,70.0
2018-04-06,2018,circuit-des-ardennes,gc,Team Virtu Cycling,2.2,,0,0,,0.0,,,0.0
2018-06-17,2018,circuit-des-xi-villes,gc,Quick-Step Floors,1.1,,0,0,,0.0,,,63.0
2018-09-22,2018,circuit-franco-belge,gc,Quick-Step Floors,1.HC,,,1,,0.0,,,13.0
2018-02-11,2018,clasica-de-almeria,gc,Quick-Step Floors,1.HC,,0,0,,0.0,,,90.0
2018-03-21,2018,classic-brugge-de-panne,gc,Quick-Step Floors,1.HC,,0,0,,0.0,,,208.0
2018-02-06,2018,colombia-21,gc,Quick-Step Floors,2.1,,0,0,,55.0,,,114.0
2018-08-19,2018,cyclassics-hamburg,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,432.0
2018-07-01,2018,danish-championships,gc,Team Virtu Cycling,NC,,,1,,0.0,,,76.0
2018-07-01,2018,danish-championships,gc,Quick-Step Floors,NC,,0,0,,0.0,,,100.0
2018-08-23,2018,deutschland-tour,gc,Quick-Step Floors,2.1,,0,0,,70.0,,,98.0
2018-02-06,2018,dubai-tour,gc,Quick-Step Floors,2.HC,,0,0,,211.0,,,256.0
2018-06-15,2018,dwars-door-het-hageland,gc,Quick-Step Floors,1.1,,0,0,,0.0,,,88.0
2018-03-28,2018,dwars-door-vlaanderen,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,485.0
2018-03-23,2018,e3-harelbeke,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,852.0
2018-05-01,2018,eschborn-frankfurt,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,34.0
2018-02-24,2018,faun-ardeche-classic,gc,Team Virtu Cycling,1.1,,,1,,0.0,,,0.0
2018-02-24,2018,faun-ardeche-classic,gc,Quick-Step Floors,1.1,,0,0,,0.0,,,128.0
2018-03-25,2018,gent-wevelgem,gc,Quick-Step Floors,1.UWT,,0,0,,0.0,,,605.0
2018-07-11,2018,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Denmark,2.2U,,,1,,20.0,,,25.0
2018-05-04,2018,giro-d-italia,gc,Quick-Step Floors,2.UWT,,0,0,,36.0,0.0,100.0,628.0
2018-05-04,2018,giro-d-italia,kom,Quick-Step Floors,2.UWT,,0,0,,36.0,0.0,100.0,628.0
2018-05-04,2018,giro-d-italia,points,Quick-Step Floors,2.UWT,,0,0,,36.0,0.0,100.0,628.0
2018-09-23,2018,gp-d-isbergues,gc,Quick-Step Floors,1.1,,,1,,0.0,,,208.0
2018-09-02,2018,gp-de-fourmies,gc,Quick-Step Floors,1.HC,,,1,,0.0,,,133.0
