date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-11-27,2023,nc-taiwan,gc,The Hurricane & Thunder Cycling Team,NC,,,1,,0.0,,,0.0
2023-10-22,2023,sun-hung-kai-properties-hong-kong-challenge,gc,The Hurricane & Thunder Cycling Team,1.1,,,1,,0.0,,,0.0
2023-07-09,2023,tour-of-magnificent-qinghai,gc,The Hurricane & Thunder Cycling Team,2.Pro,,,1,,0.0,,,0.0
2023-09-08,2023,tour-of-poyang-lake,gc,The Hurricane & Thunder Cycling Team,2.2,,,1,,0.0,,,0.0
2023-10-14,2023,trans-himalaya-cycling-race,gc,The Hurricane & Thunder Cycling Team,2.2,,0,0,,0.0,,,0.0
2024-12-09,2024,nc-taiwan,gc,The Hurricane & Thunder Cycling Team,NC,,,1,,0.0,,,0.0
2024-12-09,2024,nc-taiwan,gc,Team CYTO,NC,,0,0,,0.0,,,0.0
2024-10-11,2024,tour-de-serbie,gc,Team CYTO,2.2,37.0,0.0,1,,0.0,,,0.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,The Hurricane & Thunder Cycling Team,2.2,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-bulgaria,gc,Team CYTO TRIGON,NC,,0,0,,0.0,,,0.0
2025-06-27,2025,nc-bulgaria-itt,gc,Team CYTO TRIGON,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-slovakia,gc,Team CYTO TRIGON,NC,,0,0,,0.0,,,0.0
2025-08-30,2025,tour-of-bulgaria,gc,Team CYTO TRIGON,2.2,61.0,0.0,1,,15.0,,,18.0
2025-08-07,2025,tour-of-szeklerland,gc,Team CYTO TRIGON,2.2,64.0,0.0,1,,0.0,,,0.0
