date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-09-24,2017,paris-chauny-classique,gc,Côtes Armor cyclisme,1.2,,,1,,0.0,,,10.0
2017-07-26,2017,tour-alsace,gc,Côtes Armor cyclisme,2.2,,0,0,,5.0,,,6.0
2018-04-11,2018,tour-du-loir-et-cher,gc,Côtes Armor cyclisme,2.2,42.0,0.0,1,,0.0,,,0.0
2019-05-30,2019,fleche-du-sud,gc,Wales Racing Academy,2.2,74.0,0.0,1,,0.0,,,0.0
2019-08-03,2019,kreiz-breizh-elites,gc,Côtes d'Armor-Marie Morin,2.2,73.0,0.0,1,,0.0,,,0.0
2019-04-25,2019,le-tour-de-bretagne,gc,Côtes Armor cyclisme,2.2,57.0,0.0,1,,0.0,,,7.0
2019-04-25,2019,le-tour-de-bretagne,gc,Wales Racing Academy,2.2,,0,0,,0.0,,,0.0
2019-06-13,2019,ronde-de-l-oise,gc,Côtes Armor cyclisme,2.2,57.0,0.0,1,,0.0,,,0.0
2019-04-17,2019,tour-du-loir-et-cher,gc,Côtes Armor cyclisme,2.2,,0,0,,0.0,,,0.0
2020-03-08,2020,grote-prijs-jean-pierre-monsere,gc,SwiftCarbon Pro Cycling,1.1,,,1,,0.0,,,3.0
