date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-09-03,2021,elite-road-central-american-championships-itt,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2021-09-05,2021,elite-road-central-american-championships-road-rac,gc,El Salvador,1.2,,,1,,0.0,,,20.0
2022-10-14,2022,elite-road-central-american-championships-itt,gc,El Salvador,1.2,,,1,,0.0,,,3.0
2022-10-16,2022,elite-road-central-american-championships-road-rac,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2022-06-26,2022,juegos-bolivarianos-me-road-race,gc,El Salvador,JR,,0.0,0,,0.0,,,0.0
2023-04-14,2023,elite-road-central-american-championships-itt,gc,El Salvador,1.2,,,1,,0.0,,,3.0
2023-04-15,2023,elite-road-central-american-championships-mu-irr,gc,El Salvador,1.2,,0.0,0,,0.0,,,20.0
2023-04-14,2023,elite-road-central-american-championships-mu-itt,gc,El Salvador,1.2U,,0.0,0,,0.0,,,10.0
2023-04-16,2023,elite-road-central-american-championships-road-rac,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2023-07-07,2023,juegos-deportivos-centroamericanos-y-del-carbie,gc,El Salvador,JR,,,1,,0.0,,,0.0
2023-07-05,2023,juegos-deportivos-centroamericanos-y-del-carbie-it,gc,El Salvador,JR,,0.0,0,,0.0,,,0.0
2023-04-19,2023,panamerican-champ-itt,gc,El Salvador,CC,,,1,,0.0,,,0.0
2023-04-23,2023,panamerican-championships,gc,El Salvador,CC,,,1,,0.0,,,0.0
2024-06-06,2024,elite-road-central-american-championships-itt,gc,El Salvador,1.2,,,1,,0.0,,,5.0
2024-06-09,2024,elite-road-central-american-championships-road-rac,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2024-05-23,2024,panamerican-champ-itt,gc,El Salvador,CC,,0.0,0,,0.0,,,0.0
2024-05-26,2024,panamerican-championships,gc,El Salvador,CC,,0.0,0,,0.0,,,0.0
2024-05-01,2024,vuelta-bantrab,gc,El Salvador,2.2,,,1,,0.0,,,0.0
2025-04-11,2025,elite-road-central-american-championships-itt,gc,El Salvador,1.2,,0.0,0,,0.0,,,10.0
2025-04-13,2025,elite-road-central-american-championships-road-rac,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2025-10-19,2025,juegos-centroamericanos-ordeca-me-irr,gc,El Salvador,1.2,,,1,,0.0,,,0.0
2025-10-18,2025,juegos-centroamericanos-ordeca-me-itt,gc,El Salvador,1.2,,0.0,0,,0.0,,,3.0
2025-06-29,2025,nc-el-salvador,gc,Pegasus Premier Texas,NC,,,1,,0.0,,,15.0
2025-06-22,2025,nc-el-salvador-itt,gc,Pegasus Premier Texas,NC,,,1,,0.0,,,10.0
2025-04-24,2025,panamerican-champ-itt,gc,El Salvador,CC,,0.0,0,,0.0,,,0.0
2025-04-27,2025,panamerican-championships,gc,El Salvador,CC,,0.0,0,,0.0,,,5.0
