date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-07,2021,circuit-des-ardennes,gc,Selection Québec,2.2,,,1,,0.0,,,0.0
2021-08-26,2021,joe-martin-stage-race-me,gc,Aevolo,2.2,,0,0,,45.0,,,63.0
2021-09-10,2021,nc-canada-itt,gc,Aevolo,NC,,,1,,0.0,,,5.0
2021-09-11,2021,nc-canada2,gc,Aevolo,NC,,,1,,0.0,,,0.0
2021-06-20,2021,nc-united-states,gc,Aevolo,NC,,0,0,,0.0,,,8.0
2021-06-17,2021,nc-usa-itt,gc,Aevolo,NC,,0,0,,0.0,,,0.0
2021-09-03,2021,paris-arras-tour,gc,Aevolo,2.2,63.0,0.0,1,,0.0,,,0.0
2021-04-04,2021,rhodes-gp,gc,Aevolo,1.2,,,1,,0.0,,,0.0
2021-08-29,2021,ronde-van-de-achterhoek,gc,Aevolo,1.2,,,1,,0.0,,,0.0
2021-04-08,2021,tour-of-rhodes,gc,Aevolo,2.2,,,1,,0.0,,,0.0
2022-05-25,2022,fleche-du-sud,gc,Aevolo,2.2,103.0,0.0,1,,0.0,,,0.0
2022-06-26,2022,nc-united-states,gc,Aevolo,NC,,0,0,,0.0,,,0.0
2022-06-23,2022,nc-usa-itt,gc,Aevolo,NC,,0,0,,0.0,,,0.0
2022-03-20,2022,rhodes-gp,gc,Aevolo,1.2,,0,0,,0.0,,,3.0
2022-03-12,2022,south-aegean-tour,gc,Aevolo,2.2,,0,0,,20.0,,,21.0
2022-03-21,2022,tour-de-normadie,gc,Aevolo,2.2,,,1,,0.0,,,0.0
2022-04-13,2022,tour-du-loir-et-cher,gc,Aevolo,2.2,,,1,,0.0,,,0.0
2022-03-24,2022,tour-of-rhodes,gc,Aevolo,2.2,,0,0,,3.0,,,4.0
2022-04-27,2022,tour-of-the-gila,gc,Aevolo,2.2,,0,0,,3.0,,,3.0
2023-05-18,2023,joe-martin-stage-race-me,gc,Hewdog Racing p/b Salita Cyclery,2.2,,,1,,0.0,,,-2.0
2023-06-14,2023,tour-de-beauce,gc,EC Makadence Primeau Vélo,2.2,32.0,0.0,1,,3.0,,,10.0
