date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-09-27,2017,banyuwangi-tour-de-ijen,gc,Kuwait - Cartucho.es,2.2,,0,0,,40.0,,,47.0
2017-02-12,2017,challenge-du-prince,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,0.0
2017-02-11,2017,challenge-du-prince-trophee-de-l-anniversaire,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,0.0
2017-02-09,2017,challenge-du-prince-trophee-princier,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,10.0
2017-07-31,2017,circuito-de-getxo,gc,Kuwait - Cartucho.es,1.1,,0,0,,0.0,,,0.0
2017-03-18,2017,classic-loire-atlantique,gc,Kuwait - Cartucho.es,1.1,,,1,,0.0,,,3.0
2017-08-05,2017,european-championships-mu,gc,Kuwait - Cartucho.es,CC,,0,0,,0.0,,,0.0
2017-02-06,2017,gp-al-massira,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,25.0
2017-06-02,2017,gp-internacional-beiras-e-serra-da-estrela,gc,Kuwait - Cartucho.es,2.1,72.0,0.0,1,,5.0,,,5.0
2017-02-05,2017,gp-oued-eddahab,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,0.0
2017-02-03,2017,gp-sakia-el-hamra,gc,Kuwait - Cartucho.es,1.2,,0,0,,0.0,,,0.0
2017-04-01,2017,gran-premio-miguel-indurain,gc,Kuwait - Cartucho.es,1.1,,,1,,0.0,,,0.0
2017-10-08,2017,international-azerbaijan-tour,gc,Kuwait - Cartucho.es,2.1,,0,0,,38.0,,,52.0
2017-02-18,2017,le-tour-de-filipinas,gc,Kuwait - Cartucho.es,2.2,,0,0,,25.0,,,36.0
2017-06-25,2017,nc-germany,gc,Kuwait - Cartucho.es,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-italy,gc,Kuwait - Cartucho.es,NC,,0,0,,0.0,,,3.0
2017-02-12,2017,nc-south-africa,gc,Kuwait - Cartucho.es,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-spain,gc,Kuwait - Cartucho.es,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-sweden,gc,Kuwait - Cartucho.es,NC,,0,0,,0.0,,,0.0
2017-07-25,2017,prueba-villafranca,gc,Kuwait - Cartucho.es,1.1,,0,0,,0.0,,,0.0
2017-05-13,2017,scandinavian-race-uppsala,gc,Kuwait - Cartucho.es,1.2,,,1,,0.0,,,0.0
2017-02-21,2017,tour-cycliste-international-la-provence,gc,Kuwait - Cartucho.es,2.1,117.0,0.0,1,,5.0,,,5.0
2017-04-13,2017,tour-de-lombok,gc,Kuwait - Cartucho.es,2.2,,0,0,,28.0,,,29.0
2017-02-18,2017,tour-des-alpes-maritimes,gc,Kuwait - Cartucho.es,2.1,108.0,0.0,1,,3.0,,,3.0
2017-10-27,2017,tour-du-faso,gc,Kuwait - Cartucho.es,2.2,,0,0,,40.0,,,56.0
2017-04-07,2017,tour-du-maroc,gc,Kuwait - Cartucho.es,2.2,,0,0,,0.0,,,7.0
2017-07-16,2017,tour-of-magnificent-qinghai,gc,Kuwait - Cartucho.es,2.HC,57.0,0.0,1,,155.0,,,155.0
2017-08-25,2017,tour-of-xingtai,gc,Kuwait - Cartucho.es,2.2,,0,0,,25.0,,,26.0
2017-08-04,2017,volta-a-portugal,gc,Kuwait - Cartucho.es,2.1,,0,0,,3.0,,,3.0
2017-05-19,2017,vuelta-a-castilla-y-leon,gc,Kuwait - Cartucho.es,2.1,,0,0,,5.0,,,5.0
2017-01-13,2017,vuelta-al-tachira,gc,Kuwait - Cartucho.es,2.2,,0,0,,0.0,,,0.0
2017-04-29,2017,vuelta-asturias,gc,Kuwait - Cartucho.es,2.1,,,1,,0.0,,,0.0
2017-04-02,2017,vuelta-ciclista-a-la-rioja,gc,Kuwait - Cartucho.es,1.1,,,1,,0.0,,,3.0
2017-05-05,2017,vuelta-international-a-la-cominudad-de-madrid,gc,Kuwait - Cartucho.es,2.1,65.0,0.0,1,,16.0,,,16.0
2018-04-28,2018,banja-luka-belgrade-i,gc,Java-Partizan Pro Cycling Team,2.1,,0,0,,0.0,,,0.0
2018-09-26,2018,banyuwangi-tour-de-ijen,gc,Java-Partizan Pro Cycling Team,2.2,,0,0,,0.0,,,1.0
2018-09-09,2018,chrono-champenois-masculin,gc,Java-Partizan Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-05-24,2018,gp-cycliste-de-gemenc,gc,Java-Partizan Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2018-04-13,2018,gp-internacional-beiras-e-serra-da-estrela,gc,Java-Partizan Pro Cycling Team,2.1,,0,0,,0.0,,,0.0
2018-07-29,2018,gp-kranj,gc,Java-Partizan Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-04-08,2018,klasika-primavera,gc,Java-Partizan Pro Cycling Team,1.1,,,1,,0.0,,,0.0
2018-06-30,2018,mediterranean-games-itt,gc,Java-Partizan Pro Cycling Team,JR,,0,0,,0.0,,,0.0
2018-07-13,2018,national-championships-indonesia-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-belgium,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-greece,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,60.0
2018-06-22,2018,nc-greece-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,20.0
2018-07-14,2018,nc-indonesia,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-serbia,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,8.0
2018-06-22,2018,nc-serbia-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,10.0
2018-07-01,2018,ncgreat-britain,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-03-04,2018,rhodes-gp,gc,Java-Partizan Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-06-07,2018,ronde-de-l-oise,gc,Java-Partizan Pro Cycling Team,2.2,,0,0,,5.0,,,8.0
2018-05-12,2018,scandinavian-race-uppsala,gc,Java-Partizan Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2018-01-25,2018,speedy-tour-d-indonesia,gc,Java-Partizan Pro Cycling Team,2.1,56.0,0.0,1,,3.0,,,17.0
2018-05-04,2018,sri-lanka-t-cup,gc,Java-Partizan Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2018-04-23,2018,tour-de-limpopo,gc,Java-Partizan Pro Cycling Team,2.2,15.0,0.0,1,,0.0,,,0.0
