date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-09-16,2018,int-raiffeisen-gp-judendorf-strassengel,gc,Team Feldbinder Owayo KTM,1.2,,0,0,,0.0,,,0.0
2018-06-27,2018,mersin-mediterranean-games,gc,Greece,JR,,,1,,0.0,,,0.0
2018-05-19,2018,tour-of-albania,gc,Team Feldbinder Owayo KTM,2.2,,,1,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Greece,CC,,0,0,,0.0,,,0.0
2018-09-30,2018,world-championship,gc,Greece,WC,,0,0,,0.0,,,0.0
2019-03-08,2019,tour-of-rhodes,gc,Iviskos - Rodilios Regional,2.2,47.0,0.0,1,,0.0,,,0.0
2021-04-04,2021,rhodes-gp,gc,Attica Regional Team,1.2,,,1,,0.0,,,0.0
2021-04-08,2021,tour-of-rhodes,gc,Attica Regional Team,2.2,,,1,,0.0,,,0.0
2022-03-20,2022,rhodes-gp,gc,Kronos Nikeas,1.2,,,1,,0.0,,,3.0
2022-03-24,2022,tour-of-rhodes,gc,Kronos Nikeas,2.2,,,1,,0.0,,,0.0
2025-07-06,2025,grand-prix-edebiyat-yolu,gc,Greece,1.2,,0,0,,0.0,,,110.0
2025-07-05,2025,grand-prix-kahramanmaras,gc,Greece,1.2,,0,0,,0.0,,,80.0
2025-03-08,2025,rhodes-gp,gc,Greece,1.2,,0,0,,0.0,,,0.0
2025-03-01,2025,south-aegean-tour,gc,Greece,2.2,,0,0,,15.0,,,16.0
2025-04-02,2025,tour-of-hellas,gc,Greece,2.1,,0,0,,0.0,,,0.0
2025-09-04,2025,tour-of-kosovo,gc,Greece,2.2,38.0,0.0,1,,0.0,,,1.0
2025-03-13,2025,tour-of-rhodes,gc,Greece,2.2,,0,0,,0.0,,,0.0
2025-01-24,2025,tour-of-sharjah,gc,Greece,2.2,,0,0,,0.0,,,-20.0
2025-09-10,2025,turul-romaniei,gc,Greece,2.2,,,1,,0.0,,,0.0
2025-10-05,2025,uec-road-european-championships-me,gc,Greece,CC,,0,0,,0.0,,,0.0
2025-09-28,2025,world-championship,gc,Greece,WC,,0,0,,0.0,,,0.0
