date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-06-07,2023,aziz-shusha,gc,NSJBI Victoria Sports Cycling Team,2.2,,0,0,,15.0,,,15.0
2023-07-30,2023,circuito-de-getxo,gc,NSJBI Victoria Sports Cycling Team,1.1,,0,0,,0.0,,,0.0
2023-05-26,2023,gp-internacional-beiras-e-serra-da-estrela,gc,NSJBI Victoria Sports Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-08-27,2023,international-azerbaijan-tour,gc,NSJBI Victoria Sports Cycling Team,2.1,,0,0,,30.0,,,30.0
2023-06-30,2023,nc-philippines,gc,NSJBI Victoria Sports Cycling Team,NC,,,1,,0.0,,,0.0
2023-06-28,2023,nc-philippines-itt,gc,NSJBI Victoria Sports Cycling Team,NC,,,1,,0.0,,,0.0
2023-06-23,2023,nc-portugal,gc,NSJBI Victoria Sports Cycling Team,NC,,0,0,,0.0,,,3.0
2023-06-25,2023,nc-portugal2,gc,NSJBI Victoria Sports Cycling Team,NC,,0,0,,0.0,,,0.0
2023-07-25,2023,prueba-villafranca,gc,NSJBI Victoria Sports Cycling Team,1.1,,0,0,,0.0,,,0.0
2023-05-10,2023,the-tour-oqtosh-chorvoq-mountain,gc,NSJBI Victoria Sports Cycling Team,1.2,,,1,,0.0,,,10.0
2023-05-11,2023,the-tour-oqtosh-chorvoq-mountain-ii,gc,NSJBI Victoria Sports Cycling Team,1.2,,,1,,0.0,,,0.0
2023-05-13,2023,tour-of-bostonliq,gc,NSJBI Victoria Sports Cycling Team,1.2,,,1,,0.0,,,0.0
2023-05-14,2023,tour-of-bostonliq-ii,gc,NSJBI Victoria Sports Cycling Team,1.2,,,1,,0.0,,,5.0
2023-08-26,2023,tour-of-kandovan,gc,NSJBI Victoria Sports Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,NSJBI Victoria Sports Cycling Team,2.2,,0,0,,10.0,,,5.0
2023-07-26,2023,vuelta-a-castilla-y-leon,gc,NSJBI Victoria Sports Cycling Team,2.1,,0,0,,0.0,,,0.0
2023-04-28,2023,vuelta-asturias,gc,NSJBI Victoria Sports Cycling Team,2.1,,,1,,0.0,,,0.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,7Eleven Cliqq Roadbike Philippines,2.2,,0,0,,0.0,,,0.0
2024-03-30,2024,bueng-si-fai-international-road-race,gc,7Eleven Cliqq Roadbike Philippines,1.2,,,1,,0.0,,,0.0
2024-06-15,2024,nc-eritrea,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,0.0
2024-02-09,2024,nc-philippines,gc,7Eleven Cliqq Roadbike Philippines,NC,,,1,,0.0,,,4.0
2024-02-06,2024,nc-philippines-itt,gc,7Eleven Cliqq Roadbike Philippines,NC,,,1,,0.0,,,15.0
2024-05-31,2024,tour-du-maroc,gc,7Eleven Cliqq Roadbike Philippines,2.2,,0,0,,0.0,,,3.0
2024-09-26,2024,tour-of-huangshan,gc,7Eleven Cliqq Roadbike Philippines,2.2,54.0,0.0,1,,0.0,,,0.0
2024-04-01,2024,tour-of-thailand,gc,7Eleven Cliqq Roadbike Philippines,2.1,55.0,0.0,1,,3.0,,,3.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,7Eleven Cliqq Roadbike Philippines,2.2,106.0,0.0,1,,0.0,,,0.0
2025-07-28,2025,banyuwangi-tour-de-ijen,gc,7Eleven Cliqq Roadbike Philippines,2.2,,0,0,,0.0,,,0.0
2025-09-06,2025,dhofar-classic,gc,7Eleven Cliqq Roadbike Philippines,1.2,,,1,,0.0,,,0.0
2025-05-04,2025,grand-prix-de-cotonou,gc,7Eleven Cliqq Roadbike Philippines,1.2,,0,0,,0.0,,,35.0
2025-06-29,2025,nc-eritrea,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-france,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,0.0
2025-06-22,2025,nc-japan,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,0.0
2025-02-28,2025,nc-philippines,gc,7Eleven Cliqq Roadbike Philippines,NC,,,1,,0.0,,,0.0
2025-02-25,2025,nc-philippines-itt,gc,7Eleven Cliqq Roadbike Philippines,NC,,,1,,0.0,,,0.0
2025-09-28,2025,tour-de-langkawi,gc,7Eleven Cliqq Roadbike Philippines,2.Pro,,0,0,,6.0,,,1.0
2025-04-28,2025,tour-du-benin,gc,7Eleven Cliqq Roadbike Philippines,2.2,,0,0,,13.0,,,20.0
2025-10-12,2025,tour-of-mentougou,gc,7Eleven Cliqq Roadbike Philippines,2.2,64.0,0.0,1,,0.0,,,0.0
2025-09-07,2025,tour-of-salalah,gc,7Eleven Cliqq Roadbike Philippines,2.2,36.0,0.0,1,,0.0,,,0.0
2025-03-24,2025,tour-of-thailand,gc,7Eleven Cliqq Roadbike Philippines,2.1,,0,0,,0.0,,,0.0
2025-08-07,2025,trans-himalaya-cycling-race,gc,7Eleven Cliqq Roadbike Philippines,2.1,,0,0,,0.0,,,0.0
2025-06-14,2025,yellow-river-estuary-road-cycling-race,gc,7Eleven Cliqq Roadbike Philippines,2.2,79.0,0.0,1,,0.0,,,0.0
