date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-10-05,2023,gp-internacional-de-ciclismo-de-santa-catarina,gc,Ciclismo Rio do Sul,1.2,,,1,,0.0,,,5.0
2023-10-04,2023,gp-urubici-de-ciclismo,gc,Ciclismo Rio do Sul,1.2,,,1,,0.0,,,3.0
2023-10-03,2023,grand-tour-de-ciclismo-de-sc,gc,Ciclismo Rio do Sul,1.2,,,1,,0.0,,,3.0
2023-06-25,2023,nc-brazil,gc,Ciclismo Rio do Sul,NC,,,1,,0.0,,,0.0
2024-06-30,2024,nc-brazil,gc,Ciclismo Rio do Sul,NC,,,1,,0.0,,,50.0
2024-06-27,2024,nc-brazil-itt,gc,Ciclismo Rio do Sul,NC,,0,0,,0.0,,,18.0
2024-11-01,2024,tour-do-rio,gc,Ciclismo Rio do Sul,2.2,,0,0,,0.0,,,7.0
2025-07-05,2025,nc-brazil,gc,AVAI Florianópolis,NC,,,1,,0.0,,,20.0
2025-07-04,2025,nc-brazil-itt,gc,AVAI Florianópolis,NC,,0,0,,0.0,,,0.0
2025-10-08,2025,tour-de-santa-catarina,gc,AVAI Florianópolis,2.2,32.0,0.0,1,,0.0,,,-2.0
