date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-06-20,2024,nc-china,gc,Hainan Wuzhishan Cycling Team,NC,,0,0,,0.0,,,101.0
2024-06-18,2024,nc-china-itt,gc,Hainan Wuzhishan Cycling Team,NC,,0,0,,0.0,,,23.0
2024-08-27,2024,tour-of-hainan,gc,Hainan Wuzhishan Cycling Team,2.Pro,,0,0,,3.0,,,3.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,Hainan Wuzhishan Cycling Team,2.2,55.0,0.0,1,,3.0,,,3.0
2025-06-26,2025,nc-china,gc,Wuzhishan SCOM MVMT Cycling Team,NC,,0,0,,0.0,,,0.0
2025-02-08,2025,nc-new-zealand,gc,Wuzhishan SCOM MVMT Cycling Team,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-spain,gc,Wuzhishan SCOM MVMT Cycling Team,NC,,0,0,,0.0,,,0.0
2025-06-27,2025,nc-spain-itt,gc,Wuzhishan SCOM MVMT Cycling Team,NC,,0,0,,0.0,,,0.0
2025-09-09,2025,tour-of-binzhou,gc,Wuzhishan SCOM MVMT Cycling Team,1.1,,0,0,,0.0,,,70.0
2025-04-07,2025,tour-of-hainan,gc,Wuzhishan SCOM MVMT Cycling Team,2.Pro,,,1,,0.0,,,0.0
