date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-04-21,2018,arno-wallaard-memorial,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,0.0
2018-04-28,2018,carpathia-couriers-paths,gc,Leopard Pro Cycling,2.2U,1.0,30.0,1,,30.0,,,30.0
2018-09-09,2018,chrono-champenois-masculin,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,3.0
2018-05-27,2018,circuit-de-wallonie,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,20.0
2018-04-06,2018,circuit-des-ardennes,gc,Leopard Pro Cycling,2.2,,0,0,,10.0,,,10.0
2018-06-17,2018,circuit-des-xi-villes,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,43.0
2018-08-23,2018,deutschland-tour,gc,Leopard Pro Cycling,2.1,,0,0,,3.0,,,3.0
2018-07-25,2018,dookola-mazowsza,gc,Poland,2.2,,0,0,,0.0,,,0.0
2018-09-27,2018,famenne-ardenne-classic,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,40.0
2018-05-06,2018,fleche-ardennaise,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,10.0
2018-05-09,2018,fleche-du-sud,gc,Leopard Pro Cycling,2.2,,0,0,,3.0,,,6.0
2018-09-23,2018,gooikse-pijl,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,3.0
2018-07-08,2018,gp-albert-fauville,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,6.0
2018-07-26,2018,gp-cerami,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,3.0
2018-03-04,2018,gp-de-la-ville-de-lillers,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,3.0
2018-09-16,2018,gp-jef-scherens,gc,Leopard Pro Cycling,1.1,,,1,,0.0,,,25.0
2018-07-22,2018,grand-prix-de-la-ville-de-perenchies,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,20.0
2018-07-07,2018,grote-prijs-jean-pierre-monsere,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,60.0
2018-05-20,2018,grote-prijs-marcel-kint,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,33.0
2018-03-31,2018,le-triptyque-des-monts-et-chateaux,gc,Leopard Pro Cycling,2.2U,6.0,5.0,1,,5.0,,,5.0
2018-10-03,2018,munsterland-giro,gc,Leopard Pro Cycling,1.HC,,0,0,,0.0,,,60.0
2018-07-01,2018,nc-germany,gc,Leopard Pro Cycling,NC,,0,0,,0.0,,,40.0
2018-07-01,2018,nc-luxembourg,gc,Leopard Pro Cycling,NC,,0,0,,0.0,,,40.0
2018-06-28,2018,nc-luxembourg-itt,gc,Leopard Pro Cycling,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-poland,gc,Leopard Pro Cycling,NC,,,1,,0.0,,,0.0
2018-06-22,2018,nc-poland-itt,gc,Leopard Pro Cycling,NC,,,1,,0.0,,,25.0
2018-07-01,2018,nc-switserland,gc,Leopard Pro Cycling,NC,,0,0,,0.0,,,0.0
2018-07-01,2018,ncgreat-britain,gc,Leopard Pro Cycling,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,paris-chauny-classique,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,18.0
2018-05-27,2018,paris-roubaix-u23,gc,Leopard Pro Cycling,1.2U,,0,0,,0.0,,,0.0
2018-03-11,2018,paris-troyes,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,5.0
2018-08-12,2018,puchar-uzdrowisk-karpackich,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,3.0
2018-06-10,2018,rund-um-koln,gc,Leopard Pro Cycling,1.1,,,1,,0.0,,,31.0
2018-08-11,2018,slag-om-norg,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,0.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,Poland,2.1,2.0,85.0,1,,85.0,,,99.0
2018-08-02,2018,tour-alsace,gc,Leopard Pro Cycling,2.2,47.0,0.0,1,,3.0,,,3.0
2018-05-30,2018,tour-de-luxembourg,gc,Leopard Pro Cycling,2.HC,,0,0,,215.0,,,235.0
2018-03-19,2018,tour-de-normadie,gc,Leopard Pro Cycling,2.2,,0,0,,30.0,,,31.0
2018-08-04,2018,tour-de-pologne,gc,Poland,2.UWT,,0,0,,0.0,,,0.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Poland,1.Ncup,,,1,,0.0,,,30.0
2018-09-09,2018,tour-du-doubs,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,3.0
2018-04-21,2018,tour-du-jura-cycliste,gc,Leopard Pro Cycling,2.2,28.0,0.0,1,,3.0,,,10.0
2018-02-22,2018,tour-of-antalya,gc,Leopard Pro Cycling,2.2,,0,0,,3.0,,,4.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Poland,CC,,0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Poland,CC,,0,0,,0.0,,,5.0
2018-09-30,2018,world-championship,gc,Poland,WC,,0,0,,0.0,,,13.0
2018-09-26,2018,world-championship-itt,gc,Poland,WC,,0,0,,0.0,,,155.0
2018-04-28,2018,zodc-zuidenveld-tour,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,15.0
2019-04-20,2019,arno-wallaard-memorial,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,0.0
2019-04-12,2019,circuit-des-ardennes,gc,Leopard Pro Cycling,2.2,,0,0,,5.0,,,5.0
2019-06-23,2019,circuit-des-xi-villes,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,0.0
2019-10-05,2019,circuit-franco-belge,gc,Leopard Pro Cycling,1.HC,,,1,,0.0,,,3.0
2019-08-16,2019,czech-tour,gc,Leopard Pro Cycling,2.1,,,1,,10.0,,,10.0
2019-10-06,2019,famenne-ardenne-classic,gc,Leopard Pro Cycling,1.1,,,1,,0.0,,,3.0
2019-05-12,2019,fleche-ardennaise,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,0.0
2019-05-29,2019,fleche-du-sud,gc,Leopard Pro Cycling,2.2,41.0,0.0,1,,0.0,,,0.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Leopard Pro Cycling,2.2,30.0,0.0,1,,10.0,,,10.0
2019-09-22,2019,gooikse-pijl,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,0.0
2019-07-25,2019,gp-cerami,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,3.0
2019-09-01,2019,gp-jef-scherens,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,0.0
2019-03-05,2019,gp-samyn,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,0.0
2019-05-19,2019,grand-prix-criquielion,gc,Leopard Pro Cycling,1.2,,0,0,,0.0,,,0.0
2019-07-28,2019,grand-prix-de-la-ville-de-perenchies,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,0.0
2019-05-26,2019,grote-prijs-marcel-kint,gc,Leopard Pro Cycling,1.1,,0,0,,0.0,,,35.0
2019-10-08,2019,memorial-frank-vandenbroucke,gc,Leopard Pro Cycling,1.1,,,1,,0.0,,,0.0
2019-06-16,2019,midden-brabant-poort-omloop,gc,Leopard Pro Cycling,1.2,,,1,,0.0,,,30.0
