date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-07-31,2017,circuito-de-getxo,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-06-03,2017,games-of-the-small-states-of-europe-me-itt,gc,Massi - Kuwait Cycling Project,JR,,0,0,,0.0,,,0.0
2017-06-02,2017,gp-internacional-beiras-e-serra-da-estrela,gc,Massi - Kuwait Cycling Project,2.1,,0,0,,0.0,,,0.0
2017-08-22,2017,grand-prix-des-marbriers,gc,Massi - Kuwait Cycling Project,1.2,,0,0,,0.0,,,0.0
2017-07-08,2017,grote-prijs-jean-pierre-monsere,gc,Massi - Kuwait Cycling Project,1.1,,0,0,,0.0,,,0.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,Massi - Kuwait Cycling Project,1.2,,,1,,0.0,,,0.0
2017-03-30,2017,joe-martin-stage-race-me,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,0.0,,,0.0
2017-04-09,2017,klasika-primavera,gc,Massi - Kuwait Cycling Project,1.1,,0,0,,0.0,,,0.0
2017-07-09,2017,midden-brabant-poort-omloop,gc,Massi - Kuwait Cycling Project,1.2,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-spain,gc,Massi - Kuwait Cycling Project,NC,,0,0,,0.0,,,0.0
2017-06-23,2017,nc-spain-itt,gc,Massi - Kuwait Cycling Project,NC,,0,0,,0.0,,,0.0
2017-06-07,2017,okolo-slovenska,gc,Massi - Kuwait Cycling Project,2.1,,0,0,,0.0,,,0.0
2017-09-24,2017,paris-chauny-classique,gc,Massi - Kuwait Cycling Project,1.2,,,1,,0.0,,,0.0
2017-07-25,2017,prueba-villafranca,gc,Massi - Kuwait Cycling Project,1.1,,0,0,,0.0,,,0.0
2017-05-27,2017,tour-de-gironde,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,0.0,,,0.0
2017-10-01,2017,tour-de-vendee,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-01-13,2017,vuelta-al-tachira,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,0.0,,,0.0
2017-10-27,2017,vuelta-ciclista-a-venezuela,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,3.0,,,3.0
2018-07-18,2018,Grande-Premio-de-Portugal-N2,gc,Massi - Kuwait Team,2.2,99.0,0.0,1,,0.0,,,0.0
2018-07-31,2018,circuito-de-getxo,gc,Massi - Kuwait Team,1.1,,,1,,0.0,,,0.0
2018-09-06,2018,giro-della-regione-friuli-venezia-giulia,gc,Massi - Kuwait Team,2.2,,,1,,0.0,,,0.0
2018-04-13,2018,gp-internacional-beiras-e-serra-da-estrela,gc,Massi - Kuwait Team,2.1,70.0,0.0,1,,0.0,,,0.0
2018-05-20,2018,grote-prijs-marcel-kint,gc,Massi - Kuwait Team,1.1,,0,0,,0.0,,,0.0
2018-04-08,2018,klasika-primavera,gc,Massi - Kuwait Team,1.1,,,1,,0.0,,,0.0
2018-07-01,2018,nc-france,gc,Massi - Kuwait Team,NC,,0,0,,0.0,,,0.0
2018-06-30,2018,nc-kuwait,gc,Massi - Kuwait Team,NC,,0,0,,0.0,,,133.0
2018-06-29,2018,nc-kuwait-itt,gc,Massi - Kuwait Team,NC,,0,0,,0.0,,,58.0
2018-06-24,2018,nc-spain,gc,Massi - Kuwait Team,NC,,,1,,0.0,,,0.0
2018-06-22,2018,nc-spain-itt,gc,Massi - Kuwait Team,NC,,0,0,,0.0,,,0.0
2018-07-25,2018,prueba-villafranca,gc,Massi - Kuwait Team,1.1,,,1,,0.0,,,0.0
2018-05-13,2018,ronde-van-noord-holland,gc,Massi - Kuwait Team,1.2,,0,0,,0.0,,,0.0
2018-05-12,2018,ronde-van-overijssel,gc,Massi - Kuwait Team,1.2,,0,0,,0.0,,,0.0
2018-07-05,2018,sibiu-cycling-tour,gc,Massi - Kuwait Team,2.1,94.0,0.0,1,,0.0,,,0.0
2018-10-06,2018,tour-de-vendee,gc,Massi - Kuwait Team,1.1,,,1,,0.0,,,0.0
2018-09-27,2018,tour-of-black-sea,gc,Massi - Kuwait Team,2.2,,0,0,,0.0,,,0.0
2018-09-19,2018,turul-romaniei,gc,Massi - Kuwait Team,2.2,,0,0,,0.0,,,0.0
2019-09-08,2019,chrono-champenois-masculin,gc,Massi Vivo - Grupo Oresy,1.2,,0,0,,0.0,,,0.0
