date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-09,2021,five-rings-of-moscow,gc,Novosibirsk,2.2,65.0,0.0,1,,0.0,,,0.0
2022-02-05,2022,grand-prix-alanya,gc,Inex Siberian Team,1.2,,,1,,0.0,,,0.0
2022-02-20,2022,grand-prix-justiniano-hotels,gc,Inex Siberian Team,1.2,,,1,,0.0,,,0.0
2022-01-30,2022,grand-prix-megasaray,gc,Inex Siberian Team,1.2,,,1,,0.0,,,0.0
2022-02-19,2022,grand-prix-velo-alanya,gc,Inex Siberian Team,1.2,,,1,,0.0,,,0.0
2024-06-22,2024,nc-latvia,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,105.0
2024-09-29,2024,tour-de-langkawi,gc,Hengxiang Cycling Team,2.Pro,43.0,0.0,1,,0.0,,,0.0
2024-08-27,2024,tour-of-hainan,gc,Hengxiang Cycling Team,2.Pro,59.0,0.0,1,,3.0,,,3.0
2024-07-07,2024,tour-of-magnificent-qinghai,gc,Hengxiang Cycling Team,2.Pro,74.0,0.0,1,,0.0,,,-45.0
2024-09-04,2024,tour-of-poyang-lake,gc,Hengxiang Cycling Team,2.2,,,1,,30.0,,,33.0
2024-10-09,2024,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.Pro,65.0,0.0,1,,5.0,,,5.0
2025-04-15,2025,giro-d-abruzzo,gc,Monzon - Incolor - Gub,2.1,,0,0,,0.0,,,0.0
2025-04-12,2025,giro-di-reggio-calabria,gc,Monzon - Incolor - Gub,1.1,,0,0,,0.0,,,3.0
2025-06-15,2025,nc-finland,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,1.0
2025-06-13,2025,nc-finland-itt,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,10.0
2025-06-29,2025,nc-hungary,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-italy,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,0.0
2025-06-29,2025,nc-latvia,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,60.0
2025-06-25,2025,nc-latvia-itt,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,20.0
2025-06-22,2025,nc-romania,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,31.0
2025-06-20,2025,nc-romania-itt,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,20.0
2025-06-29,2025,ncgreat-britain,gc,Monzon - Incolor - Gub,NC,,0,0,,0.0,,,0.0
2025-07-03,2025,sibiu-cycling-tour,gc,Monzon - Incolor - Gub,2.1,,0,0,,0.0,,,0.0
2025-09-09,2025,tour-of-binzhou,gc,Monzon - Incolor - Gub,1.1,,,1,,0.0,,,5.0
2025-08-31,2025,tour-of-bulgaria,gc,Monzon - Incolor - Gub,2.2,,0,0,,0.0,,,0.0
2025-04-02,2025,tour-of-hellas,gc,Monzon - Incolor - Gub,2.1,,0,0,,3.0,,,3.0
2025-09-19,2025,tour-of-huangshan,gc,Monzon - Incolor - Gub,2.1,30.0,0.0,1,,0.0,,,0.0
2025-10-12,2025,tour-of-mentougou,gc,Monzon - Incolor - Gub,2.2,,,1,,20.0,,,20.0
2025-09-10,2025,turul-romaniei,gc,Monzon - Incolor - Gub,2.2,,0,0,,0.0,,,0.0
