date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-22,2021,tour-cycliste-international-de-la-guadeloupe,gc,Inteja Imca DCT,2.2,70.0,0.0,1,,3.0,,,11.0
2022-10-22,2022,elite-road-caribbean-championships-itt,gc,Dominican Republic,1.2,,,1,,0.0,,,10.0
2022-10-23,2022,elite-road-caribbean-championships-road-race,gc,Dominican Republic,1.2,,,1,,0.0,,,35.0
2022-06-26,2022,juegos-bolivarianos-me-road-race,gc,Dominican Republic,JR,,0,0,,0.0,,,0.0
2022-05-15,2022,panamerican-championships,gc,Dominican Republic,CC,,0,0,,0.0,,,1.0
2025-10-11,2025,elite-road-caribbean-championships-itt,gc,Dominican Republic,1.2,,0,0,,0.0,,,10.0
2025-10-12,2025,elite-road-caribbean-championships-road-race,gc,Dominican Republic,1.2,,,1,,0.0,,,43.0
2025-12-05,2025,juegos-bolivarianos-me-road-race,gc,Dominican Republic,1.2,,,1,,0.0,,,0.0
2025-06-29,2025,nc-dominican-republic,gc,Doglocy - Imca,NC,,,1,,0.0,,,50.0
2025-06-26,2025,nc-dominican-republic-itt,gc,Doglocy - Imca,NC,,,1,,0.0,,,0.0
2025-04-27,2025,panamerican-championships,gc,Dominican Republic,CC,,0,0,,0.0,,,0.0
