date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-16,2017,african-continental-championships-itt,gc,Eritrea,CC,,0,0,,0.0,,,110.0
2017-02-27,2017,la-tropicale-amissa-bongo,gc,Eritrea,2.1,,0,0,,38.0,,,57.0
2017-11-08,2017,tour-of-fuzhou,gc,Eritrea,2.1,10.0,20.0,1,,25.0,,,25.0
2017-11-12,2017,tour-of-rwanda,gc,Eritrea,2.2,,0,0,,3.0,,,5.0
2017-10-10,2017,tour-of-taihu-lake,gc,Eritrea,2.1,,,1,,3.0,,,3.0
2017-09-24,2017,world-championship,gc,Eritrea,WC,,0,0,,0.0,,,0.0
2017-09-20,2017,world-championship-itt,gc,Eritrea,WC,,0,0,,0.0,,,0.0
2018-11-25,2018,africa-cup,gc,Eritrea,1.1,,0,0,,0.0,,,430.0
2018-02-18,2018,african-championships,gc,Eritrea,CC,,0,0,,0.0,,,648.0
2018-02-15,2018,african-continental-championships-itt,gc,Eritrea,CC,,0,0,,0.0,,,70.0
2018-01-15,2018,la-tropicale-amissa-bongo,gc,Eritrea,2.1,,0,0,,9.0,,,14.0
2018-01-25,2018,speedy-tour-d-indonesia,gc,Eritrea,2.1,31.0,0.0,1,,60.0,,,63.0
2018-02-22,2018,tour-of-antalya,gc,Eritrea,2.2,,,1,,0.0,,,0.0
2018-11-14,2018,tour-of-fuzhou,gc,Eritrea,2.1,,0,0,,120.0,,,123.0
2018-10-07,2018,tour-of-taihu-lake,gc,Eritrea,2.1,,0,0,,0.0,,,3.0
2018-09-30,2018,world-championship,gc,Eritrea,WC,,0,0,,0.0,,,10.0
2018-09-26,2018,world-championship-itt,gc,Eritrea,WC,,0,0,,0.0,,,0.0
