date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-05-30,2021,albani-classic-fyen-rundt,gc,Team O.B.Wiik - Dan Stillads,1.2,,,1,,0.0,,,0.0
2021-05-29,2021,gp-herning,gc,Team O.B.Wiik - Dan Stillads,1.2,,,1,,0.0,,,0.0
2021-08-28,2021,himmerland-rundt,gc,Team O.B.Wiik - Dan Stillads,1.2,,,1,,0.0,,,10.0
2021-08-29,2021,skive-lobet,gc,Team O.B.Wiik - Dan Stillads,1.2,,,1,,0.0,,,15.0
2023-05-14,2023,albani-classic-fyen-rundt,gc,Team Give Elementer,1.2,,0,0,,0.0,,,0.0
2023-05-13,2023,gp-herning,gc,Team Give Elementer,1.2,,0,0,,0.0,,,0.0
2023-09-03,2023,gylne-gutuer,gc,Team Give Elementer,1.2,,0,0,,0.0,,,0.0
2023-05-06,2023,hadeland-gp,gc,Team Give Elementer,1.2,,,1,,0.0,,,20.0
2023-09-02,2023,lillehammer-gp,gc,Team Give Elementer,1.2,,0,0,,0.0,,,0.0
2023-05-07,2023,ringerike-gp,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2023-06-01,2023,tour-of-malopolska,gc,Team Give Elementer,2.2,58.0,0.0,1,,0.0,,,0.0
2024-05-26,2024,albani-classic-fyen-rundt,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,danish-championships,gc,Team Give Elementer,NC,,,1,,0.0,,,0.0
2024-05-25,2024,gp-herning,gc,Team Give Elementer,1.2,,,1,,0.0,,,0.0
2024-04-28,2024,kirschblutenrennen,gc,Team Give Elementer,1.2,,,1,,0.0,,,3.0
2024-06-21,2024,nc-denmark-itt,gc,Team Give Elementer,NC,,,1,,0.0,,,0.0
2024-05-30,2024,tour-of-malopolska,gc,Team Give Elementer,2.2,,,1,,0.0,,,0.0
2025-06-29,2025,danish-championships,gc,Cykle Klubben Aarhus,NC,,0,0,,0.0,,,0.0
2025-05-03,2025,gp-herning,gc,Cykle Klubben Aarhus,1.2,,,1,,0.0,,,0.0
