date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-03-15,2020,gran-premio-de-la-patagonia,gc,SAFUT Peteroa,1.2,,,1,,0.0,,,0.0
2023-06-16,2023,vuelta-pilsen-a-colombia,gc,Team Fundecom - C. Goci,2.2,113.0,0.0,1,,0.0,,,0.0
2024-04-28,2024,nc-chile,gc,STAMINA Racing,NC,,0,0,,0.0,,,103.0
2024-04-26,2024,nc-chile-itt,gc,STAMINA Racing,NC,,,1,,0.0,,,50.0
2024-01-28,2024,nc-colombia,gc,Fundecom - Calzado - Gocci,NC,,,1,,0.0,,,0.0
2024-11-01,2024,tour-do-rio,gc,STAMINA Racing,2.2,44.0,0.0,1,,0.0,,,0.0
2024-06-14,2024,vuelta-pilsen-a-colombia,gc,Fundecom - Calzado - Gocci,2.2,70.0,0.0,1,,0.0,,,-5.0
2025-05-04,2025,nc-chile,gc,STAMINA Racing,NC,,,1,,0.0,,,31.0
2025-05-01,2025,nc-chile-itt,gc,STAMINA Racing,NC,,0,0,,0.0,,,30.0
2025-02-09,2025,nc-colombia,gc,Fundecom - Tour & Nativa,NC,,,1,,0.0,,,0.0
2025-08-01,2025,vuelta-pilsen-a-colombia,gc,Fundecom - Tour & Nativa,2.2,82.0,0.0,1,,3.0,,,3.0
