date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-05-14,2023,albani-classic-fyen-rundt,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,0.0
2023-10-15,2023,chrono-des-nations,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,5.0
2023-04-06,2023,circuit-des-ardennes,gc,Leopard TOGT Pro Cycling,2.2,,0,0,,40.0,,,47.0
2023-04-14,2023,classic-grand-besancon-doubs,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,0.0
2023-06-25,2023,danish-championships,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,40.0
2023-03-12,2023,dorpenomloop-rucphen,gc,Leopard TOGT Pro Cycling,1.2,,,1,,0.0,,,0.0
2023-10-01,2023,famenne-ardenne-classic,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,3.0
2023-05-07,2023,fleche-ardennaise,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-17,2023,fleche-du-sud,gc,Leopard TOGT Pro Cycling,2.2,,0,0,,5.0,,,13.0
2023-09-10,2023,gp-de-la-somme,gc,Leopard TOGT Pro Cycling,1.2,,,1,,0.0,,,20.0
2023-03-05,2023,gp-de-la-ville-de-lillers,gc,Leopard TOGT Pro Cycling,1.2,,,1,,0.0,,,40.0
2023-05-13,2023,gp-herning,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,0.0
2023-02-28,2023,gp-samyn,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,20.0
2023-07-23,2023,grand-prix-de-la-ville-de-perenchies,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,3.0
2023-09-17,2023,grote-prijs-rik-van-looy,gc,Leopard TOGT Pro Cycling,1.2,,,1,,0.0,,,15.0
2023-09-03,2023,gylne-gutuer,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,40.0
2023-05-06,2023,hadeland-gp,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,30.0
2023-04-25,2023,le-tour-de-bretagne,gc,Leopard TOGT Pro Cycling,2.2,,0,0,,0.0,,,10.0
2023-03-04,2023,le-tour-des-100-communes,gc,Leopard TOGT Pro Cycling,1.2,,,1,,0.0,,,0.0
2023-09-02,2023,lillehammer-gp,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,10.0
2023-10-03,2023,memorial-frank-vandenbroucke,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,5.0
2023-06-04,2023,memorial-philippe-van-coningsloo,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,25.0
2023-06-22,2023,nc-denmark-itt,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,30.0
2023-06-25,2023,nc-luxembourg,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,64.0
2023-06-21,2023,nc-luxembourg-itt,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,1.0
2023-06-25,2023,nc-netherlands,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,0.0
2023-06-21,2023,nc-netherlands-itt,gc,Leopard TOGT Pro Cycling,NC,,0,0,,0.0,,,0.0
2023-03-22,2023,olympias-tour,gc,Leopard TOGT Pro Cycling,2.2,,0,0,,55.0,,,55.0
2023-09-24,2023,paris-chauny-classique,gc,Leopard TOGT Pro Cycling,1.1,,,1,,0.0,,,13.0
2023-05-07,2023,ringerike-gp,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,0.0
2023-08-27,2023,ronde-van-de-achterhoek,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,0.0
2023-03-12,2023,ronde-van-drenthe,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,3.0
2023-05-06,2023,ronde-van-overijssel,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,30.0
2023-05-21,2023,rund-um-koln,gc,Leopard TOGT Pro Cycling,1.1,,0,0,,0.0,,,0.0
2023-03-04,2023,ster-van-zwolle,gc,Leopard TOGT Pro Cycling,1.2,,0,0,,0.0,,,3.0
2023-07-27,2023,tour-alsace,gc,Leopard TOGT Pro Cycling,2.2,,0,0,,3.0,,,3.0
2023-07-31,2023,tour-de-l-ain,gc,Leopard TOGT Pro Cycling,2.1,,0,0,,3.0,,,3.0
2023-09-20,2023,tour-de-luxembourg,gc,Leopard TOGT Pro Cycling,2.Pro,,0,0,,3.0,,,3.0
