date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-17,2021,boucles-de-l-aulne,gc,France,1.1,,0,0,,0.0,,,0.0
2021-10-07,2021,circuit-des-ardennes,gc,France,2.2,,0,0,,10.0,,,10.0
2021-09-03,2021,classic-grand-besancon-doubs,gc,France,1.1,,,1,,0.0,,,0.0
2021-09-19,2021,gp-d-isbergues,gc,France,1.1,,0,0,,0.0,,,13.0
2021-07-18,2021,gp-de-la-ville-de-nogent-sur-oise,gc,AC Bisontine,1.2,,,1,,0.0,,,0.0
2021-10-16,2021,gp-de-plumelec,gc,France,1.Pro,,0,0,,0.0,,,75.0
2021-07-25,2021,grand-prix-de-la-ville-de-perenchies,gc,AC Bisontine,1.2,,,1,,0.0,,,0.0
2021-06-10,2021,la-route-d-occitanie,gc,France,2.1,,0,0,,3.0,,,3.0
2021-07-24,2021,olympic-games,gc,France,Olympics,,0,0,,0.0,,,208.0
2021-07-28,2021,olympic-games-itt,gc,France,Olympics,,0,0,,0.0,,,5.0
2021-07-29,2021,tour-de-l-ain,gc,France,2.1,,0,0,,3.0,,,3.0
2021-08-04,2021,tour-des-pays-de-savoie,gc,France,2.2,,0,0,,15.0,,,16.0
2021-09-05,2021,tour-du-doubs,gc,France,1.1,,0,0,,0.0,,,0.0
2021-09-04,2021,tour-du-jura-cycliste,gc,France,1.1,,0,0,,0.0,,,40.0
2021-09-09,2021,uec-road-european-championships-itt,gc,France,CC,,0,0,,0.0,,,5.0
2021-09-12,2021,uec-road-european-championships-me,gc,France,CC,,0,0,,0.0,,,190.0
2021-09-26,2021,world-championship,gc,France,WC,,0,0,,0.0,,,818.0
2021-09-19,2021,world-championship-itt,gc,France,WC,,0,0,,0.0,,,20.0
2022-07-10,2022,gp-de-la-ville-de-nogent-sur-oise,gc,AC Bisontine,1.2,,,1,,0.0,,,0.0
2022-06-17,2022,tour-du-pays-de-montbeliard,gc,AC Bisontine,2.2,,0,0,,0.0,,,0.0
2023-09-10,2023,gp-de-la-somme,gc,AC Bisontine,1.2,,,1,,0.0,,,3.0
2023-01-08,2023,nc-australia,gc,AC Bisontine,NC,,0,0,,0.0,,,0.0
2023-01-10,2023,nc-australia-itt,gc,AC Bisontine,NC,,0,0,,0.0,,,1.0
2023-02-12,2023,nc-new-zealand,gc,AC Bisontine,NC,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-switserland,gc,AC Bisontine,NC,,0,0,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,AC Bisontine,1.2,,,1,,0.0,,,0.0
2023-06-16,2023,tour-du-pays-de-montbeliard,gc,AC Bisontine,2.2,16.0,0.0,1,,0.0,,,0.0
2024-09-28,2024,gp-cerami,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,0,0,,0.0,,,3.0
2024-04-28,2024,gp-de-la-somme,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,0,0,,0.0,,,63.0
2024-03-03,2024,gp-de-la-ville-de-lillers,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,,1,,0.0,,,5.0
2024-09-15,2024,gp-de-la-ville-de-nogent-sur-oise,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,0,0,,0.0,,,40.0
2024-07-21,2024,grand-prix-de-la-ville-de-perenchies,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,,1,,0.0,,,0.0
2024-07-27,2024,kreiz-breizh-elites,gc,SCO Dijon - Team Matériel - Velo.com,2.2,,,1,,3.0,,,3.0
2024-03-02,2024,le-tour-des-100-communes,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,,1,,0.0,,,10.0
2024-06-22,2024,nc-canada2,gc,SCO Dijon - Team Matériel - Velo.com,NC,,0,0,,0.0,,,50.0
2024-06-23,2024,ncgreat-britain,gc,SCO Dijon - Team Matériel - Velo.com,NC,,0,0,,0.0,,,0.0
2024-05-20,2024,paris-troyes,gc,SCO Dijon - Team Matériel - Velo.com,1.2,,,1,,0.0,,,10.0
2024-05-30,2024,ronde-de-l-oise,gc,SCO Dijon - Team Matériel - Velo.com,2.2,,0,0,,3.0,,,3.0
2024-05-23,2024,tour-de-la-mirabelle,gc,SCO Dijon - Team Matériel - Velo.com,2.2,19.0,0.0,1,,0.0,,,6.0
