date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-04-29,2022,grand-prix-nasielsk-serock,gc,Team Hanau-Storck,1.2,,,1,,0.0,,,0.0
2022-04-30,2022,grand-prix-wyszkow,gc,Team Hanau-Storck,1.2,,,1,,0.0,,,0.0
2023-04-15,2023,arno-wallaard-memorial,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-06-07,2023,aziz-shusha,gc,Storck - Metropol Cycling,2.2,64.0,0.0,1,,0.0,,,0.0
2023-06-28,2023,course-cycliste-de-solidarnosc,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-07-26,2023,dookola-mazowsza,gc,Storck - Metropol Cycling,2.2,111.0,0.0,1,,0.0,,,0.0
2023-09-30,2023,gp-cerami,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-08-20,2023,gp-stad-zottegem,gc,Storck - Metropol Cycling,1.1,,0,0,,0.0,,,0.0
2023-01-21,2023,gravel-and-tar,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-27,2023,grote-prijs-marcel-kint,gc,Storck - Metropol Cycling,1.1,,,1,,0.0,,,0.0
2023-07-28,2023,kreiz-breizh-elites,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,Storck - Metropol Cycling,1.2,,,1,,0.0,,,0.0
2023-08-12,2023,memorial-henryka-lasaka,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-08-13,2023,memorial_jana_magiery_2022,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,Storck - Metropol Cycling,NC,,0,0,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,Storck - Metropol Cycling,NC,,0,0,,0.0,,,0.0
2023-01-11,2023,new-zealand-cycle-classic,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-03-11,2023,rhodes-gp,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-06,2023,ronde-van-overijssel,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-21,2023,rund-um-koln,gc,Storck - Metropol Cycling,1.1,,0,0,,0.0,,,0.0
2023-03-04,2023,south-aegean-tour,gc,Storck - Metropol Cycling,2.2,,,1,,0.0,,,0.0
2023-06-14,2023,tour-de-beauce,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,-5.0
2023-03-17,2023,tour-of-rhodes,gc,Storck - Metropol Cycling,2.2,,,1,,0.0,,,0.0
2023-09-10,2023,tour-of-salalah,gc,Storck - Metropol Cycling,2.2,,0,0,,8.0,,,12.0
2024-05-19,2024,antwerp-port-epic,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-04-13,2024,arno-wallaard-memorial,gc,MYVELO Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-09,2024,circuit-de-wallonie,gc,MYVELO Pro Cycling Team,1.1,,,1,,0.0,,,0.0
2024-04-28,2024,famenne-ardenne-classic,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-09-15,2024,gp-d-isbergues,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-05-01,2024,gp-vorarlberg,gc,MYVELO Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-07-21,2024,grand-prix-de-la-ville-de-perenchies,gc,MYVELO Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2024-09-08,2024,grote-prijs-stad-halle,gc,MYVELO Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-08-11,2024,la-poly-normande,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-03-24,2024,la-roue-tourangelle,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-06-23,2024,nc-germany,gc,MYVELO Pro Cycling Team,NC,,,1,,0.0,,,0.0
2024-06-21,2024,nc-germany-itt,gc,MYVELO Pro Cycling Team,NC,,,1,,0.0,,,0.0
2024-09-22,2024,paris-chauny-classique,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-05-30,2024,ronde-de-l-oise,gc,MYVELO Pro Cycling Team,2.2,65.0,0.0,1,,0.0,,,-5.0
2024-05-26,2024,rund-um-koln,gc,MYVELO Pro Cycling Team,1.1,,0,0,,0.0,,,0.0
2024-07-06,2024,sibiu-cycling-tour,gc,MYVELO Pro Cycling Team,2.1,,,1,,0.0,,,0.0
2025-05-28,2025,fleche-du-sud,gc,BIKE AID Südliche Weinstrasse Team,2.2,,,1,,0.0,,,0.0
2025-06-29,2025,nc-germany,gc,BIKE AID Südliche Weinstrasse Team,NC,,0,0,,0.0,,,0.0
