date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Argentina,2.1,,,1,,55.0,,,55.0
2017-09-24,2017,world-championship,gc,Argentina,WC,,0,0,,0.0,,,0.0
2017-09-20,2017,world-championship-itt,gc,Argentina,WC,,0,0,,0.0,,,0.0
2019-01-27,2019,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Argentina,2.1,91.0,0.0,1,,3.0,,,3.0
2019-09-29,2019,world-championship,gc,Argentina,WC,,0,0,,0.0,,,0.0
2019-09-25,2019,world-championship-itt,gc,Argentina,WC,,0,0,,0.0,,,0.0
2020-01-26,2020,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Equipo Continental Municipalidad de Pocito,2.Pro,76.0,0.0,1,,30.0,,,35.0
2022-04-17,2022,nc-argentina,gc,Municipalidad de Rawson,NC,,,1,,0.0,,,0.0
2022-04-14,2022,nc-argentina-itt,gc,Municipalidad de Rawson,NC,,0,0,,0.0,,,0.0
2022-04-07,2022,vuelta-a-formosa-internacional,gc,Municipalidad de Rawson,2.2,,0,0,,0.0,,,0.0
2022-02-09,2022,vuelta-del-porvenir,gc,Municipalidad de Rawson,2.2,12.0,0.0,1,,0.0,,,0.0
2023-01-06,2023,giro-del-sol-san-juan,gc,Gremios por el Deporte - Cutral Co,2.2,1.0,40.0,1,,45.0,,,53.0
2023-10-29,2023,pan-american-games,gc,Argentina,JC,,0,0,,0.0,,,275.0
2023-10-22,2023,pan-american-games---tt,gc,Argentina,JC,,0,0,,0.0,,,10.0
2023-04-19,2023,panamerican-champ-itt,gc,Argentina,CC,,0,0,,0.0,,,15.0
2023-04-23,2023,panamerican-championships,gc,Argentina,CC,,,1,,0.0,,,200.0
2023-05-04,2023,tour-de-catamarca-internacional,gc,Gremios por el Deporte - Cutral Co,2.2,,0,0,,10.0,,,10.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,Argentina,2.2,,0,0,,0.0,,,0.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,Gremios por el Deporte - Cutral Co,2.2,,0,0,,40.0,,,54.0
2023-01-22,2023,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Gremios por el Deporte - Cutral Co,2.Pro,101.0,0.0,1,,3.0,,,-12.0
2023-01-22,2023,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Argentina,2.Pro,,0,0,,0.0,,,15.0
2023-02-01,2023,vuelta-del-porvenir,gc,Argentina,2.2,,0,0,,0.0,,,0.0
2023-02-01,2023,vuelta-del-porvenir,gc,Gremios por el Deporte - Cutral Co,2.2,,0,0,,5.0,,,5.0
2023-08-06,2023,world-championship,gc,Argentina,WC,,0,0,,0.0,,,0.0
2023-08-11,2023,world-championship-itt,gc,Argentina,WC,,0,0,,0.0,,,0.0
2025-04-27,2025,panamerican-championships,gc,Argentina,CC,,,1,,0.0,,,105.0
