date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-10-13,2024,african-championships,gc,Tunisia,CC,,0,0,,0.0,,,6.0
2024-03-15,2024,african-games-me-itt,gc,Tunisia,JC,,0,0,,0.0,,,0.0
2024-03-10,2024,african-games-road-race-me,gc,Tunisia,JC,,0,0,,0.0,,,40.0
2024-05-24,2024,gp-de-la-ville-d-alger,gc,Tunisia,1.2,,,1,,0.0,,,0.0
2024-05-11,2024,grand-prix-d-oran,gc,Tunisia,1.2,,,1,,0.0,,,0.0
2024-05-22,2024,grand-prix-de-la-ville-d-annaba,gc,Tunisia,1.2,,,1,,0.0,,,0.0
2024-05-12,2024,tour-d-algerie-cycliste,gc,Tunisia,2.2,53.0,0.0,1,,0.0,,,0.0
2025-02-22,2025,gp-de-la-ville-d-alger,gc,Tunisia,1.2,,,1,,0.0,,,0.0
2025-02-08,2025,grand-prix-sakiat-sidi-youcef,gc,Tunisia,1.2,,,1,,0.0,,,0.0
2025-02-20,2025,grand-prix-sonatrach,gc,Tunisia,1.2,,,1,,0.0,,,15.0
2025-02-09,2025,tour-d-algerie-cycliste,gc,Tunisia,2.2,60.0,0.0,1,,0.0,,,0.0
2025-01-22,2025,tour-du-sahel,gc,Tunisia,2.2,36.0,0.0,1,,3.0,,,3.0
