date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-06,2021,grand-prix-chantal-biya,gc,Cameroon,2.2,,,1,,5.0,,,5.0
2021-05-29,2021,tour-du-cameroun,gc,Cameroon,2.2,,0,0,,3.0,,,3.0
2021-10-29,2021,tour-du-faso,gc,Cameroon,2.2,,0,0,,0.0,,,7.0
2022-10-03,2022,grand-prix-chantal-biya,gc,Cameroon,2.2,32.0,0.0,1,,0.0,,,0.0
2022-05-03,2022,tour-du-benin,gc,Cameroon,2.2,,0,0,,23.0,,,26.0
2022-06-04,2022,tour-du-cameroun,gc,Cameroon,2.2,21.0,0.0,1,,0.0,,,0.0
2023-10-03,2023,grand-prix-chantal-biya,gc,Cameroon,2.2,32.0,0.0,1,,0.0,,,0.0
2023-01-23,2023,la-tropicale-amissa-bongo,gc,Cameroon,2.1,,0,0,,0.0,,,0.0
2023-05-02,2023,tour-du-benin,gc,Cameroon,2.2,,0,0,,25.0,,,36.0
2023-06-03,2023,tour-du-cameroun,gc,Cameroon,2.2,,0,0,,20.0,,,20.0
2023-10-27,2023,tour-du-faso,gc,Cameroon,2.2,,,1,,6.0,,,7.0
