date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-06-16,2018,albani-classic-fyen-rundt,gc,Denmark,1.1,,0,0,,0.0,,,88.0
2018-07-25,2018,dookola-mazowsza,gc,AURA Energi - CK Aarhus,2.2,81.0,0.0,1,,0.0,,,0.0
2018-07-11,2018,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Denmark,2.2U,,0,0,,20.0,,,25.0
2018-06-17,2018,gp-horsens,gc,Denmark,1.1,,,1,,0.0,,,60.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Denmark,1.Ncup,,0,0,,0.0,,,25.0
2018-02-22,2018,tour-of-antalya,gc,Denmark,2.2,,0,0,,0.0,,,0.0
2018-08-01,2018,tour-of-denmark,gc,Denmark,2.HC,,0,0,,65.0,,,85.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Denmark,CC,,0,0,,0.0,,,5.0
2018-08-12,2018,uec-road-european-championships-me,gc,Denmark,CC,,0,0,,0.0,,,10.0
2018-09-30,2018,world-championship,gc,Denmark,WC,,0,0,,0.0,,,215.0
2018-09-26,2018,world-championship-itt,gc,Denmark,WC,,0,0,,0.0,,,55.0
