date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-02-06,2021,grand-prix-alanya,gc,Kazakhstan,1.2,,0.0,0,,0.0,,,0.0
2021-02-07,2021,grand-prix-gazipasa,gc,Kazakhstan,1.2,,0.0,0,,0.0,,,0.0
2021-03-07,2021,grand-prix-gundogmus-me,gc,Kazakhstan,1.2,,,1,,0.0,,,0.0
2021-02-20,2021,grand-prix-manavgat-side,gc,Kazakhstan,1.2,,0.0,0,,0.0,,,0.0
2021-03-06,2021,grand-prix-mediterrennean,gc,Kazakhstan,1.2,,,1,,0.0,,,0.0
2021-02-21,2021,grand-prix-velo-alanya,gc,Kazakhstan,1.2,,0.0,0,,0.0,,,0.0
2021-07-24,2021,olympic-games,gc,Kazakhstan,Olympics,,0.0,0,,0.0,,,30.0
2021-07-28,2021,olympic-games-itt,gc,Kazakhstan,Olympics,,0.0,0,,0.0,,,0.0
2021-09-26,2021,world-championship,gc,Kazakhstan,WC,,0.0,0,,0.0,,,0.0
2021-09-19,2021,world-championship-itt,gc,Kazakhstan,WC,,0.0,0,,0.0,,,0.0
