date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-09-26,2021,dorpenomloop-rucphen,gc,WV De Jonge Renner,1.2,,,1,,0.0,,,0.0
2021-08-29,2021,ronde-van-de-achterhoek,gc,WV De Jonge Renner,1.2,,0.0,0,,0.0,,,0.0
2021-10-16,2021,ster-van-zwolle,gc,WV De Jonge Renner,1.2,,0.0,0,,0.0,,,0.0
2022-07-10,2022,2-districtenpijl-ekeren-deurne-me,gc,TWC Tempo,1.2,,,1,,0.0,,,0.0
2022-04-16,2022,arno-wallaard-memorial,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-03-13,2022,dorpenomloop-rucphen,gc,JEGG-DJR Academy,1.2,,,1,,0.0,,,0.0
2022-03-06,2022,elfsteden-race,gc,JEGG-DJR Academy,1.2,,,1,,0.0,,,0.0
2022-06-19,2022,midden-brabant-poort-omloop,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-08-28,2022,ronde-van-de-achterhoek,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-05-07,2022,ronde-van-overijssel,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
