date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-30,2017,games-of-the-small-states-of-europe,gc,Monaco,JR,,,1,,0.0,,,0.0
2017-06-03,2017,games-of-the-small-states-of-europe-me-itt,gc,UC Monaco,JR,,,1,,0.0,,,0.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,UC Monaco,2.2U,,0.0,0,,0.0,,,0.0
2019-06-23,2019,european-games,gc,North Macedonia,JC,,,1,,0.0,,,0.0
2019-06-25,2019,european-games-itt,gc,North Macedonia,JC,,,1,,0.0,,,0.0
2019-05-20,2019,tour-of-albania,gc,North Macedonia,2.2,,,1,,0.0,,,0.0
2019-08-11,2019,uec-road-european-championships-me,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2020-09-01,2020,tour-de-serbie,gc,North Macedonia,2.2,,0.0,0,,0.0,,,0.0
2020-08-24,2020,uec-road-european-championships-itt,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2020-08-26,2020,uec-road-european-championships-me,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2021-04-22,2021,banja-luka-belgrade-i,gc,North Macedonia,2.1,,0.0,0,,0.0,,,0.0
2021-07-16,2021,tour-of-kosovo,gc,North Macedonia,2.2,,0.0,0,,0.0,,,0.0
2021-09-09,2021,uec-road-european-championships-itt,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2021-09-12,2021,uec-road-european-championships-me,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2022-03-20,2022,grand-prix-gundogmus-me,gc,North Macedonia,1.2,,0.0,0,,0.0,,,0.0
2022-03-19,2022,grand-prix-manavgat-side,gc,North Macedonia,1.2,,0.0,0,,0.0,,,0.0
2022-09-03,2022,in-the-footsteps-of-the-romans,gc,North Macedonia,2.2,,0.0,0,,0.0,,,0.0
2022-08-27,2022,tour-of-bulgaria,gc,North Macedonia,2.2,,0.0,0,,0.0,,,0.0
2022-08-17,2022,uec-road-european-championships-itt,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2022-08-14,2022,uec-road-european-championships-me,gc,North Macedonia,CC,,,1,,0.0,,,0.0
2024-04-18,2024,banja-luka-belgrade-i,gc,Republika Srpska,2.2,,,1,,0.0,,,0.0
2024-08-31,2024,in-the-footsteps-of-the-romans,gc,North Macedonia,2.2,,0.0,0,,0.0,,,0.0
2024-05-20,2024,tour-of-albania,gc,North Macedonia,2.2,,0.0,0,,0.0,,,4.0
2024-08-24,2024,tour-of-bulgaria,gc,North Macedonia,2.2,,,1,,0.0,,,0.0
2025-06-29,2025,nc-macedonia,gc,Cycling Team Velo-M Termalift,NC,,,1,,0.0,,,70.0
