date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-03-05,2021,nc-thailand-itt,gc,Roojai.com Cycling Team,NC,,0,0,,0.0,,,3.0
2021-12-01,2021,tour-of-thailand,gc,Roojai.com Cycling Team,2.1,29.0,0.0,1,,0.0,,,0.0
2022-09-29,2022,international-azerbaijan-tour,gc,Roojai Cycling Team,2.1,,0,0,,25.0,,,25.0
2022-07-16,2022,national-championships-indonesia-itt,gc,Roojai Cycling Team,NC,,0,0,,0.0,,,3.0
2022-07-17,2022,nc-indonesia,gc,Roojai Cycling Team,NC,,0,0,,0.0,,,0.0
2022-06-25,2022,nc-malaysia,gc,Roojai Cycling Team,NC,,0,0,,0.0,,,20.0
2022-06-03,2022,nc-thailand-itt,gc,Roojai Cycling Team,NC,,0,0,,0.0,,,4.0
2022-08-25,2022,tour-of-konya,gc,Roojai Cycling Team,2.2,,0,0,,3.0,,,4.0
2022-01-28,2022,tour-of-sharjah,gc,Roojai Cycling Team,2.2,39.0,0.0,1,,5.0,,,5.0
2022-04-01,2022,tour-of-thailand,gc,Roojai Cycling Team,2.1,78.0,0.0,1,,50.0,,,55.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,Dr. J Cycling Team,2.2,51.0,0.0,1,,0.0,,,1.0
2024-12-06,2024,tour-de-siak,gc,BSP Siak,2.2,38.0,0.0,1,,0.0,,,0.0
