date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-01-12,2020,vuelta-al-tachira,gc,Triple Tachira Hotel Venecia Feriad,2.2,35.0,0.0,1,,0.0,,,1.0
2021-07-24,2021,olympic-games,gc,Venezuela,Olympics,,0,0,,0.0,,,0.0
2021-08-15,2021,panamerican-championships,gc,Venezuela,CC,,0,0,,0.0,,,10.0
2021-01-17,2021,vuelta-al-tachira,gc,Venezuela,2.2,30.0,0.0,1,,0.0,,,0.0
2021-10-31,2021,vuelta-ciclista-a-venezuela,gc,Owlbike La Guaira,2.2,33.0,0.0,1,,0.0,,,3.0
2021-09-26,2021,world-championship,gc,Venezuela,WC,,0,0,,0.0,,,0.0
2022-01-16,2022,vuelta-al-tachira,gc,Fundación Ángeles Hernandez,2.2,,,1,,33.0,,,42.0
2023-01-06,2023,giro-del-sol-san-juan,gc,Venezuela,2.2,,0,0,,0.0,,,0.0
2023-10-05,2023,gp-internacional-de-ciclismo-de-santa-catarina,gc,Venezuela,1.2,,0,0,,0.0,,,0.0
2023-10-04,2023,gp-urubici-de-ciclismo,gc,Venezuela,1.2,,0,0,,0.0,,,0.0
2023-10-03,2023,grand-tour-de-ciclismo-de-sc,gc,Venezuela,1.2,,0,0,,0.0,,,40.0
2023-07-07,2023,juegos-deportivos-centroamericanos-y-del-carbie,gc,Venezuela,JR,,0,0,,0.0,,,0.0
2023-07-05,2023,juegos-deportivos-centroamericanos-y-del-carbie-it,gc,Venezuela,JR,,0,0,,0.0,,,0.0
2023-10-29,2023,pan-american-games,gc,Venezuela,JC,,0,0,,0.0,,,110.0
2023-10-22,2023,pan-american-games---tt,gc,Venezuela,JC,,0,0,,0.0,,,15.0
2023-04-23,2023,panamerican-championships,gc,Venezuela,CC,,,1,,0.0,,,22.0
2023-01-15,2023,vuelta-al-tachira,gc,City Bikes,2.2,13.0,0.0,1,,0.0,,,0.0
2023-08-06,2023,world-championship,gc,Venezuela,WC,,0,0,,0.0,,,0.0
2024-06-24,2024,nc-venezuela,gc,Gob. Trujillo - Orbea,NC,,0,0,,0.0,,,75.0
2024-01-14,2024,vuelta-al-tachira,gc,Osorio Group 9Vit City Bike,2.2,,,1,,0.0,,,-25.0
2024-01-14,2024,vuelta-al-tachira,gc,Gob. Trujillo - Orbea,2.2,,0,0,,55.0,,,73.0
2024-10-06,2024,vuelta-ciclista-a-venezuela,gc,Gob. Trujillo - Orbea,2.2,41.0,0.0,1,,25.0,,,28.0
2025-06-29,2025,nc-venezuela,gc,Indet Cricket BDV Gran Misión Vivienda,NC,,0,0,,0.0,,,75.0
2025-01-12,2025,vuelta-al-tachira,gc,Indet Cricket BDV Gran Misión Vivienda,2.2,10.0,3.0,1,,3.0,,,11.0
2025-09-07,2025,vuelta-ciclista-a-venezuela,gc,Indet Cricket BDV Gran Misión Vivienda,2.2,31.0,0.0,1,,0.0,,,0.0
